reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,split,oracle_best_policy,oracle_best_jct_p99_ms,apc_like_jct_p99_ms,waferagent_adaptive_jct_p99_ms,adaptive_regret_ms,adaptive_slowdown_vs_apc,oracle_speedup_vs_apc,adaptive_speedup_vs_apc,oracle_beneficial,adaptive_beneficial,adaptive_non_worse_than_apc_within_5pct,adaptive_within_5pct_of_oracle
1,32768,128,512,16,2.0,train,apc_like,662165.0977115267,662165.0977115267,662165.0977115267,0.0,0.0,0.0,0.0,False,False,True,True
1,32768,128,512,16,16.0,train,apc_like,662165.0977115267,662165.0977115267,662165.0977115267,0.0,0.0,0.0,0.0,False,False,True,True
8,512,128,32,16,2.0,train,waferagent_latency_safe,8.051039994466919,670.6043731144691,8.051039994466919,0.0,-0.9879943520841122,0.9879943520841122,0.9879943520841122,True,True,True,True
8,512,128,32,16,16.0,train,waferagent_latency_safe,8.051039994466885,670.6043731144675,8.051039994466885,0.0,-0.9879943520841122,0.9879943520841122,0.9879943520841122,True,True,True,True
8,512,128,512,16,2.0,train,waferagent_latency_safe,22.505621724962044,10348.735370844961,22.505621724962044,0.0,-0.9978252780732643,0.9978252780732643,0.9978252780732643,True,True,True,True
8,512,128,512,16,16.0,train,waferagent_latency_safe,22.505621724961827,10348.735370844963,22.505621724961827,0.0,-0.9978252780732643,0.9978252780732643,0.9978252780732643,True,True,True,True
8,8192,128,32,2,2.0,train,waferagent_latency_safe,27.20127374691752,737.2367782067515,27.20127374691752,0.0,-0.9631037482786986,0.9631037482786986,0.9631037482786986,True,True,True,True
8,8192,128,32,2,16.0,train,waferagent_latency_safe,27.201273746917195,737.2367782067518,27.201273746917195,0.0,-0.963103748278699,0.963103748278699,0.963103748278699,True,True,True,True
8,8192,128,512,2,2.0,train,waferagent_latency_safe,41.647459619108965,11059.604474478943,41.647459619108965,0.0,-0.9962342722368405,0.9962342722368405,0.9962342722368405,True,True,True,True
8,8192,128,512,2,16.0,train,waferagent_latency_safe,41.64745961910841,11059.604474478945,41.64745961910841,0.0,-0.9962342722368405,0.9962342722368405,0.9962342722368405,True,True,True,True
8,8192,128,512,16,2.0,train,apc_like,165442.209529199,165442.209529199,165442.209529199,0.0,0.0,0.0,0.0,False,False,True,True
8,8192,128,512,16,16.0,train,apc_like,165442.209529199,165442.209529199,165442.209529199,0.0,0.0,0.0,0.0,False,False,True,True
8,32768,128,32,2,2.0,train,waferagent_latency_safe,72.24920599897268,2937.64281170538,72.24920599897268,0.0,-0.9754057213112883,0.9754057213112883,0.9754057213112883,True,True,True,True
8,32768,128,32,2,16.0,train,waferagent_latency_safe,72.24920599897246,2937.64281170538,72.24920599897246,0.0,-0.9754057213112883,0.9754057213112883,0.9754057213112883,True,True,True,True
8,32768,128,32,16,2.0,train,apc_like,43675.41321426539,43675.41321426539,43675.41321426539,0.0,0.0,0.0,0.0,False,False,True,True
8,32768,128,32,16,16.0,train,apc_like,43675.41321426538,43675.41321426538,43675.41321426538,0.0,0.0,0.0,0.0,False,False,True,True
8,32768,128,512,2,2.0,train,waferagent_latency_safe,86.64307926006768,44183.722726566484,86.64307926006768,0.0,-0.9980390271821081,0.9980390271821081,0.9980390271821081,True,True,True,True
8,32768,128,512,2,16.0,train,waferagent_latency_safe,86.64307926006722,44183.72272656648,86.64307926006722,0.0,-0.9980390271821081,0.9980390271821081,0.9980390271821081,True,True,True,True
8,32768,128,512,16,2.0,train,apc_like,662165.0977115267,662165.0977115267,662165.0977115267,0.0,0.0,0.0,0.0,False,False,True,True
8,32768,128,512,16,16.0,train,apc_like,662165.0977115267,662165.0977115267,662165.0977115267,0.0,0.0,0.0,0.0,False,False,True,True
64,512,128,32,2,2.0,train,waferagent_latency_safe,7.520218055266886,49.17049247446721,7.520218055266886,0.0,-0.8470583132928369,0.8470583132928369,0.8470583132928369,True,True,True,True
64,512,128,32,2,16.0,train,waferagent_latency_safe,7.520218055266782,49.17049247446685,7.520218055266782,0.0,-0.8470583132928379,0.8470583132928379,0.8470583132928379,True,True,True,True
64,512,128,32,16,2.0,train,waferagent_latency_safe,7.520218055266886,670.6043731144691,7.520218055266886,0.0,-0.9887859096111453,0.9887859096111453,0.9887859096111453,True,True,True,True
64,512,128,32,16,16.0,train,waferagent_latency_safe,7.520218055266782,670.6043731144675,7.520218055266782,0.0,-0.9887859096111454,0.9887859096111454,0.9887859096111454,True,True,True,True
64,512,128,512,16,2.0,train,waferagent_latency_safe,21.974799785761878,10348.735370844961,21.974799785761878,0.0,-0.9978765714845053,0.9978765714845053,0.9978765714845053,True,True,True,True
64,512,128,512,16,16.0,train,waferagent_latency_safe,21.9747997857617,10348.735370844963,21.9747997857617,0.0,-0.9978765714845053,0.9978765714845053,0.9978765714845053,True,True,True,True
64,8192,128,512,2,2.0,train,waferagent_latency_safe,38.92993574219565,11059.604474478943,11059.604474478943,11020.674538736748,0.0,0.99647998842707,0.0,True,False,True,False
64,8192,128,512,2,16.0,train,waferagent_latency_safe,38.929935742195674,11059.604474478945,11059.604474478945,11020.67453873675,0.0,0.99647998842707,0.0,True,False,True,False
64,8192,128,512,16,2.0,train,apc_like,165442.209529199,165442.209529199,165442.209529199,0.0,0.0,0.0,0.0,False,False,True,True
64,8192,128,512,16,16.0,train,apc_like,165442.209529199,165442.209529199,165442.209529199,0.0,0.0,0.0,0.0,False,False,True,True
64,32768,128,32,2,2.0,train,waferagent_latency_safe,59.36256145365991,2937.64281170538,2937.64281170538,2878.28025025172,0.0,0.9797924508666871,0.0,True,False,True,False
64,32768,128,32,2,16.0,train,waferagent_latency_safe,59.362561453659886,2937.64281170538,2937.64281170538,2878.28025025172,0.0,0.9797924508666871,0.0,True,False,True,False
64,32768,128,32,16,2.0,train,apc_like,43675.41321426539,43675.41321426539,43675.41321426539,0.0,0.0,0.0,0.0,False,False,True,True
64,32768,128,32,16,16.0,train,apc_like,43675.41321426538,43675.41321426538,43675.41321426538,0.0,0.0,0.0,0.0,False,False,True,True
