baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,accounting_mode
pat_like_traffic_only,2.0,100,1.194439365217725,52325.99971145809,13120.30572630338,25441.16589271183,26874.89428925446,5.476444475973949,11.069016979243315,17.378153274061333,0.10861359607429055,0.11143963825606855,0.111668737193972,14726.677947758226,0.0,0.9107142857142857,765.0,0.8058823529411765,87.0,58015612928.0,73633352070375.0,3.633367906533845,2163200.0,2112000.0,0.8921284608,14.726670414075,0.01400897536,0.047164109619200006,0.156799719598542,21082705965795.0,35540854374400.0,0.4068036253799001,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.371232062578198,0.0,cohort_stage,latency_p50_ms,21082705965795.0,151.0,3.8675496688741724,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8675496688741724,0.025700250013065574,0.0,0.0,0.0,0.0,13193.271705599902,218808451072.0,61371056128.0,58955137024.0,78.57383415102959,233.95597841590643,0.020767562091350555,11.13924104720354,137.00852822512388,700.4961622878909,7.004961622878909,0.0004802358732182113,cohort_stage
waferagent_latency_safe,2.0,100,1.7085458467223227,74847.97645321151,78.74517553655096,106.26890390958002,1509.9519311072831,5.376444475975404,7.307301812755792,17.178153274064243,0.10880650575471157,0.11174486542736706,0.11182410949580657,56.74880032059406,28.15784311671181,0.9107142857142857,765.0,0.9615384615384616,43.0,16475226112.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.3863798754461,0.013368085708800001,0.023338597656732997,28443850414394.0,35540854374400.0,0.19968580060691943,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.612608075141907,0.0,cohort_stage,latency_p50_ms,28443850414394.0,192.0,2.0,205.0,192.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,27714880379194.0,12717129728.0,16710107136.0,78.83910369127989,239.51099812984467,0.020701438188552856,13.837948441505432,127.36794911324978,599.4885349646211,5.994885349646211,0.04448063230547589,cohort_stage
apc_like,4.0,100,1.709791218362721,74902.5336940341,17293.24924281144,29351.981698302036,29358.290834596857,6.911555683145707,10.869016979249864,17.178153274060605,0.10892852648024634,0.11190335356424692,0.11190335356424692,24621.167818575992,0.0,0.9107142857142857,765.0,0.7917647058823529,85.0,68081942528.0,123105786829824.0,4.068823602892105,2163200.0,2112000.0,0.8921284608,24.6211573659648,0.01400897536,0.0558077313024,0.255831025334272,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599915,208742121472.0,71437385728.0,69759664128.0,77.54949200898409,233.16007666289806,0.020141713321208954,1.1591361835598946,125.83925016224384,573.9685306325555,5.739685306325555,0.0003312851325156473,cohort_stage
pat_like_traffic_only,4.0,100,1.8269703860538629,80035.91867224762,7500.664057975364,25447.475029006608,27030.328124291358,5.476444475975768,11.069016979250591,17.378153274061333,0.10861359607428689,0.11143963825606855,0.11166873719397205,14720.995152264,0.0,0.9107142857142857,765.0,0.7952941176470588,92.0,64692944896.0,73604938177352.0,3.6667792848749543,2163200.0,2112000.0,0.8921284608,14.7209876354704,0.01400897536,0.0526938800128,0.156798189516432,21223580893103.0,35540854374400.0,0.40283987915635766,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.37216005474329,0.0,cohort_stage,latency_p50_ms,21223580893103.0,151.0,3.8543046357615895,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8543046357615895,0.047063281233034326,0.0,0.0,0.0,0.0,13193.271705599904,212131119104.0,68048388096.0,65867350016.0,78.80313135683537,232.3875157162547,0.019602477550506592,11.038602329790592,135.5441976338625,598.3667327091098,5.983667327091098,0.00041193498741632083,cohort_stage
waferagent_latency_safe,4.0,100,3.411165617135275,149436.34335546213,78.7451755365579,694.7482153892007,1494.3852447835031,5.376444475975404,10.869016979249864,17.178153274060605,0.1088065057547169,0.11174486542736706,0.11182410949580657,124.2883854941395,68.34580096934107,0.9107142857142857,765.0,0.9496996996996997,57.0,25132269568.0,279709937152.0,2.986563530698026,2163200.0,2112000.0,0.8921284608,0.0559419874304,1.3706602951428,0.0203474075648,0.023390781509379996,28619085080072.0,35540854374400.0,0.1947552870117195,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.232736065983772,0.0,cohort_stage,latency_p50_ms,28619085080072.0,189.0,2.0,244.0,189.0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,27395623380488.0,17582522368.0,25434259456.0,78.91236525028944,323.3557501807809,0.022135674953460693,13.851160183548927,127.02596746385098,685.9757583588362,6.859757583588362,0.033845922917757,cohort_stage
apc_like,8.0,100,2.2789546670576346,99836.44605446084,17304.658029211438,29283.598732685947,29358.290834596875,6.911555683145707,10.869016979249864,17.178153274062424,0.10892852648024456,0.11190335356424692,0.11190335356424692,24611.8898869824,0.0,0.9107142857142857,765.0,0.8176470588235294,71.0,58409877504.0,123059397827584.0,4.069509950250079,2163200.0,2112000.0,0.8921284608,24.6118795655168,0.01400897536,0.048016392192,0.255660333938688,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,218414186496.0,61765320704.0,60020490240.0,79.11526504904032,238.05628810077906,0.02313312143087387,1.154252327978611,125.87491422891617,581.3592206686735,5.813592206686735,0.00033574086744064845,cohort_stage
pat_like_traffic_only,8.0,100,2.329363038874111,102044.73600699705,8295.132039043663,26663.895557879405,27059.537638651043,5.476444475975768,11.069016979250591,17.378153274063152,0.10855089754510647,0.11143963825606772,0.11166873719397205,14752.120054097799,0.0,0.9107142857142857,765.0,0.7976470588235294,87.0,68618813440.0,73760563632953.0,3.681356007422268,2163200.0,2112000.0,0.8921284608,14.752112726590601,0.01400897536,0.0561298538496,0.15714380016600202,21421793633811.0,35540854374400.0,0.3972628398815007,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.631744049489495,0.0,cohort_stage,latency_p50_ms,21421793633811.0,153.0,3.849673202614379,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,3.849673202614379,0.06300485420771033,0.0,0.0,0.0,0.0,13193.271705599907,208205250560.0,71974256640.0,70162317312.0,79.20205406844616,231.95772990584373,0.02028234302997589,11.334357783198357,135.9546920284629,597.8713491931558,5.978713491931558,0.00041058127261177265,cohort_stage
waferagent_latency_safe,8.0,100,4.872104865886209,213437.16996474305,78.74517553655915,5256.956266126932,7103.61937267353,5.376444475975404,10.869016979249864,17.178153274062424,0.10880650575471512,0.11174486542736706,0.11182410949580698,1312.691968634607,1238.6866817583293,0.9107142857142857,765.0,0.898355754857997,114.0,62579015680.0,1151051427328.0,2.0634327585184375,2163200.0,2112000.0,0.8921284608,0.2302102854656,1.2827852642667,0.05062692700160001,0.024557509375339005,28794319745750.0,35540854374400.0,0.1898247734165196,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,23.852864056825638,0.0,cohort_stage,latency_p50_ms,28794319745750.0,186.0,2.0,383.0,186.0,0.0,0.0,0.0,0.0,197.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599904,25619634270934.0,36071014400.0,63283658752.0,79.43434733897448,239.4279157742858,0.01963600516319275,14.035624451935291,128.08049470186234,598.9607870578766,5.989607870578766,0.004301457947411795,cohort_stage
apc_like,16.0,100,2.739427791860588,120008.85270582863,17260.82424587237,29220.80525625047,29358.290834596883,6.9115556831447975,10.869016979248045,17.178153274060605,0.1089285264802469,0.11190335356424692,0.11190335356424692,24594.625842406396,0.0,0.9107142857142857,765.0,0.8588235294117647,56.0,48687480832.0,122973079051264.0,8.142622096653339,2163200.0,2112000.0,0.8921284608,24.5946158102528,0.01400897536,0.0402384748544,0.25540991721267203,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599946,228136583168.0,52042924032.0,50298093568.0,79.44095693528652,321.95022609084845,0.01933518797159195,1.1751297861337662,126.07366591691971,666.8168948963284,6.6681689489632845,0.00038554428072421073,cohort_stage
pat_like_traffic_only,16.0,100,2.6109414041197505,114380.12103167803,5739.357589967837,26950.7377127484,27090.36281851002,5.476444475974176,11.069016979247863,17.378153274060423,0.10855089754510928,0.11143963825606583,0.111668737193972,14669.801563860798,0.0,0.9107142857142857,765.0,0.8105882352941176,87.0,67108864000.0,73348971548280.0,3.761700481354849,2163200.0,2112000.0,0.8921284608,14.669794309656,0.01400897536,0.0548682072064,0.156307999530224,21703758236796.0,35540854374400.0,0.38932930513822506,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.37424004077911,0.0,cohort_stage,latency_p50_ms,21703758236796.0,151.0,3.8874172185430464,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8874172185430464,0.09618944137904893,0.0,0.0,0.0,0.0,13193.271705599926,209715200000.0,70464307200.0,68585259008.0,78.12257390469313,233.09981543570757,0.021466054022312164,11.40716951340437,135.84828190505505,598.1363588944077,5.9813635889440775,0.0004148226118645793,cohort_stage
