reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc
64,512,128,512,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9689564545020048
64,512,128,512,16,2.0,mixed_benefit,1.0,0.0,536870912.0,7215545057280.0,-0.7987908639357787,-0.7987754267756206,0.9978765714845053
64,512,128,512,16,16.0,mixed_benefit,1.0,0.0,536870912.0,7215545057280.0,-0.7987908639357788,-0.7987754267756206,0.9978765714845053
64,8192,128,32,2,2.0,mixed_benefit,1.0,0.6973125884098023,1079110533120.0,0.0,0.0,0.0,0.0
64,8192,128,32,2,16.0,mixed_benefit,1.0,0.6973125884098023,1079110533120.0,0.0,0.0,-0.0902839337675307,0.0
64,8192,128,32,16,2.0,mixed_benefit,1.0,0.47171546834754113,16.623849188952214,0.0,-0.7986803993736292,-0.8238754287889508,0.0
64,8192,128,32,16,16.0,mixed_benefit,1.0,0.47171546834754113,16.46054727088461,0.0,-0.7986803993736291,-0.8238656093238769,0.0
64,8192,128,512,2,2.0,mixed_benefit,1.0,0.6973125884022039,16540992798720.0,0.0,0.0,0.0,0.0
64,8192,128,512,2,16.0,mixed_benefit,1.0,0.6973125884022039,16540992798720.0,0.0,0.0,-0.09574017280250534,0.0
64,8192,128,512,16,2.0,mixed_benefit,1.0,0.4678899082571747,16.30720618662872,0.0,-0.799843930798116,-0.8258805746868323,0.0
64,8192,128,512,16,16.0,mixed_benefit,1.0,0.4717154683430842,16.47473697146152,0.0,-0.799843930798116,-0.8258799862556611,0.0
64,32768,128,32,2,2.0,mixed_benefit,1.0,0.6973125884098023,4364760514560.0,0.0,0.0,0.0,0.0
64,32768,128,32,2,16.0,mixed_benefit,1.0,0.6973125884098023,4364760514560.0,0.0,0.0,-0.09061387931486652,0.0
64,32768,128,32,16,2.0,mixed_benefit,1.0,0.5315890236175729,19.238144629299256,0.0,-0.7994907511275693,-0.799491007697426,0.0
64,32768,128,32,16,16.0,mixed_benefit,1.0,0.5569250729868006,20.615633447068728,0.0,-0.7994907511275694,-0.8178055998088145,0.0
64,32768,128,512,2,2.0,mixed_benefit,1.0,0.6973125884022039,66212289576960.0,0.0,0.0,0.0,0.0
64,32768,128,512,2,16.0,mixed_benefit,1.0,0.6973125884022039,66212289576960.0,0.0,0.0,-0.09584842078016402,0.0
64,32768,128,512,16,2.0,mixed_benefit,1.0,0.5875640813630584,22.965023075054653,0.0,-0.7999490206390253,-0.7999490712978773,0.0
64,32768,128,512,16,16.0,mixed_benefit,1.0,0.5030530765620898,17.940093935166818,0.0,-0.7999490206390253,-0.8191390527748843,0.0
