reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc,metric,delta
1,32768,128,512,2,16.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,placement_mesh_delta,66212289576960.0
1,32768,128,512,2,16.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,shared_kv_placement_delta,0.0
1,32768,128,512,16,2.0,mixed_benefit,1.0,0.4678899082571747,22.965023075054653,0.0,-0.7999490206390253,-0.7999490712978773,0.0,prefill_saving_delta,1.0
1,32768,128,512,16,2.0,mixed_benefit,1.0,0.4678899082571747,22.965023075054653,0.0,-0.7999490206390253,-0.7999490712978773,0.0,shared_kv_read_reduction_delta,0.4678899082571747
1,32768,128,512,16,2.0,mixed_benefit,1.0,0.4678899082571747,22.965023075054653,0.0,-0.7999490206390253,-0.7999490712978773,0.0,placement_mesh_delta,22.965023075054653
1,32768,128,512,16,2.0,mixed_benefit,1.0,0.4678899082571747,22.965023075054653,0.0,-0.7999490206390253,-0.7999490712978773,0.0,shared_kv_placement_delta,0.0
1,32768,128,512,16,16.0,mixed_benefit,1.0,0.39534883720953845,17.940093935166818,0.0,-0.7999490206390253,-0.7999490712978773,0.0,prefill_saving_delta,1.0
1,32768,128,512,16,16.0,mixed_benefit,1.0,0.39534883720953845,17.940093935166818,0.0,-0.7999490206390253,-0.7999490712978773,0.0,shared_kv_read_reduction_delta,0.39534883720953845
1,32768,128,512,16,16.0,mixed_benefit,1.0,0.39534883720953845,17.940093935166818,0.0,-0.7999490206390253,-0.7999490712978773,0.0,placement_mesh_delta,17.940093935166818
1,32768,128,512,16,16.0,mixed_benefit,1.0,0.39534883720953845,17.940093935166818,0.0,-0.7999490206390253,-0.7999490712978773,0.0,shared_kv_placement_delta,0.0
8,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,prefill_saving_delta,1.0
8,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,shared_kv_read_reduction_delta,0.0
8,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8362627749020902,placement_mesh_delta,0.0
