scope_id,chosen_policy,predicted_apc_jct_ms,predicted_pat_jct_ms,predicted_waferagent_jct_ms,opportunity_score,reason,baseline,arrival_rate_jobs_per_s,effective_run_policy,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job
sha256:8754557c35770ac019ee2538a4b04a03bdbb062d8ff22c8a3e01075a68ae5508,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:ed9e9df1be653d0edf1b8162166568e1f541525fb8e60addd49c664cda7e33d1,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:f0350c52b37fce48cded730d27960cc59dfa23f47cee8715583b93b124395783,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:343ca9559678b29fef96efb19c8d77729553b43ad4f5c777ad796698a33fd693,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:4806525743066281c8661b8ead9952d1991344fc4a3cab8a8bfff1e1efe2dcae,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:c617c824a377d0271fd83bcd22d4bdc850e04223a1891aad8518121483fd9681,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:2e848180f5fb4b56d5f9222014369e2d5a3636b92c847802e7e6fe6dd2b29a66,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:befc6ea044819d0557941bc2ee3da0058dca7860105b5243068701463b0157fd,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:129e3ef9c66d3e36e908f6916218b608544a91bf40837985fa9ff5d97ae2f18e,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:300d50f8aee9255f87119fb60ed0295c1db24a66a7e4290a1e20a071287dd55d,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:b9754f32f2b953f5b85f2f9bc00f84ee75a9e9fb356ccc45ac10a56cd7314253,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:dd1763ca9a477e70b939d55602f379691f11e94d8a29d6b895f69b5e0ed5ec61,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:37a4497be8f75e33f8741c3a46016d71a56b82a24795412edd094394388ed91f,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
