mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_mad_ms,valid_reps,memory_bytes_estimated,shared_read_bytes_estimated,max_abs_error,oom,outlier_count,latency_ms,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps,warmup_reps
cohort_attention,8192,1024,16,28,128,cuda:1,float16,True,0.20847999304533005,0.21009919792413712,0.21314016088843346,0.0008640065789222717,30,117440512.0,117440512.0,0.0,0,0,0.20847999304533005,1.5696319937705994,1879048192.0,7.528933452282457,0.9375,30,10
cohort_attention,16384,64,1,28,128,cuda:1,float16,True,0.2136639952659607,0.21729280054569244,0.22040959656238557,0.0013440102338790894,29,234881024.0,234881024.0,0.0,0,1,0.2136639952659607,0.21935999393463135,234881024.0,1.02665867340719,0.0,30,10
cohort_attention,16384,64,2,28,128,cuda:1,float16,True,0.22979199886322021,0.2321152001619339,0.23333247601985932,0.0009920001029968262,29,234881024.0,234881024.0,0.0,0,1,0.22979199886322021,0.38364800810813904,469762048.0,1.6695446752108154,0.5,30,10
cohort_attention,16384,64,4,28,128,cuda:1,float16,True,0.24825599789619446,0.25108481049537656,0.25245824217796325,0.0011840015649795532,29,234881024.0,234881024.0,0.0,0,1,0.24825599789619446,0.7119359970092773,939524096.0,2.8677494322089476,0.75,30,10
cohort_attention,16384,64,8,28,128,cuda:1,float16,True,0.27609600126743317,0.27877120673656464,0.28293567925691604,0.00182400643825531,30,234881024.0,234881024.0,0.0,0,0,0.27609600126743317,1.3682560324668884,1879048192.0,4.955725639581296,0.875,30,10
cohort_attention,16384,64,16,28,128,cuda:1,float16,True,0.3670719861984253,0.3687232077121735,0.3699776029586792,0.0009600222110748291,29,234881024.0,234881024.0,0.0,0,1,0.3670719861984253,2.678768038749695,3758096384.0,7.297664053561564,0.9375,30,10
cohort_attention,16384,256,1,28,128,cuda:1,float16,True,0.21379199624061584,0.21598079800605774,0.21923840343952178,0.0016959905624389648,29,234881024.0,234881024.0,0.0,0,1,0.21379199624061584,0.2181120067834854,234881024.0,1.0202066055738006,0.0,30,10
cohort_attention,16384,256,2,28,128,cuda:1,float16,True,0.2313919961452484,0.23326079547405243,0.23568383991718292,0.0012800097465515137,29,234881024.0,234881024.0,0.0,0,1,0.2313919961452484,0.3831999897956848,469762048.0,1.6560641516534744,0.5,30,10
cohort_attention,16384,256,4,28,128,cuda:1,float16,True,0.2471040040254593,0.2499455988407135,0.25286529064178465,0.0011200010776519775,29,234881024.0,234881024.0,0.0,0,1,0.2471040040254593,0.7109439969062805,939524096.0,2.877104317714866,0.75,30,10
cohort_attention,16384,256,8,28,128,cuda:1,float16,True,0.2754240036010742,0.27781120538711546,0.2787923163175583,0.0014719963073730469,30,234881024.0,234881024.0,0.0,0,0,0.2754240036010742,1.3676480054855347,1879048192.0,4.965609342700733,0.875,30,10
cohort_attention,16384,256,16,28,128,cuda:1,float16,True,0.3659999966621399,0.36885760724544525,0.3719807943701744,0.0011840015649795532,28,234881024.0,234881024.0,0.0,0,2,0.3659999966621399,2.6847199201583862,3758096384.0,7.335300395198341,0.9375,30,10
cohort_attention,16384,1024,1,28,128,cuda:1,float16,True,0.21247999370098114,0.21408640146255492,0.21581311881542206,0.0009599924087524414,29,234881024.0,234881024.0,0.0,0,1,0.21247999370098114,0.21820800006389618,234881024.0,1.0269578620704214,0.0,30,10
cohort_attention,16384,1024,2,28,128,cuda:1,float16,True,0.22915199398994446,0.23144320249557496,0.23206144332885742,0.001024007797241211,29,234881024.0,234881024.0,0.0,0,1,0.22915199398994446,0.38393598794937134,469762048.0,1.6754643119807155,0.5,30,10
cohort_attention,16384,1024,4,28,128,cuda:1,float16,True,0.24755200743675232,0.249862402677536,0.25249024033546447,0.001408010721206665,29,234881024.0,234881024.0,0.0,0,1,0.24755200743675232,0.7111200094223022,939524096.0,2.872608535012539,0.75,30,10
cohort_attention,16384,1024,8,28,128,cuda:1,float16,True,0.2767680138349533,0.28099520206451417,0.28326366782188417,0.001552000641822815,30,234881024.0,234881024.0,0.0,0,0,0.2767680138349533,1.3700960278511047,1879048192.0,4.950340933068017,0.875,30,10
cohort_attention,16384,1024,16,28,128,cuda:1,float16,True,0.3683840036392212,0.36981760859489443,0.37240320444107056,0.001184016466140747,29,234881024.0,234881024.0,0.0,0,1,0.3683840036392212,2.6816959381103516,3758096384.0,7.2796210248496145,0.9375,30,10
independent_attention,512,64,1,28,128,cuda:1,float16,True,0.14115199446678162,0.15278720557689668,0.1569708779454231,0.00310400128364563,27,7340032.0,7340032.0,0.0,0,3,0.14115199446678162,0.14115199446678162,7340032.0,1.0,0.0,30,10
independent_attention,512,64,2,28,128,cuda:1,float16,True,0.2195039987564087,0.22533439993858337,0.23335584223270417,0.002240002155303955,28,14680064.0,14680064.0,0.0,0,2,0.2195039987564087,0.2195039987564087,14680064.0,1.0,0.0,30,10
independent_attention,512,64,4,28,128,cuda:1,float16,True,0.38281598687171936,0.3966591954231262,0.40120831251144407,0.004032015800476074,29,29360128.0,29360128.0,0.0,0,1,0.38281598687171936,0.38281598687171936,29360128.0,1.0,0.0,30,10
independent_attention,512,64,8,28,128,cuda:1,float16,True,0.7015359997749329,0.7074976027011871,0.7117680084705352,0.0027839839458465576,30,58720256.0,58720256.0,0.0,0,0,0.7015359997749329,0.7015359997749329,58720256.0,1.0,0.0,30,10
independent_attention,512,64,16,28,128,cuda:1,float16,True,1.3359360098838806,1.3469599962234498,1.353450198173523,0.005280017852783203,30,117440512.0,117440512.0,0.0,0,0,1.3359360098838806,1.3359360098838806,117440512.0,1.0,0.0,30,10
independent_attention,512,256,1,28,128,cuda:1,float16,True,0.13808000087738037,0.1441439986228943,0.1496639959514141,0.0018400028347969055,26,7340032.0,7340032.0,0.0,0,4,0.13808000087738037,0.13808000087738037,7340032.0,1.0,0.0,30,10
independent_attention,512,256,2,28,128,cuda:1,float16,True,0.2210559993982315,0.22880320399999618,0.23193663686513902,0.0031999945640563965,28,14680064.0,14680064.0,0.0,0,2,0.2210559993982315,0.2210559993982315,14680064.0,1.0,0.0,30,10
independent_attention,512,256,4,28,128,cuda:1,float16,True,0.37931200861930847,0.3858975887298584,0.3924947127699852,0.0034240037202835083,30,29360128.0,29360128.0,0.0,0,0,0.37931200861930847,0.37931200861930847,29360128.0,1.0,0.0,30,10
independent_attention,512,256,8,28,128,cuda:1,float16,True,0.7003520131111145,0.7044575870037079,0.7095353645086289,0.002160012722015381,28,58720256.0,58720256.0,0.0,0,2,0.7003520131111145,0.7003520131111145,58720256.0,1.0,0.0,30,10
independent_attention,512,256,16,28,128,cuda:1,float16,True,1.3398079872131348,1.3480735659599303,1.350162510871887,0.00332796573638916,28,117440512.0,117440512.0,0.0,0,2,1.3398079872131348,1.3398079872131348,117440512.0,1.0,0.0,30,10
independent_attention,512,1024,1,28,128,cuda:1,float16,True,0.1364319995045662,0.14035520255565642,0.1431804771721363,0.0018399953842163086,30,7340032.0,7340032.0,0.0,0,0,0.1364319995045662,0.1364319995045662,7340032.0,1.0,0.0,30,10
independent_attention,512,1024,2,28,128,cuda:1,float16,True,0.21836800128221512,0.22663040310144425,0.2316112042963505,0.0028960034251213074,30,14680064.0,14680064.0,0.0,0,0,0.21836800128221512,0.21836800128221512,14680064.0,1.0,0.0,30,10
independent_attention,512,1024,4,28,128,cuda:1,float16,True,0.37964800000190735,0.3872991919517517,0.38993663638830184,0.0035839974880218506,30,29360128.0,29360128.0,0.0,0,0,0.37964800000190735,0.37964800000190735,29360128.0,1.0,0.0,30,10
independent_attention,512,1024,8,28,128,cuda:1,float16,True,0.7021120190620422,0.7073664188385009,0.7174655866622924,0.003168046474456787,29,58720256.0,58720256.0,0.0,0,1,0.7021120190620422,0.7021120190620422,58720256.0,1.0,0.0,30,10
independent_attention,512,1024,16,28,128,cuda:1,float16,True,1.3376800417900085,1.3552159667015076,1.3701839745044708,0.004864037036895752,26,117440512.0,117440512.0,0.0,0,4,1.3376800417900085,1.3376800417900085,117440512.0,1.0,0.0,30,10
independent_attention,2048,64,1,28,128,cuda:1,float16,True,0.13785600662231445,0.14199039936065674,0.14860927879810332,0.002432003617286682,29,29360128.0,29360128.0,0.0,0,1,0.13785600662231445,0.13785600662231445,29360128.0,1.0,0.0,30,10
independent_attention,2048,64,2,28,128,cuda:1,float16,True,0.21827200055122375,0.22597120553255082,0.2286467197537422,0.00246400386095047,30,58720256.0,58720256.0,0.0,0,0,0.21827200055122375,0.21827200055122375,58720256.0,1.0,0.0,30,10
independent_attention,2048,64,4,28,128,cuda:1,float16,True,0.37958401441574097,0.3847936034202576,0.3879379069805145,0.001632004976272583,27,117440512.0,117440512.0,0.0,0,3,0.37958401441574097,0.37958401441574097,117440512.0,1.0,0.0,30,10
independent_attention,2048,64,8,28,128,cuda:1,float16,True,0.6990079879760742,0.7102016091346741,0.7161459350585937,0.004960000514984131,29,234881024.0,234881024.0,0.0,0,1,0.6990079879760742,0.6990079879760742,234881024.0,1.0,0.0,30,10
independent_attention,2048,64,16,28,128,cuda:1,float16,True,1.3226560354232788,1.3354816198349,1.3499513125419615,0.0047359466552734375,27,469762048.0,469762048.0,0.0,0,3,1.3226560354232788,1.3226560354232788,469762048.0,1.0,0.0,30,10
independent_attention,2048,256,1,28,128,cuda:1,float16,True,0.13624000549316406,0.14415039569139482,0.14596768349409103,0.0016960054636001587,30,29360128.0,29360128.0,0.0,0,0,0.13624000549316406,0.13624000549316406,29360128.0,1.0,0.0,30,10
independent_attention,2048,256,2,28,128,cuda:1,float16,True,0.21876800060272217,0.22639680057764053,0.2286783944070339,0.002575993537902832,28,58720256.0,58720256.0,0.0,0,2,0.21876800060272217,0.21876800060272217,58720256.0,1.0,0.0,30,10
independent_attention,2048,256,4,28,128,cuda:1,float16,True,0.3806400001049042,0.3860000044107437,0.38692031890153883,0.003984004259109497,30,117440512.0,117440512.0,0.0,0,0,0.3806400001049042,0.3806400001049042,117440512.0,1.0,0.0,30,10
independent_attention,2048,256,8,28,128,cuda:1,float16,True,0.6976000070571899,0.7023040175437927,0.7096294617652893,0.0037440061569213867,29,234881024.0,234881024.0,0.0,0,1,0.6976000070571899,0.6976000070571899,234881024.0,1.0,0.0,30,10
independent_attention,2048,256,16,28,128,cuda:1,float16,True,1.3231680393218994,1.3440959930419922,1.3556467247009278,0.00796806812286377,29,469762048.0,469762048.0,0.0,0,1,1.3231680393218994,1.3231680393218994,469762048.0,1.0,0.0,30,10
independent_attention,2048,1024,1,28,128,cuda:1,float16,True,0.13593600690364838,0.14220159947872163,0.1452537578344345,0.0017920136451721191,27,29360128.0,29360128.0,0.0,0,3,0.13593600690364838,0.13593600690364838,29360128.0,1.0,0.0,30,10
independent_attention,2048,1024,2,28,128,cuda:1,float16,True,0.2186879962682724,0.2266240030527115,0.23307264029979705,0.002687990665435791,29,58720256.0,58720256.0,0.0,0,1,0.2186879962682724,0.2186879962682724,58720256.0,1.0,0.0,30,10
independent_attention,2048,1024,4,28,128,cuda:1,float16,True,0.3805920034646988,0.3845567911863327,0.39038944512605667,0.002240002155303955,30,117440512.0,117440512.0,0.0,0,0,0.3805920034646988,0.3805920034646988,117440512.0,1.0,0.0,30,10
independent_attention,2048,1024,8,28,128,cuda:1,float16,True,0.6995199918746948,0.7053823828697204,0.7098380970954895,0.0027199983596801758,29,234881024.0,234881024.0,0.0,0,1,0.6995199918746948,0.6995199918746948,234881024.0,1.0,0.0,30,10
independent_attention,2048,1024,16,28,128,cuda:1,float16,True,1.3272480368614197,1.3499392032623292,1.3592185378074646,0.006656050682067871,30,469762048.0,469762048.0,0.0,0,0,1.3272480368614197,1.3272480368614197,469762048.0,1.0,0.0,30,10
independent_attention,8192,64,1,28,128,cuda:1,float16,True,0.15196800231933594,0.1537535935640335,0.15591552138328552,0.0007680058479309082,29,117440512.0,117440512.0,0.0,0,1,0.15196800231933594,0.15196800231933594,117440512.0,1.0,0.0,30,10
independent_attention,8192,64,2,28,128,cuda:1,float16,True,0.24636800587177277,0.2478911966085434,0.24887936055660248,0.0009279996156692505,29,234881024.0,234881024.0,0.0,0,1,0.24636800587177277,0.24636800587177277,234881024.0,1.0,0.0,30,10
independent_attention,8192,64,4,28,128,cuda:1,float16,True,0.43356800079345703,0.4358880043029785,0.4366729566454887,0.0008959919214248657,28,469762048.0,469762048.0,0.0,0,2,0.43356800079345703,0.43356800079345703,469762048.0,1.0,0.0,30,10
independent_attention,8192,64,8,28,128,cuda:1,float16,True,0.8089759945869446,0.8154656171798706,0.8237286287546158,0.0034720301628112793,30,939524096.0,939524096.0,0.0,0,0,0.8089759945869446,0.8089759945869446,939524096.0,1.0,0.0,30,10
independent_attention,8192,64,16,28,128,cuda:1,float16,True,1.5707839727401733,1.5785088062286377,1.5842627453804017,0.004687964916229248,30,1879048192.0,1879048192.0,0.0,0,0,1.5707839727401733,1.5707839727401733,1879048192.0,1.0,0.0,30,10
independent_attention,8192,256,1,28,128,cuda:1,float16,True,0.150751993060112,0.1536000043153763,0.1553888005018234,0.0006719976663589478,27,117440512.0,117440512.0,0.0,0,3,0.150751993060112,0.150751993060112,117440512.0,1.0,0.0,30,10
