baseline,arrival_rate_jobs_per_s,chosen_policy,num_decisions,mean_opportunity_score,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job
waferagent_adaptive,2.0,apc_like,6,2111061.2053299197,8,32768,2048,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,343047.34786611196,8,32768,2048,1024,2
waferagent_adaptive,16.0,apc_like,6,2111061.2053299197,8,32768,2048,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,343047.34786611196,8,32768,2048,1024,2
waferagent_adaptive,2.0,apc_like,7,15826680.287815679,8,32768,2048,1024,16
waferagent_adaptive,16.0,apc_like,7,15826680.287815679,8,32768,2048,1024,16
waferagent_adaptive,2.0,waferagent_latency_safe,1,6799.228196864,64,512,128,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,6799.228196864,64,512,128,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,54888.86191206399,64,512,128,32,16
waferagent_adaptive,16.0,waferagent_latency_safe,1,54888.86191206399,64,512,128,32,16
waferagent_adaptive,2.0,waferagent_latency_safe,1,108847.651149824,64,512,128,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,108847.651149824,64,512,128,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,878491.7905930239,64,512,128,512,16
waferagent_adaptive,16.0,waferagent_latency_safe,1,878491.7905930239,64,512,128,512,16
waferagent_adaptive,2.0,waferagent_latency_safe,1,217699.302299648,64,512,128,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,217699.302299648,64,512,128,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,1757001.5811860478,64,512,128,1024,16
waferagent_adaptive,16.0,waferagent_latency_safe,1,1757001.5811860478,64,512,128,1024,16
waferagent_adaptive,2.0,waferagent_latency_safe,1,6799.228196864,64,512,2048,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,6799.228196864,64,512,2048,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,54888.86191206399,64,512,2048,32,16
waferagent_adaptive,16.0,waferagent_latency_safe,1,54888.86191206399,64,512,2048,32,16
waferagent_adaptive,2.0,waferagent_latency_safe,1,108847.651149824,64,512,2048,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,108847.651149824,64,512,2048,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,878491.7905930239,64,512,2048,512,16
waferagent_adaptive,16.0,waferagent_latency_safe,1,878491.7905930239,64,512,2048,512,16
waferagent_adaptive,2.0,waferagent_latency_safe,1,217699.302299648,64,512,2048,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,217699.302299648,64,512,2048,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,1757001.5811860478,64,512,2048,1024,16
waferagent_adaptive,16.0,waferagent_latency_safe,1,1757001.5811860478,64,512,2048,1024,16
waferagent_adaptive,2.0,apc_like,1,108847.651149824,64,8192,128,32,2
waferagent_adaptive,16.0,apc_like,1,108847.651149824,64,8192,128,32,2
waferagent_adaptive,2.0,apc_like,1,878491.7905930239,64,8192,128,32,16
