workflow,frontier_status,opportunity_taxonomy,consolidated_speedup_exponent,mode_switch_overhead,worker_count,criticality_threshold,flowmorph_latency,best_static_latency,best_static_oracle_latency,regret,winner,best_static_scheduler,best_static_oracle_scheduler,mode_switch_count,fixed_worker_pool_latency,always_parallel_latency,always_consolidated_latency,static_split_resource_latency
iterative,weak,weak,0.65,5.0,4,0.8,91.688,37.236898858555264,37.236898858555264,1.4622888266898326,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,37.236898858555264,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,4,0.8,29.764146118914432,24.798000000000002,24.798000000000002,0.20026397769636373,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,2,24.798000000000002,24.798000000000002,30.76893302637056,50.55058894964938
trading,frontier_positive,frontier_only,0.65,5.0,4,0.8,75.21939127928636,73.536,73.536,0.022892070268798248,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,2,73.536,73.536,91.72035284894247,158.06408830549444
software_dev,frontier_positive,frontier_only,0.65,5.0,4,0.8,40.361128260175015,35.22,35.22,0.14597184157226062,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,3,35.22,35.22,38.48939205373657,71.15622780130244
mapreduce,frontier_positive,frontier_only,0.65,5.0,4,1.5,16.497586837761794,15.878,15.878,0.03902171795955378,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,1,15.878,15.878,16.286472799338878,37.2195868377618
debate,frontier_positive,frontier_and_phase,0.65,5.0,4,1.5,41.629849281985656,31.85,31.85,0.3070596320874617,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,3,31.85,31.85,39.85884959399319,94.86384928198567
reflection,frontier_positive,frontier_only,0.65,5.0,4,1.5,23.11303530492683,14.285082894717114,14.285082894717114,0.6179839819812634,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,14.285082894717114,34.27103530492683
iterative,weak,weak,0.65,5.0,4,1.5,91.688,37.236898858555264,37.236898858555264,1.4622888266898326,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,37.236898858555264,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,4,1.5,29.764146118914432,24.798000000000002,24.798000000000002,0.20026397769636373,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,2,24.798000000000002,24.798000000000002,30.76893302637056,67.76111746242097
trading,frontier_positive,frontier_only,0.65,5.0,4,1.5,75.21939127928636,73.536,73.536,0.022892070268798248,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,2,73.536,73.536,91.72035284894247,182.13651336537103
software_dev,frontier_positive,frontier_only,0.65,5.0,4,1.5,40.361128260175015,35.22,35.22,0.14597184157226062,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,3,35.22,35.22,38.48939205373657,78.97328252729565
mapreduce,frontier_positive,frontier_only,0.65,5.0,4,2.0,16.497586837761794,15.878,15.878,0.03902171795955378,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,1,15.878,15.878,16.286472799338878,37.2195868377618
debate,frontier_positive,frontier_and_phase,0.65,5.0,4,2.0,41.629849281985656,31.85,31.85,0.3070596320874617,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,3,31.85,31.85,39.85884959399319,94.86384928198567
reflection,frontier_positive,frontier_only,0.65,5.0,4,2.0,23.11303530492683,14.285082894717114,14.285082894717114,0.6179839819812634,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,14.285082894717114,34.27103530492683
iterative,weak,weak,0.65,5.0,4,2.0,91.688,37.236898858555264,37.236898858555264,1.4622888266898326,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,37.236898858555264,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,4,2.0,29.764146118914432,24.798000000000002,24.798000000000002,0.20026397769636373,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,2,24.798000000000002,24.798000000000002,30.76893302637056,67.76111746242097
trading,frontier_positive,frontier_only,0.65,5.0,4,2.0,75.21939127928636,73.536,73.536,0.022892070268798248,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,2,73.536,73.536,91.72035284894247,220.85599040191167
software_dev,frontier_positive,frontier_only,0.65,5.0,4,2.0,40.361128260175015,35.22,35.22,0.14597184157226062,fixed_worker_pool,fixed_worker_pool,fixed_worker_pool,3,35.22,35.22,38.48939205373657,88.47550552993545
mapreduce,frontier_positive,frontier_only,0.65,5.0,8,0.8,15.4110285195635,10.37904849397173,10.37904849397173,0.4848209379226238,always_consolidated,always_consolidated,always_consolidated,1,15.878,15.878,10.37904849397173,16.161586837761796
debate,frontier_positive,frontier_and_phase,0.65,5.0,8,0.8,40.334994670141434,25.40126017137204,25.40126017137204,0.5879131349396651,always_consolidated,always_consolidated,always_consolidated,3,31.85,31.85,25.40126017137204,41.16584928198566
reflection,frontier_positive,frontier_only,0.65,5.0,8,0.8,20.924009192070713,9.103602107799153,9.103602107799153,1.2984318673313822,always_consolidated,always_consolidated,always_consolidated,2,21.938,21.938,9.103602107799153,22.75703530492683
iterative,weak,weak,0.65,5.0,8,0.8,91.688,23.730342584292053,23.730342584292053,2.8637453156993824,always_consolidated,always_consolidated,always_consolidated,0,91.688,91.688,23.730342584292053,37.236898858555264
parallel_chains,frontier_positive,frontier_only,0.65,5.0,8,0.8,28.673757741568473,19.60843529001761,19.60843529001761,0.46231748313777477,always_consolidated,always_consolidated,always_consolidated,2,24.798000000000002,24.798000000000002,19.60843529001761,29.764146118914432
