wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,max_link_load_delta,benefit,wait_penalty,mesh,region_memory_capacity,shared_state_size,branch_width
1,wafer_request_centric,wafer_request_centric,,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",2.22201705616,4.44403411232,8,6400,88679424,3215360,8.0,0.0,16x16,268435456,1000,8
2,wafer_request_centric,wafer_request_centric,,"[""O_trader_0"", ""O_trader_1"", ""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",4.44403411232,6.34404922048,8,15332,76212224,2738176,8.0,0.0,16x16,268435456,1000,8
3,wafer_request_centric,wafer_request_centric,,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",6.34404922048,8.11806387168,8,14104,73287680,2594816,8.0,0.0,16x16,268435456,1000,8
4,wafer_request_centric,wafer_request_centric,,"[""O_manager""]","[""R_0_0""]",8.11806387168,17.186073134080004,1,14648,38799360,2586624,1.0,0.0,16x16,268435456,1000,8
0,WaferStateFlow,WaferStateFlow,S_task,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",0.0,2.22201705616,8,32268,88679424,3215360,146368.0,0.0,16x16,268435456,1000,8
1,WaferStateFlow,WaferStateFlow,S_task,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7""]","[""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7""]",2.22201705616,4.44401705616,8,32268,0,0,144746.22386355072,17.77613644928,16x16,268435456,1000,8
2,WaferStateFlow,WaferStateFlow,S_task,"[""O_trader_0"", ""O_trader_1"", ""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7""]","[""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7""]",4.44401705616,6.34401705616,8,28132,0,0,144728.4478635507,35.55213644928,16x16,268435456,1000,8
3,WaferStateFlow,WaferStateFlow,S_task,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7""]","[""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7"", ""R_8_7""]",6.34401705616,8.11801705616,8,26904,0,0,144713.24786355073,50.75213644928,16x16,268435456,1000,8
4,WaferStateFlow,WaferStateFlow,,"[""O_manager""]","[""R_0_0""]",8.11801705616,17.186026318560003,1,18036,38799360,2586624,0.0,4.0,16x16,268435456,1000,8
0,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_analyst_0"", ""O_researcher_0""]","[""R_0_0"", ""R_0_0""]",0.0,5.7400032022781255,2,14580,14580,0,2.0,0.0,16x16,268435456,4000,1
