baseline,workflow_latency,state_materialization_bytes,state_movement_byte_hop,max_link_utilization,region_memory_pressure,critical_path_wait,average_wave_batch_size,wave_count,duplicate_state_materialization_bytes,notes,mesh,region_memory_capacity,shared_state_size,branch_width,input_redundancy_ratio
helium_like_operator_schedule,26.69201600333062,21316,21316,4.159327392860853e-12,0.0,0.0,1.0,5,31568,operator-centric wave with per-wave unique-state reuse,16x16,67108864,4000,1,2.48095327453556
wafer_request_centric,20.952,21316,0,0.0,0.0813140869140625,0.0,1.25,4,31568,wafer backend without state-centric wave formation,16x16,67108864,4000,1,2.48095327453556
WaferStateFlow,19.3588,24084,0,0.0,0.0813140869140625,4.0,1.25,4,31568,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,4000,1,2.48095327453556
request_parallel_gpu_like,22.178012806890624,44100,44100,1.0356541048106752e-11,0.04496002197265625,0.0,2.25,4,69400,ready requests assigned to worker-local caches,16x16,67108864,4000,2,3.560507674144038
helium_like_operator_schedule,24.794116004235,27104,27104,5.693555141976204e-12,0.0,0.0,1.8,5,69400,operator-centric wave with per-wave unique-state reuse,16x16,67108864,4000,2,3.560507674144038
wafer_request_centric,22.178040887679998,44100,179761152,4.221545107350282e-08,0.0953826904296875,0.0,2.25,4,69400,wafer backend without state-centric wave formation,16x16,67108864,4000,2,3.560507674144038
WaferStateFlow,17.93994091968,32504,51965952,1.5086783240355715e-08,0.0587615966796875,26.660364905279998,2.25,4,69400,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,4000,2,3.560507674144038
request_parallel_gpu_like,33.986016027930006,178752,178752,2.739361975333902e-11,0.06699371337890625,0.0,6.6,5,295972,ready requests assigned to worker-local caches,16x16,67108864,4000,8,5.929908721433806
helium_like_operator_schedule,30.818316009380624,60036,60036,1.0146157885616551e-11,0.0,0.0,6.6,5,295972,operator-centric wave with per-wave unique-state reuse,16x16,67108864,4000,8,5.929908721433806
wafer_request_centric,33.98616721408,178752,967770112,1.4830943723613344e-07,0.198760986328125,0.0,6.6,5,295972,wafer backend without state-centric wave formation,16x16,67108864,4000,8,5.929908721433806
WaferStateFlow,28.07300177408,80808,164954112,3.06036385746695e-08,0.137725830078125,197.11403319168,6.6,5,295972,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,4000,8,5.929908721433806
request_parallel_gpu_like,56.152012808330625,53316,53316,4.9452813196182115e-12,0.10169219970703125,0.0,1.25,4,89168,ready requests assigned to worker-local caches,16x16,67108864,12000,1,2.6724435441518493
helium_like_operator_schedule,71.49201600833064,53316,53316,3.884174982107685e-12,0.0,0.0,1.0,5,89168,operator-centric wave with per-wave unique-state reuse,16x16,67108864,12000,1,2.6724435441518493
wafer_request_centric,56.152,53316,0,0.0,0.2033843994140625,0.0,1.25,4,89168,wafer backend without state-centric wave formation,16x16,67108864,12000,1,2.6724435441518493
WaferStateFlow,51.8708,56084,0,0.0,0.2033843994140625,4.0,1.25,4,89168,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,12000,1,2.6724435441518493
request_parallel_gpu_like,57.37801281689063,108100,108100,9.812484010732318e-12,0.10599517822265625,0.0,2.25,4,197400,ready requests assigned to worker-local caches,16x16,67108864,12000,2,4.339875473741202
helium_like_operator_schedule,64.31411600923501,59104,59104,4.786403863331199e-12,0.0,0.0,1.8,5,197400,operator-centric wave with per-wave unique-state reuse,16x16,67108864,12000,2,4.339875473741202
wafer_request_centric,57.378088503680004,108100,484503552,4.3979436502806394e-08,0.2174530029296875,0.0,2.25,4,197400,wafer backend without state-centric wave formation,16x16,67108864,12000,2,4.339875473741202
WaferStateFlow,45.971971623360005,64504,289429504,3.279053040586465e-08,0.2174530029296875,63.52447921536,2.25,4,197400,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,12000,2,4.339875473741202
request_parallel_gpu_like,78.78601606793,434752,434752,2.8740294868838208e-11,0.12802886962890625,0.0,6.6,5,846372,ready requests assigned to worker-local caches,16x16,67108864,12000,8,10.196097179364596
helium_like_operator_schedule,70.33831601438062,92036,92036,6.8149792862351585e-12,0.0,0.0,6.6,5,846372,operator-centric wave with per-wave unique-state reuse,16x16,67108864,12000,8,10.196097179364596
