state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason,baseline,mesh,region_memory_capacity,shared_state_size,branch_width
S_role_instruction,inline,44.16,0.32,0.4096,0.8192,0.4096,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_portfolio_decision,inline,0.0,1.084,2.77504,5.55008,0.0,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,2
S_task,cache_text,2081.28,1.44,0.4096,0.8192,1.6384,small reusable text state,WaferStateFlow,8x8,67108864,200,2
S_market_context,cache_text,2081.28,1.44,0.4096,0.8192,1.6384,small reusable text state,WaferStateFlow,8x8,67108864,200,2
S_risk_policy,inline,232.32,0.48,0.4096,0.8192,0.6144000000000001,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_tool_schema,inline,40.16,0.32,0.4096,0.8192,0.4096,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_role_instruction,inline,44.16,0.32,0.4096,0.8192,0.4096,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_portfolio_decision,inline,0.0,1.084,2.77504,5.55008,0.0,low fanout or low hotness,WaferStateFlow,8x8,67108864,200,2
S_task,cache_text,28677.12,5.28,0.4096,0.8192,1.6384,small reusable text state,request_parallel_gpu_like,8x8,67108864,200,8
S_market_context,cache_text,28677.12,5.28,0.4096,0.8192,1.6384,small reusable text state,request_parallel_gpu_like,8x8,67108864,200,8
S_risk_policy,cache_text,2561.28,1.44,0.4096,0.8192,1.6384,small reusable text state,request_parallel_gpu_like,8x8,67108864,200,8
S_tool_schema,cache_text,1121.12,1.28,0.4096,0.8192,1.6384,small reusable text state,request_parallel_gpu_like,8x8,67108864,200,8
S_role_instruction,cache_text,1233.12,1.28,0.4096,0.8192,1.6384,small reusable text state,request_parallel_gpu_like,8x8,67108864,200,8
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_market_signal_2,inline,461.65200000000004,3.504,4.48512,8.97024,4.48512,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_analyst_2_view,inline,0.0,0.756,1.9353600000000002,3.8707200000000004,0.9676800000000001,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_research_2_evidence,inline,0.0,1.1440000000000001,2.92864,5.85728,1.46432,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_trade_2,inline,455.98799999999994,1.776,2.27328,4.54656,2.27328,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_risk_2,inline,2120.0,0.848,2.1708800000000004,4.341760000000001,1.0854400000000002,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_market_signal_3,inline,449.004,3.408,4.362240000000001,8.724480000000002,4.362240000000001,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_analyst_3_view,inline,0.0,1.1320000000000001,2.89792,5.79584,1.44896,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_research_3_evidence,inline,0.0,0.968,2.4780800000000003,4.956160000000001,1.2390400000000001,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_trade_3,inline,538.1479999999999,2.096,2.6828800000000004,5.365760000000001,2.6828800000000004,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_risk_3,inline,2140.0,0.856,2.19136,4.38272,1.09568,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_market_signal_4,inline,411.06,3.12,3.9936000000000003,7.9872000000000005,3.9936000000000003,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_analyst_4_view,inline,0.0,0.88,2.2528,4.5056,1.1264,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
S_research_4_evidence,inline,0.0,1.1360000000000001,2.90816,5.81632,1.45408,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,8
