nodes,edges,max_fan_in,max_fan_out,avg_fan_in,avg_fan_out,unique_shared_prefixes,shared_prefix_reuse_events,unique_shared_tokens,logical_shared_tokens,shared_prefix_ratio,job_id,workload,critical_path_weight,total_work_weight
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_17,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_18,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_19,planner_worker_tool,11540.0,25232.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_0,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_1,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_2,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_3,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_4,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_5,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_6,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_7,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_8,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_9,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_10,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_11,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_12,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_13,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_14,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_15,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_16,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_17,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_18,swe_like,11392.0,17920.0
8,10,4,4,1.25,1.25,1,7,1920,12672,0.75,swe_like_job_19,swe_like,11392.0,17920.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_0,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_1,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_2,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_3,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_4,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_5,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_6,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_7,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_8,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_9,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_10,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_11,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_12,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_13,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_14,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_15,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_16,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_17,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_18,rag_like,7460.0,14372.0
7,9,4,4,1.2857142857142858,1.2857142857142858,1,6,1280,6688,0.5,rag_like_job_19,rag_like,7460.0,14372.0
