shared_prefix_tokens,num_agents,decode_tokens_per_agent,winner_mode,winner_latency_s,central_latency_s,kvring_best_latency_s,speedup_vs_central,valid_capacity,reason
32768,2,512,KVRing-v2-ring,0.01250155,0.11717987,0.01250155,9.373227319812344,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,2,1024,KVRing-v2-ring,0.0250031,0.234359739,0.0250031,9.373227279817304,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,4,32,KVRing-v2-ring,0.000781444,0.008397484,0.000781444,10.746111045705131,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,4,128,KVRing-v2-ring,0.003125775,0.033589935,0.003125775,10.746114163687407,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,4,512,KVRing-v2-ring,0.0125031,0.134359739,0.0125031,10.74611408370724,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,4,1024,KVRing-v2-ring,0.025006199,0.268719477,0.025006199,10.746114473455162,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,8,32,KVRing-v2-ring,0.000781638,0.010544968,0.000781638,13.49085893981613,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,8,128,KVRing-v2-ring,0.00312655,0.04217987,0.00312655,13.490866930002719,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,8,512,KVRing-v2-ring,0.012506199,0.168719477,0.012506199,13.490867768856068,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,8,1024,KVRing-v2-ring,0.025012398,0.337438954,0.025012398,13.490867768856068,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,16,32,KVRing-v2-ring,0.001563275,0.021089935,0.001563275,13.490866930002719,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,16,128,KVRing-v2-ring,0.0062531,0.084359739,0.0062531,13.49086677008204,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,16,512,KVRing-v2-ring,0.025012398,0.337438954,0.025012398,13.490867768856068,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,16,1024,KVRing-v2-ring,0.050024796,0.674877907,0.050024796,13.490867748865982,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,32,32,KVRing-v2-ring,0.00312655,0.04217987,0.00312655,13.490866930002719,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,32,128,KVRing-v2-ring,0.012506199,0.168719477,0.012506199,13.490867768856068,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,32,512,KVRing-v2-ring,0.050024796,0.674877907,0.050024796,13.490867748865982,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,32,1024,KVRing-v2-ring,0.100049592,1.349755814,0.100049592,13.490867748865982,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,2,32,KVRing-v2-ring,0.001562597,0.014647484,0.001562597,9.373807834009664,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,2,128,KVRing-v2-ring,0.006250388,0.058589935,0.006250388,9.373807674019597,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,2,512,KVRing-v2-ring,0.02500155,0.234359739,0.02500155,9.373808383880199,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,2,1024,KVRing-v2-ring,0.0500031,0.468719477,0.0500031,9.37380836388144,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,4,32,KVRing-v2-ring,0.001562694,0.016794968,0.001562694,10.747445117214246,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,4,128,KVRing-v2-ring,0.006250775,0.06717987,0.006250775,10.747446516631937,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,4,512,KVRing-v2-ring,0.0250031,0.268719477,0.0250031,10.747446396646815,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,4,1024,KVRing-v2-ring,0.050006199,0.537438954,0.050006199,10.747446611569098,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,8,32,KVRing-v2-ring,0.001562888,0.021089935,0.001562888,13.494207518389034,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,8,128,KVRing-v2-ring,0.00625155,0.084359739,0.00625155,13.494211675504475,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,8,512,KVRing-v2-ring,0.025006199,0.337438954,0.025006199,13.494212135158966,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,8,1024,KVRing-v2-ring,0.050012398,0.674877907,0.050012398,13.494212115163926,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,16,32,KVRing-v2-ring,0.003125775,0.04217987,0.003125775,13.494211835464805,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,16,128,KVRing-v2-ring,0.0125031,0.168719477,0.0125031,13.49421159552431,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,16,512,KVRing-v2-ring,0.050012398,0.674877907,0.050012398,13.494212115163926,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,16,1024,KVRing-v2-ring,0.100024796,1.349755814,0.100024796,13.494212115163926,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,32,32,KVRing-v2-ring,0.00625155,0.084359739,0.00625155,13.494211675504475,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,32,128,KVRing-v2-ring,0.025006199,0.337438954,0.025006199,13.494212135158966,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,32,512,KVRing-v2-ring,0.100024796,1.349755814,0.100024796,13.494212115163926,True,minimum attention-stage proxy latency among valid-capacity candidates
65536,32,1024,KVRing-v2-ring,0.200049592,2.699511628,0.200049592,13.494212115163926,True,minimum attention-stage proxy latency among valid-capacity candidates
