kv_storage_precision,state_precision,num_shards,query_tile_size,reduction_topology,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count,passes_fp32_gate
fp32,bf16,2,8,binary_tree_reduce,0.0010071992874145508,0.00024718273198232055,0.0032408550751340088,0.9999961597610135,0,False
fp32,bf16,2,16,ring_reduce,0.0013093054294586182,0.00022983997769188136,0.0034486730059728517,0.9999941815761373,0,False
fp32,bf16,2,16,binary_tree_reduce,0.0013093054294586182,0.00022983997769188136,0.0034486730059728517,0.9999941815761373,0,False
fp32,bf16,4,1,ring_reduce,0.0012863874435424805,0.00034583325032144785,0.00420502287801919,0.9999912479610329,0,False
fp32,bf16,4,1,binary_tree_reduce,0.003046780824661255,0.0006084652850404382,0.00762505394214373,0.9999915529155475,0,False
fp32,bf16,4,2,ring_reduce,0.0012354552745819092,0.00038022184162400663,0.004597426409295869,0.9999897104226995,0,False
fp32,bf16,4,2,binary_tree_reduce,0.0012477412819862366,0.00033304112730547786,0.0041045708225636015,0.999993399690593,0,False
fp32,bf16,4,4,ring_reduce,0.002754896879196167,0.00043171815923415124,0.005332185925339025,0.9999872270151171,0,False
fp32,bf16,4,4,binary_tree_reduce,0.0014544874429702759,0.0003601620555855334,0.004148794099384469,0.9999915242741058,0,False
fp32,bf16,4,8,ring_reduce,0.0039584338665008545,0.0005277932505123317,0.0062334693957956915,0.9999819725433541,0,False
fp32,bf16,4,8,binary_tree_reduce,0.0039584338665008545,0.0005121623398736119,0.00598899681886654,0.9999844735835377,0,False
fp32,bf16,4,16,ring_reduce,0.005204141139984131,0.00047429156256839633,0.007036120398708828,0.9999788510775124,0,False
fp32,bf16,4,16,binary_tree_reduce,0.004833102226257324,0.00047389307292178273,0.0070472109448471544,0.9999792536773229,0,False
fp32,bf16,8,1,ring_reduce,0.001064453274011612,0.0002883747802115977,0.0051186937046603,0.9999875218908162,0,False
fp32,bf16,8,1,binary_tree_reduce,0.001064453274011612,0.0003381976275704801,0.0061074485774137675,0.9999859100262533,0,False
fp32,bf16,8,2,ring_reduce,0.000970497727394104,0.00030369710293598473,0.004486330980222369,0.9999901212519818,0,False
fp32,bf16,8,2,binary_tree_reduce,0.0014026612043380737,0.00031387084163725376,0.0047471477673791136,0.9999928138409186,0,False
fp32,bf16,8,4,ring_reduce,0.001690402626991272,0.00042769647552631795,0.005667238657902726,0.9999850128771877,0,False
fp32,bf16,8,4,binary_tree_reduce,0.0012882277369499207,0.0003978379536420107,0.005209462280103552,0.9999868981124426,0,False
fp32,bf16,8,8,ring_reduce,0.002187788486480713,0.0004226218443363905,0.004918808167747594,0.9999884177669949,0,False
fp32,bf16,8,8,binary_tree_reduce,0.0017847716808319092,0.00037996633909642696,0.004436430276320157,0.999990566487165,0,False
fp32,bf16,8,16,ring_reduce,0.0030781328678131104,0.00046214149915613234,0.005880121661135705,0.9999831621268862,0,False
fp32,bf16,8,16,binary_tree_reduce,0.001980714499950409,0.0004292286466807127,0.005324175156560321,0.9999859753136972,0,False
fp32,bf16,16,1,ring_reduce,0.0013074465095996857,0.0004539729852695018,0.006194298430516928,0.9999818666560536,0,False
fp32,bf16,16,1,binary_tree_reduce,0.0016308687627315521,0.00046029931399971247,0.0066235335419896615,0.9999832094374869,0,False
fp32,bf16,16,2,ring_reduce,0.003856748342514038,0.0005508220056071877,0.007325787461617182,0.9999734216259711,0,False
fp32,bf16,16,2,binary_tree_reduce,0.0012565255165100098,0.00030536612030118704,0.003620678590691616,0.9999934054408441,0,False
fp32,bf16,16,4,ring_reduce,0.0033406615257263184,0.0005431958707049489,0.007894309353541174,0.9999692259354831,0,False
fp32,bf16,16,4,binary_tree_reduce,0.001871347427368164,0.0004277832340449095,0.0056744571827288415,0.9999839760318909,0,False
fp32,bf16,16,8,ring_reduce,0.0026331841945648193,0.00047302391612902284,0.007057818888648463,0.9999752327925803,0,False
fp32,bf16,16,8,binary_tree_reduce,0.0024911314249038696,0.0004039883497171104,0.006075662995044731,0.9999819132215405,0,False
fp32,bf16,16,16,ring_reduce,0.005241230130195618,0.0007330591324716806,0.00984050985005583,0.9999517350855254,0,False
fp32,bf16,16,16,binary_tree_reduce,0.0023257434368133545,0.00046348245814442635,0.005629016955123092,0.9999845488486862,0,False
fp32,bf16,32,1,ring_reduce,0.0013897791504859924,0.0005523224826902151,0.006539023248549764,0.9999785394764424,0,False
fp32,bf16,32,1,binary_tree_reduce,0.0018034614622592926,0.0006419632118195295,0.008092959951108664,0.9999716255920604,0,False
fp32,bf16,32,2,ring_reduce,0.002705872058868408,0.0006761261611245573,0.00995805514334565,0.9999570124388325,0,False
fp32,bf16,32,2,binary_tree_reduce,0.0018321424722671509,0.0005385697586461902,0.007682262396810018,0.9999718202555872,0,False
fp32,bf16,32,4,ring_reduce,0.0042330920696258545,0.0008387394482269883,0.011344885830818042,0.9999420496486557,0,False
fp32,bf16,32,4,binary_tree_reduce,0.0018924474716186523,0.0004823452327400446,0.006248578405594454,0.9999862307070084,0,False
fp32,bf16,32,8,ring_reduce,0.003268316388130188,0.0007435799925588071,0.00852068049961272,0.9999638237907917,0,False
fp32,bf16,32,8,binary_tree_reduce,0.002526998519897461,0.0005176989361643791,0.005859125253183657,0.9999828949206496,0,False
fp32,bf16,32,16,ring_reduce,0.007504656910896301,0.0007422319031320512,0.011784707523587826,0.9999393210136859,0,False
fp32,bf16,32,16,binary_tree_reduce,0.0038149356842041016,0.000496179680339992,0.006999518417738515,0.9999757200562316,0,False
fp32,fp16,1,1,ring_reduce,0.0002524852752685547,4.2015526560135186e-05,0.00047188521079429653,0.9999999982412934,0,False
fp32,fp16,1,1,binary_tree_reduce,0.0002524852752685547,4.2015526560135186e-05,0.00047188521079429653,0.9999999982412934,0,False
fp32,fp16,1,2,ring_reduce,6.92605972290039e-05,1.7537098756292835e-05,0.00025629356005193006,0.9999999973731478,0,False
fp32,fp16,1,2,binary_tree_reduce,6.92605972290039e-05,1.7537098756292835e-05,0.00025629356005193006,0.9999999973731478,0,False
