baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,cross_job_task_group_size,unique_task_ratio,cross_job_prefix_hit_rate_observed
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6518.156926923981,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20819.395950719994,0.0,0.5528455284552846,68.0,0.7692307692307693,18.0,5955911680.0,15614539185664.0,3.967168555372632,276480.0,256000.0,0.11500781568,3.1229078371328,0.001744830464,0.0048989470719999996,0.21630396202325333,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.9867955200002,27598520320.0,7298088960.0,6123683840.0,13.052335940301418,39.116513915359974,0.0157039612531662,0.13395212590694427,8.264273405075073,81.35540131479502,5.423693420986335,0.0003547417627001246,2,0.0,0.9461538461538461
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,751.2826482039832,2789.6002453136352,4158.522827478897,4.376794556065604,8.785025451046021,21.780607772980733,1.2436651179871314,3.4715285976384145,4.957819153592341,0.0007131093332645832,0.0003384319999895524,0.5528455284552846,68.0,0.6269430051813472,67.0,12255756288.0,19200.0,1.8666666666666667,276480.0,256000.0,0.11500781568,3.84e-09,0.06749004234735001,0.009911979212800001,0.012827322738676669,2169387981201.0,4380866641920.0,0.5048039215705905,2169387981201.0,20.0,4.7,0.0,0.0,0.0,0.0,1509.9867955200007,1342469203555.0,7331643392.0,12389974016.0,13.026372529566288,40.71137681603432,0.014642253518104553,0.9358394891023636,7.284064777195454,82.88420084863901,5.525613389909267,0.004392958241483897,2,0.0,0.9461538461538461
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6518.156926923981,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20822.08034222933,0.0,0.48360655737704916,59.0,0.7461538461538462,22.0,6291456000.0,15616552451584.0,3.9670008963365198,277504.0,254976.0,0.115410468864,3.1233104903168,0.001744830464,0.0051673825279999995,0.21637554481152002,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1505.6653516800004,27128758272.0,7767851008.0,6459228160.0,13.095534406602383,39.02667108923197,0.01738034188747406,0.13754330575466156,8.449922315776348,82.04897679388523,5.469931786259015,0.00035771892102660305,2,0.25,0.9384615384615385
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,751.2826482039832,2789.6002453136352,4158.522827478897,4.466038103926787,8.785025451046021,21.780607772980733,1.2436651179871314,3.4715285976384145,4.957819153592341,0.000683711999931802,0.0002796373333239899,0.48360655737704916,59.0,0.6275510204081632,68.0,12012486656.0,19200.0,1.8666666666666667,277504.0,254976.0,0.115410468864,3.84e-09,0.0671249701272,0.0097173635072,0.012816853755893334,2186567850384.0,4380866641920.0,0.5008823529433678,2186567850384.0,21.0,4.428571428571429,0.0,0.0,0.0,0.0,1505.6653516800009,1335343919920.0,7155482624.0,12146704384.0,13.273644261062145,101.88895650207996,0.01597590744495392,0.972038134932518,7.469094358384609,145.14394197613,9.676262798408667,0.007636789277603041,2,0.25,0.9384615384615385
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20839.081584085325,0.0,0.3416666666666667,41.0,0.6153846153846154,41.0,8791261184.0,15629303135744.0,3.9663236369311776,279552.0,252928.0,0.116215775232,3.1258606271488003,0.001744830464,0.007167226675200001,0.21673256396800003,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1497.0224640000004,24360517632.0,10536091648.0,8959033344.0,13.179680332541466,39.39195815473795,0.019448809325695038,0.1371363177895546,8.750194683670998,82.8773332759738,5.5251555517315865,0.00036109269086791635,2,0.5,0.9230769230769231
waferagent_full,1.0,15,3.5313473293150026,129124.89221217952,1918.0947852226293,3726.444941912816,4198.100214250363,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,735.9722213713037,576.485311708637,0.3416666666666667,41.0,0.5167464114832536,92.0,18312331264.0,119614858391.0,3.964093020601501,279552.0,252928.0,0.116215775232,0.0239229716782,0.049386755194700004,0.014864613375999999,0.013626007698726668,2336032712281.0,4380866641920.0,0.46676470588541175,2336032712281.0,24.0,3.5416666666666665,0.0,0.0,0.0,0.0,1497.0224640000008,977383561622.0,10351542272.0,18580766720.0,13.030185364186764,40.14859814196825,0.01936405897140503,1.1067679151892662,7.725190371274948,82.5338289141655,5.5022552609443665,0.0026828862425382783,2,0.5,0.9230769230769231
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20841.76597559466,0.0,0.2689075630252101,32.0,0.5923076923076923,45.0,9126805504.0,15631316401664.0,3.9661562450737877,280576.0,251904.0,0.116618428416,3.1262632803328003,0.001744830464,0.0074356621312000005,0.21680414675626672,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.7010201600003,23890755584.0,11005853696.0,9294577664.0,13.085688464343548,38.94797433167696,0.020392239093780518,0.1397291198372841,8.732770569622517,82.25039020180702,5.483359346787135,0.0003583139825243984,2,0.75,0.9153846153846154
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,1522.957188882629,3420.7926628016785,4161.203438768088,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,492.7164385353754,359.5719946127088,0.2689075630252101,32.0,0.49765258215962443,100.0,18186502144.0,99858008830.0,3.978494217607964,280576.0,251904.0,0.116618428416,0.019971601765999998,0.054465554022200005,0.0147102629888,0.0137177231462,2374687417944.0,4380866641920.0,0.4579411764738752,2374687417944.0,25.0,3.32,0.0,0.0,0.0,0.0,1492.7010201600008,1079202807804.0,10108272640.0,18387828736.0,13.277530670166016,40.19896872341633,0.020295381546020508,1.1406345292925835,7.888462394475937,83.07836763560772,5.538557842373848,0.0029991435272384397,2,0.75,0.9153846153846154
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20841.76597559466,0.0,0.2689075630252101,32.0,0.5923076923076923,45.0,9126805504.0,15631316401664.0,3.9661562450737877,280576.0,251904.0,0.116618428416,3.1262632803328003,0.001744830464,0.0074356621312000005,0.21680414675626672,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.7010201600003,23890755584.0,11005853696.0,9294577664.0,12.835129164159298,39.0991298481822,0.020909123122692108,0.13965461403131485,8.909160271286964,81.81348629295826,5.454232419530551,0.000356410662927057,2,1.0,0.9153846153846154
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,1522.957188882629,3420.7926628016785,4161.203438768088,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,492.7164385353754,359.5719946127088,0.2689075630252101,32.0,0.49765258215962443,100.0,18186502144.0,99858008830.0,3.978494217607964,280576.0,251904.0,0.116618428416,0.019971601765999998,0.054465554022200005,0.0147102629888,0.0137177231462,2374687417944.0,4380866641920.0,0.4579411764738752,2374687417944.0,25.0,3.32,0.0,0.0,0.0,0.0,1492.7010201600008,1079202807804.0,10108272640.0,18387828736.0,13.145381584763527,39.91679009050131,0.019885599613189697,1.1127665638923645,7.783031091094017,83.12431164085865,5.541620776057243,0.0030008021138222315,2,1.0,0.9153846153846154
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6518.156926923981,33325.789369185804,33379.87608472383,5.470998056130902,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20819.172377557323,0.0,0.8188976377952756,104.0,0.823076923076923,7.0,4378853376.0,15614371413504.0,3.9655951745572415,272384.0,260096.0,0.11339720294399999,3.1228742827008,0.001744830464,0.0036373004288000003,0.21611024110250668,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.2725708800003,29712449536.0,5184159744.0,4546625536.0,12.995438650250435,39.077951572835445,0.011285766959190369,0.1315595582127571,8.481509983539581,81.39162883162498,5.426108588774999,0.00035479590487500764,5,0.0,0.9769230769230769
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,545.1525032034435,2789.6002453136352,4158.522827478897,4.309861895157859,8.785025451046021,21.780607772980733,0.8861203155515859,3.4715285976384145,4.957819153592341,0.0007544746665985258,0.0003650986666571043,0.8188976377952756,104.0,0.8757396449704142,16.0,5477761024.0,19200.0,1.8666666666666667,272384.0,260096.0,0.11339720294399999,3.84e-09,0.07613366403035,0.004489583001600001,0.012934696921063332,1906965479415.0,4380866641920.0,0.5647058823549955,1906965479415.0,18.0,6.222222222222222,0.0,0.0,0.0,0.0,1527.2725708800008,1518437033567.0,4236247040.0,5611978752.0,13.411324471235275,40.42683728039265,0.011663883924484253,0.7249042391777039,6.322667934000492,81.90904837101698,5.460603224734466,0.004986697734519677,5,0.0,0.9769230769230769
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6518.156926923981,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20820.06715148799,0.0,0.753968253968254,95.0,0.8076923076923077,9.0,4546625536.0,15615042502144.0,3.9655966531755364,273408.0,259072.0,0.113799856128,3.1230085004288,0.001744830464,0.0037715181568000002,0.21615498034517336,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.9511270400003,29410459648.0,5486149632.0,4714397696.0,13.021307997405529,40.363808162510395,0.019050203263759613,0.13556890189647675,8.220537565648556,83.5443688556552,5.569624590377013,0.00036417995770391076,5,0.25,0.9692307692307692
