baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
no_distributed_sram_policy,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.73950233281493,256.0,170993385472.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6199107492211,0.1388885049344,0.020265011685541002,22752803998841.0,35540854374400.0,0.3598126888241101,22752803998841.0,159.0,3.6666666666666665,0.0,0.0,0.0,0.0,13193.271705599907,12298323440358.0,99891544064.0,173610631168.0,79.99684941023588,244.72716823220253,0.03218371421098709,11.798452585935593,56.39107897877693,599.4990430772305,5.9949904307723045,0.0010591599459727349
no_future_reuse_policy,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.73950233281493,256.0,170993385472.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6199107492211,0.1388885049344,0.020265011685541002,22752803998841.0,35540854374400.0,0.3598126888241101,22752803998841.0,159.0,3.6666666666666665,0.0,0.0,0.0,0.0,13193.271705599907,12298323440358.0,99891544064.0,173610631168.0,79.76069487631321,243.69830545037985,0.023514963686466217,11.887543834745884,56.096894666552544,516.6380126029253,5.166380126029253,0.000912765909862315
no_kv_sharing,8.0,100,3.131777873103012,137196.92506489676,2318.2755248962303,14209.188325592726,18078.645157617466,18.242467358551494,27.853628981956717,27.853628981956717,2.201963673929921,4.250503894272329,4.657317793993506,3436.8567862494924,4402.57081358258,0.0,0.0,0.07028753993610223,720.0,116081557504.0,1634235248128.0,2.3363993878590854,4275200.0,0.0,1.7226006528,0.3268470496256,0.19990254190530002,0.268502564864,0.025178528091949,20385632773650.0,35540854374400.0,0.42641691843137774,20385632773650.0,155.0,3.9548387096774196,0.0,0.0,0.0,0.0,0.0,3437691823706.0,560359014400.0,335628206080.0,79.3980248272419,240.15187565237284,0.02149399369955063,11.261203326284885,57.77036678045988,510.7187572866678,5.107187572866678,0.0009347862860846069
no_shared_kv_decode_cohort,8.0,100,3.64949078775534,159876.89242998595,2574.51262406723,10469.059866531592,13548.983373873649,9.450284075534,17.38703139104109,23.696167685853652,4.231528814337388,6.572776216218417,6.5727762162184185,1859.444540006143,2234.1676248572244,0.9107142857142857,765.0,0.8087719298245614,236.0,162411839488.0,1235340160512.0,2.2651020261368884,2163200.0,2112000.0,0.8921284608,0.24706803210240003,1.253643911168,0.13234539069440002,0.025251857947647997,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,24975461318656.0,97416904704.0,165431738368.0,78.18595878779888,242.4562918022275,0.019915401935577393,0.8135959506034851,42.418479919433594,496.79350666701794,4.967935066670179,0.001148423704866163
no_shared_kv_replication,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.7391304347826086,257.0,171127603200.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6216824232307001,0.1389958791168,0.020283802167461,22788237479033.0,35540854374400.0,0.3588157099721464,22788237479033.0,159.0,3.6540880503144653,0.0,0.0,0.0,0.0,13193.271705599907,12333622702822.0,100025761792.0,173744848896.0,80.22464998066425,244.51063014566898,0.023731030523777008,11.793216690421104,56.96629825979471,521.1247960105538,5.211247960105538,0.0009201805147702282
waferagent_full,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.7391304347826086,257.0,171127603200.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6216824232307001,0.1389958791168,0.020283802167461,22788237479033.0,35540854374400.0,0.3588157099721464,22788237479033.0,159.0,3.6540880503144653,0.0,0.0,0.0,0.0,13193.271705599907,12333622702822.0,100025761792.0,173744848896.0,79.54453025013208,337.3572528362274,0.0215945765376091,11.89471036195755,55.87701126933098,600.2371860668063,6.002371860668063,0.0010598738864231695
no_affinity_placement,16.0,100,0.2900702993875622,12707.399675570323,168107.8978345511,327914.56581761426,337088.15782273526,9.047804099432227,17.58703139104091,23.89616768585347,2.376892871102552,4.92946298629665,5.191024184662755,162859.17658909812,390721.88148610987,0.9107142857142857,765.0,0.7232502011263073,242.0,169516990464.0,61691000888283.0,5.133066704844728,2163200.0,2112000.0,0.8921284608,12.338200177656601,0.43376686661310004,0.1382711033856,0.13802366608455302,22197464727478.0,35540854374400.0,0.3754380664673389,22197464727478.0,145.0,4.248275862068965,536870912.0,48318382080.0,536870912.0,219043332096.0,13193.271705599931,8583565960742.0,91771371520.0,172838879232.0,79.31418996304274,239.33785036206245,0.03940518945455551,15.180443413555622,67.51647777855396,520.4318761825562,5.2043187618255615,3.2635786204694136e-05
no_aggregator_placement,16.0,100,2.937731998871661,128696.16340656973,2150.6717494442278,21466.088872032127,26792.20983408817,9.110274582953934,17.58703139104091,23.89616768585347,2.415816577023983,5.065336287935961,5.070021574199505,4872.510659332128,5278.555801097378,0.9107142857142857,765.0,0.7267032106499608,258.0,176563421184.0,2244013229976.0,2.3618354293395516,2163200.0,2112000.0,0.8921284608,0.4488026459952,0.54568297692815,0.14366665605120002,0.0203028073977455,22181143851741.0,35540854374400.0,0.3758972809691927,22181143851741.0,163.0,3.6564417177914113,0.0,0.0,0.0,0.0,13193.271705599907,10813675719811.0,99983818752.0,179583320064.0,82.2615260258317,241.35942850261927,0.02763606607913971,12.360051274299622,57.339939288794994,516.0475904121995,5.160475904121995,0.0007394344234978033
no_distributed_sram_policy,16.0,100,2.937731998871661,128696.16340656973,2150.6717494442278,21466.088872032127,26792.20983408817,9.110274582953934,17.58703139104091,23.89616768585347,2.3139625278160296,5.065336287935961,5.070021574199505,4872.510659332128,5278.555801097378,0.9107142857142857,765.0,0.7299843014128728,253.0,175808446464.0,2244013229976.0,2.3618354293395516,2163200.0,2112000.0,0.8921284608,0.4488026459952,0.54262281272975,0.1430626762752,0.0202661659580015,22119940567773.0,35540854374400.0,0.37761933534985737,22119940567773.0,163.0,3.6748466257668713,0.0,0.0,0.0,0.0,13193.271705599907,10753227410563.0,99228844032.0,178828345344.0,79.32217046618462,240.59423618018627,0.02329796552658081,12.342474423348904,56.53053801506758,511.02620642632246,5.110262064263225,0.0007324533980947091
no_future_reuse_policy,16.0,100,2.937731998871661,128696.16340656973,2150.6717494442278,21466.088872032127,26792.20983408817,9.110274582953934,17.58703139104091,23.89616768585347,2.3139625278160296,5.065336287935961,5.070021574199505,4872.510659332128,5278.555801097378,0.9107142857142857,765.0,0.7299843014128728,253.0,175808446464.0,2244013229976.0,2.3618354293395516,2163200.0,2112000.0,0.8921284608,0.4488026459952,0.54262281272975,0.1430626762752,0.0202661659580015,22119940567773.0,35540854374400.0,0.37761933534985737,22119940567773.0,163.0,3.6748466257668713,0.0,0.0,0.0,0.0,13193.271705599907,10753227410563.0,99228844032.0,178828345344.0,79.48730792850256,245.07567565888166,0.024938024580478668,12.4238021671772,57.004754431545734,515.4318828135729,5.154318828135729,0.0007387680500639569
