mode,estimated_latency_s,estimated_attention_stage_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,shared_prefix_tokens,agents,decode_tokens
KVRing-v2-tree,0.001177646,0.001177646,1.758e-06,0.001177646,0.002196988,0.000588275,0.3125,0.0625,72.03125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",0.0625,8,256,tree,serpentine,8,False,not_modeled_for_performance,2048,2,256
Pull-KV Independent,1.38070373,1.38070373,1.38070373,1.38070373,1.374450678,0.006253052,0.3125,0.25,128.0625,128.0078125,1.8126106262207031,128.00390625,3.51713404817274,"(7,7)->(6,7)",,16,,,,,,,2048,2,256
Central KV-Stationary,0.006891268,0.006891268,0.006891268,0.006891268,0.000104397,0.006786871,0.3125,0.25,128.0625,0.0118408203125,0.00016766786575317383,0.0079345703125,2.356914326341984,"(7,7)->(6,7)",,16,,,,,,,2048,2,256
Replicate-All,0.008496837,0.008496837,0.008496837,0.008496837,0.005368785,0.003128052,0.5625,0.28125,64.0625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,16,,,,,,,2048,2,256
KVRing-v1-sequential-pipeline,0.00089411,0.00089411,0.00089411,0.00089411,0.000109808,0.000784302,0.3125,0.0625,16.0625,0.0087890625,0.002197265625,0.0087890625,1.0,"(0,0)->(0,1)",,16,,,,,False,,2048,2,256
KVRing-v2-ring,0.00235515,0.00235515,1.83e-06,0.00235515,0.003030666,0.000591374,0.3125,0.0625,72.03125,0.8212890625,0.00688934326171875,0.2822265625,4.400609080841639,"(0,0)->(1,0)",0.0625,16,256,ring,serpentine,8,False,not_modeled_for_performance,2048,2,256
KVRing-v2-tree,0.00235515,0.00235515,1.77e-06,0.00235515,0.004393755,0.000591374,0.3125,0.0625,72.03125,0.7578125,0.0063934326171875,0.21875,3.675417661097852,"(0,0)->(1,0)",0.0625,16,256,tree,serpentine,8,False,not_modeled_for_performance,2048,2,256
Pull-KV Independent,2.76140746,2.76140746,2.76140746,2.76140746,2.748901356,0.012506104,0.375,0.25,256.125,256.015625,3.6252212524414062,256.0078125,3.51713404817274,"(7,7)->(6,7)",,1,,,,,,,2048,2,512
Central KV-Stationary,0.013782536,0.013782536,0.013782536,0.013782536,0.000208794,0.013573742,0.375,0.25,256.125,0.023681640625,0.00033533573150634766,0.015869140625,2.356914326341984,"(7,7)->(6,7)",,1,,,,,,,2048,2,512
Replicate-All,0.011624889,0.011624889,0.011624889,0.011624889,0.005368785,0.006256104,0.625,0.3125,128.125,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,1,,,,,,,2048,2,512
KVRing-v1-sequential-pipeline,0.00178694,0.00178694,0.00178694,0.00178694,0.000218336,0.001568604,0.375,0.09375,32.125,0.017578125,0.00439453125,0.017578125,1.0,"(0,0)->(0,1)",,1,,,,,False,,2048,2,512
KVRing-v2-ring,0.00156405,0.00156405,1.807e-06,0.00156405,0.000464276,0.002343775,0.375,0.09375,288.0625,0.205322265625,0.0018690824508666992,0.043212890625,4.267236430894827,"(0,0)->(1,0)",0.25,1,1024,ring,serpentine,8,False,not_modeled_for_performance,2048,2,512
KVRing-v2-tree,0.00156405,0.00156405,1.747e-06,0.00156405,0.000805003,0.002343775,0.375,0.09375,288.0625,0.189453125,0.0017451047897338867,0.051513671875,5.390668761527427,"(0,2)->(0,1)",0.25,1,1024,tree,serpentine,8,False,not_modeled_for_performance,2048,2,512
Pull-KV Independent,2.76140746,2.76140746,2.76140746,2.76140746,2.748901356,0.012506104,0.375,0.25,256.125,256.015625,3.6252212524414062,256.0078125,3.51713404817274,"(7,7)->(6,7)",,2,,,,,,,2048,2,512
Central KV-Stationary,0.013782536,0.013782536,0.013782536,0.013782536,0.000208794,0.013573742,0.375,0.25,256.125,0.023681640625,0.00033533573150634766,0.015869140625,2.356914326341984,"(7,7)->(6,7)",,2,,,,,,,2048,2,512
Replicate-All,0.011624889,0.011624889,0.011624889,0.011624889,0.005368785,0.006256104,0.625,0.3125,128.125,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,2,,,,,,,2048,2,512
