policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-prefetch-v2-online,heuristic,heuristic,2,0.1,1596615000,,,5.436501598694738e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1380294280,0,2197815296,18874368,241696768,370702,574155,3,2673,221,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,4,0.1,1573297000,,,5.517076559606991e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1366500000,0,0,0,0,0,0,0,2577,317,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.1,1591452000,,,5.454138736198138e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1369078590,24577,2581069824,25165824,277348352,495637,588492,3,2611,283,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,8,0.1,1573297000,,,5.517076559606991e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1366500000,0,0,0,0,0,0,0,2547,347,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,8,0.1,1618056577,,,5.364460132842437e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1376603125,0,2559574016,44040192,224919552,319501,559719,0,2608,286,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,16,0.1,1573297000,,,5.517076559606991e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1366500000,0,0,0,0,0,0,0,2576,318,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,16,0.1,1618052877,,,5.364472399748405e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1350225474,0,2778202112,44040192,61865984,147462,94212,0,2582,312,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,1,0.25,1583946000,,,5.47998479746153e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1332246000,0,0,0,0,0,0,0,3917,500,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.25,1584017681,,,5.47973681361957e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1323618213,172134,1660944384,0,1229455360,544787,4260441,1,4245,172,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-online,heuristic,heuristic,2,0.25,1583946000,,,5.47998479746153e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1332246000,0,0,0,0,0,0,0,3923,494,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
