policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-retention-v2-online,heuristic,heuristic,4,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1348,122,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-retention-v2-oracle,oracle,oracle,4,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1299,171,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-placement-v2-online,heuristic,heuristic,4,0.05,1085893456,,,3.8677827707619964e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,733982230,143561,1478492160,0,0,0,0,0,1348,122,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,4,0.05,1085893456,,,3.8677827707619964e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,734187133,92360,1347420160,0,65536000,0,256104,0,1358,112,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
lru-system,none,none,8,0.05,1102027000,,,3.811158891751291e-07,2300557,436635435008,2011,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.014380561778449596,0.3228956228956229,766118000,0,0,0,0,0,0,0,773,186,"{""agent_role"": 1, ""file_context"": 1, ""task_prefix"": 1}",1.0,False
kvflow-like,none,none,8,0.05,1102143000,,,3.810757769182402e-07,2302385,437593833472,2104,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.0135973982519344,0.2915824915824916,766314000,0,0,0,0,0,0,0,838,28,"{""agent_role"": 1, ""file_context"": 1, ""task_prefix"": 1}",1.094724841952534,False
asg-retention-v2-online,heuristic,heuristic,8,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1350,120,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-retention-v2-oracle,oracle,oracle,8,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1321,149,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-placement-v2-online,heuristic,heuristic,8,0.05,1085944657,,,3.867600409400974e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,734044479,143561,1458569216,0,0,0,0,0,1350,120,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,8,0.05,1085944657,,,3.867600409400974e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,734249382,92360,1327497216,0,65536000,0,256104,0,1360,110,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
lru-system,none,none,16,0.05,1102027000,,,3.811158891751291e-07,2300557,436635435008,2011,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.014380561778449596,0.3228956228956229,766118000,0,0,0,0,0,0,0,744,215,"{""agent_role"": 1, ""file_context"": 1, ""task_prefix"": 1}",1.0,False
kvflow-like,none,none,16,0.05,1102143000,,,3.810757769182402e-07,2302385,437593833472,2104,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.0135973982519344,0.2915824915824916,766314000,0,0,0,0,0,0,0,810,56,"{""agent_role"": 1, ""file_context"": 1, ""task_prefix"": 1}",1.094724841952534,False
asg-retention-v2-online,heuristic,heuristic,16,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1350,120,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-retention-v2-oracle,oracle,oracle,16,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1337,133,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
