baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
oracle,4.0,100,2.4695648010921287,108186.69480624398,1167.66873399114,9693.820756175346,11739.343516576488,5.532188982050798,10.755622284908895,14.58588279196556,1.4048007319780265,3.0751527042762206,3.1514575048888482,2101.4111938813066,2141.2922724751074,0.9107142857142857,765.0,0.82109375,192.0,113011326976.0,1926400398437.0,2.1804804058886673,2163200.0,2112000.0,0.8921284608,0.3852800796874,0.85120547552865,0.09137542922240001,0.022199894452384503,21903044719326.0,35540854374400.0,0.38372205438306184,21903044719326.0,165.0,3.606060606060606,0.0,0.0,0.0,0.0,13193.271705599906,16951833264045.0,72276246528.0,114219286528.0,78.98233737796545,239.16312027722597,0.023216940462589264,11.027662083506584,55.214209482073784,508.31781793385744,5.083178179338574,0.001507735037747514
pat_like,4.0,100,1.675249620491229,73389.33537447976,9192.822299019903,30622.330855543038,30637.30617442034,9.047804099433051,17.58703139104182,23.89616768585256,2.558422913024961,5.065336287935956,5.065336287935956,14985.484642485,0.0,0.9107142857142857,765.0,0.7588235294117647,116.0,81000398848.0,74927385451353.0,3.8472324298848557,2163200.0,2112000.0,0.8921284608,14.985477090270601,0.01400897536,0.065900904448,0.15957515430878602,22355734272328.0,35540854374400.0,0.3709848942621147,22355734272328.0,150.0,3.76,0.0,0.0,0.0,0.0,13193.271705599906,195823665152.0,84355842048.0,82376130560.0,77.68237311393023,236.55886389315128,0.021738000214099884,10.806619189679623,63.41828312724829,513.2196238264441,5.1321962382644415,0.00031151114671706915
wafer_naive,4.0,100,1.592759213606425,69775.59562967026,19792.710743921652,33570.31709021519,33570.31709021519,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337384,6.5727762162184185,6.5727762162184185,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,79.15819063782692,236.50405369699,0.02728961408138275,0.9562484920024872,58.3572955802083,511.8192723020911,5.118192723020911,0.00025858978031054734
waferagent_full,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7917316692667706,202.0,134351945728.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.7551055822808501,0.1091995435008,0.021139037530274504,22277995364268.0,35540854374400.0,0.37317220544042995,22277995364268.0,162.0,3.6419753086419755,0.0,0.0,0.0,0.0,13193.271705599906,15018024239025.0,84087406592.0,136499429376.0,78.25241517275572,310.0763959810138,0.022926367819309235,11.217842809855938,53.789968602359295,578.57496291399,5.7857496291399,0.0013267737352041457
apc_like,8.0,100,2.0863545116766584,91399.01844753105,19675.142495169715,33398.74999448737,33477.39955769437,11.611005995534015,17.38703139104109,23.696167685853652,4.231528814337384,6.572776216218415,6.572776216218417,24606.6871414784,0.0,0.9107142857142857,765.0,0.7976470588235294,93.0,68643979264.0,123033384754176.0,4.071003095738009,2163200.0,2112000.0,0.8921284608,24.6066769508352,0.01400897536,0.0562036736,0.255690180605952,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,208180084736.0,71999422464.0,70254592000.0,77.01486255973577,305.7056749239564,0.022950582206249237,0.9014103561639786,53.57604380697012,571.9681400805712,5.719681400805712,0.0002904888733692715
kvflow_like,8.0,100,2.0863545116766584,91399.01844753105,19675.142495169715,33398.74999448737,33477.39955769437,11.611005995534015,17.38703139104109,23.696167685853652,4.231528814337384,6.572776216218415,6.572776216218417,24605.190570316805,0.0,0.9107142857142857,765.0,0.8035294117647059,97.0,69122129920.0,123025902115840.0,4.071312886226602,2163200.0,2112000.0,0.8921284608,24.605180423168,0.01400897536,0.0565861941248,0.255679040534528,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,207701934080.0,72477573120.0,70732742656.0,77.64061354100704,231.7680586129427,0.02217572182416916,0.9637763723731041,53.987130522727966,498.0565533041954,4.980565533041954,0.0002529707857654372
no_cache,8.0,100,2.075669655403705,90930.93626392551,19792.710743921656,33570.3170902152,33570.317090215205,18.723035439043542,27.65362898195599,27.65362898195599,4.231528814337384,6.572776216218415,6.572776216218417,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,76.50038041174412,230.4414277896285,0.028030946850776672,0.9082295000553131,56.78181257098913,495.9874451160431,4.959874451160431,0.00025059096327589224
oracle,8.0,100,3.0004678352476732,131444.49492653008,1367.0674907456105,14998.3247754128,19350.68064780251,4.060269066068656,10.755622284908895,14.58588279196556,1.2996806662995701,3.075152704276219,3.362047220184389,3994.2493580747005,4881.674126640227,0.9107142857142857,765.0,0.7697729052466719,223.0,148679688192.0,2038391670680.0,2.1281078305784513,2163200.0,2112000.0,0.8921284608,0.40767833413599996,0.703447863128,0.12082279874560001,0.021240774568095998,22215503590106.0,35540854374400.0,0.37493051359767593,22215503590106.0,169.0,3.562130177514793,0.0,0.0,0.0,0.0,13193.271705599906,13977118782176.0,91838480384.0,151028498432.0,79.79829888790846,238.8688763603568,0.024337321519851685,11.670430190861225,55.644769221544266,513.7791140004992,5.1377911400049925,0.0009726281509258454
pat_like,8.0,100,2.2146396058230877,97018.93185189783,8414.28165264225,30622.726601672664,30664.08493870518,7.367875602020035,17.58703139104182,23.89616768585438,2.558422913024956,5.0653362879359545,5.19440573908755,15122.418944308003,0.0,0.9107142857142857,765.0,0.74,129.0,92710895616.0,75612056925412.0,3.901520342814091,2163200.0,2112000.0,0.8921284608,15.1224113850824,0.01400897536,0.07548405022719999,0.16104032871469598,22854809472121.0,35540854374400.0,0.356942598189669,22854809472121.0,153.0,3.69281045751634,0.0,0.0,0.0,0.0,13193.271705599916,184113168384.0,96066338816.0,94355062784.0,78.29389721155167,234.92620326578617,0.02043694257736206,11.264324188232422,63.666291534900665,513.0292866379023,5.130292866379023,0.0003098436739178469
wafer_naive,8.0,100,2.075669655403705,90930.93626392551,19792.710743921656,33570.3170902152,33570.317090215205,18.723035439043542,27.65362898195599,27.65362898195599,4.231528814337384,6.572776216218415,6.572776216218417,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,77.58457586169243,291.7351769283414,0.023195520043373108,0.9453287348151207,57.37185664474964,564.8581916466355,5.648581916466355,0.0002853869785471924
