workload,num_agents,shared_prefix_tokens,output_tokens,cohort_size,shared_kv_read_without_cohort,shared_kv_read_with_cohort,shared_kv_read_reduction_ratio,decode_attention_latency_ms
decode_heavy_shared_prefix,2,8192,512,1,481036337152,553191787724.7999,0.0,11063.835754495998
decode_heavy_shared_prefix,2,8192,512,2,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,8192,512,4,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,8192,512,8,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,8192,512,16,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,32768,32,1,120259084288,138297946931.19998,0.0,2765.9589386239995
decode_heavy_shared_prefix,2,32768,32,2,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,32768,32,4,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,32768,32,8,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,32768,32,16,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,2,32768,128,1,481036337152,553191787724.7999,0.0,11063.835754495998
decode_heavy_shared_prefix,2,32768,128,2,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,32768,128,4,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,32768,128,8,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,32768,128,16,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,2,32768,512,1,1924145348608,2212767150899.1997,0.0,44255.34301798399
decode_heavy_shared_prefix,2,32768,512,2,1924145348608,1106383575449.5999,0.42500000000000004,22127.671508991996
decode_heavy_shared_prefix,2,32768,512,4,1924145348608,1106383575449.5999,0.42500000000000004,22127.671508991996
decode_heavy_shared_prefix,2,32768,512,8,1924145348608,1106383575449.5999,0.42500000000000004,22127.671508991996
decode_heavy_shared_prefix,2,32768,512,16,1924145348608,1106383575449.5999,0.42500000000000004,22127.671508991996
decode_heavy_shared_prefix,4,512,32,1,3758096384,4321810841.599999,0.0,86.43621683199999
decode_heavy_shared_prefix,4,512,32,2,3758096384,2160905420.7999997,0.42500000000000004,43.21810841599999
decode_heavy_shared_prefix,4,512,32,4,3758096384,1080452710.3999999,0.7125,21.609054207999996
decode_heavy_shared_prefix,4,512,32,8,3758096384,1080452710.3999999,0.7125,21.609054207999996
decode_heavy_shared_prefix,4,512,32,16,3758096384,1080452710.3999999,0.7125,21.609054207999996
decode_heavy_shared_prefix,4,512,128,1,15032385536,17287243366.399998,0.0,345.74486732799994
decode_heavy_shared_prefix,4,512,128,2,15032385536,8643621683.199999,0.42500000000000004,172.87243366399997
decode_heavy_shared_prefix,4,512,128,4,15032385536,4321810841.599999,0.7125,86.43621683199999
decode_heavy_shared_prefix,4,512,128,8,15032385536,4321810841.599999,0.7125,86.43621683199999
decode_heavy_shared_prefix,4,512,128,16,15032385536,4321810841.599999,0.7125,86.43621683199999
decode_heavy_shared_prefix,4,512,512,1,60129542144,69148973465.59999,0.0,1382.9794693119998
decode_heavy_shared_prefix,4,512,512,2,60129542144,34574486732.799995,0.42500000000000004,691.4897346559999
decode_heavy_shared_prefix,4,512,512,4,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,512,512,8,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,512,512,16,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,2048,32,1,15032385536,17287243366.399998,0.0,345.74486732799994
decode_heavy_shared_prefix,4,2048,32,2,15032385536,8643621683.199999,0.42500000000000004,172.87243366399997
decode_heavy_shared_prefix,4,2048,32,4,15032385536,4321810841.599999,0.7125,86.43621683199999
decode_heavy_shared_prefix,4,2048,32,8,15032385536,4321810841.599999,0.7125,86.43621683199999
decode_heavy_shared_prefix,4,2048,32,16,15032385536,4321810841.599999,0.7125,86.43621683199999
decode_heavy_shared_prefix,4,2048,128,1,60129542144,69148973465.59999,0.0,1382.9794693119998
decode_heavy_shared_prefix,4,2048,128,2,60129542144,34574486732.799995,0.42500000000000004,691.4897346559999
decode_heavy_shared_prefix,4,2048,128,4,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,2048,128,8,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,2048,128,16,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,2048,512,1,240518168576,276595893862.39996,0.0,5531.917877247999
decode_heavy_shared_prefix,4,2048,512,2,240518168576,138297946931.19998,0.42500000000000004,2765.9589386239995
decode_heavy_shared_prefix,4,2048,512,4,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,2048,512,8,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,2048,512,16,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,8192,32,1,60129542144,69148973465.59999,0.0,1382.9794693119998
decode_heavy_shared_prefix,4,8192,32,2,60129542144,34574486732.799995,0.42500000000000004,691.4897346559999
decode_heavy_shared_prefix,4,8192,32,4,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,8192,32,8,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,8192,32,16,60129542144,17287243366.399998,0.7125,345.74486732799994
decode_heavy_shared_prefix,4,8192,128,1,240518168576,276595893862.39996,0.0,5531.917877247999
decode_heavy_shared_prefix,4,8192,128,2,240518168576,138297946931.19998,0.42500000000000004,2765.9589386239995
decode_heavy_shared_prefix,4,8192,128,4,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,8192,128,8,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,8192,128,16,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,8192,512,1,962072674304,1106383575449.5999,0.0,22127.671508991996
decode_heavy_shared_prefix,4,8192,512,2,962072674304,553191787724.7999,0.42500000000000004,11063.835754495998
decode_heavy_shared_prefix,4,8192,512,4,962072674304,276595893862.39996,0.7125,5531.917877247999
decode_heavy_shared_prefix,4,8192,512,8,962072674304,276595893862.39996,0.7125,5531.917877247999
decode_heavy_shared_prefix,4,8192,512,16,962072674304,276595893862.39996,0.7125,5531.917877247999
decode_heavy_shared_prefix,4,32768,32,1,240518168576,276595893862.39996,0.0,5531.917877247999
decode_heavy_shared_prefix,4,32768,32,2,240518168576,138297946931.19998,0.42500000000000004,2765.9589386239995
decode_heavy_shared_prefix,4,32768,32,4,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,32768,32,8,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,32768,32,16,240518168576,69148973465.59999,0.7125,1382.9794693119998
decode_heavy_shared_prefix,4,32768,128,1,962072674304,1106383575449.5999,0.0,22127.671508991996
decode_heavy_shared_prefix,4,32768,128,2,962072674304,553191787724.7999,0.42500000000000004,11063.835754495998
decode_heavy_shared_prefix,4,32768,128,4,962072674304,276595893862.39996,0.7125,5531.917877247999
decode_heavy_shared_prefix,4,32768,128,8,962072674304,276595893862.39996,0.7125,5531.917877247999
decode_heavy_shared_prefix,4,32768,128,16,962072674304,276595893862.39996,0.7125,5531.917877247999
decode_heavy_shared_prefix,4,32768,512,1,3848290697216,4425534301798.399,0.0,88510.68603596798
decode_heavy_shared_prefix,4,32768,512,2,3848290697216,2212767150899.1997,0.42500000000000004,44255.34301798399
decode_heavy_shared_prefix,4,32768,512,4,3848290697216,1106383575449.5999,0.7125,22127.671508991996
decode_heavy_shared_prefix,4,32768,512,8,3848290697216,1106383575449.5999,0.7125,22127.671508991996
decode_heavy_shared_prefix,4,32768,512,16,3848290697216,1106383575449.5999,0.7125,22127.671508991996
decode_heavy_shared_prefix,8,512,32,1,7516192768,8643621683.199999,0.0,172.87243366399997
decode_heavy_shared_prefix,8,512,32,2,7516192768,4321810841.599999,0.42500000000000004,86.43621683199999
decode_heavy_shared_prefix,8,512,32,4,7516192768,2160905420.7999997,0.7125,43.21810841599999
decode_heavy_shared_prefix,8,512,32,8,7516192768,1080452710.3999999,0.85625,21.609054207999996
decode_heavy_shared_prefix,8,512,32,16,7516192768,1080452710.3999999,0.85625,21.609054207999996
decode_heavy_shared_prefix,8,512,128,1,30064771072,34574486732.799995,0.0,691.4897346559999
decode_heavy_shared_prefix,8,512,128,2,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,8,512,128,4,30064771072,8643621683.199999,0.7125,172.87243366399997
decode_heavy_shared_prefix,8,512,128,8,30064771072,4321810841.599999,0.85625,86.43621683199999
decode_heavy_shared_prefix,8,512,128,16,30064771072,4321810841.599999,0.85625,86.43621683199999
decode_heavy_shared_prefix,8,512,512,1,120259084288,138297946931.19998,0.0,2765.9589386239995
decode_heavy_shared_prefix,8,512,512,2,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,8,512,512,4,120259084288,34574486732.799995,0.7125,691.4897346559999
decode_heavy_shared_prefix,8,512,512,8,120259084288,17287243366.399998,0.85625,345.74486732799994
decode_heavy_shared_prefix,8,512,512,16,120259084288,17287243366.399998,0.85625,345.74486732799994
decode_heavy_shared_prefix,8,2048,32,1,30064771072,34574486732.799995,0.0,691.4897346559999
decode_heavy_shared_prefix,8,2048,32,2,30064771072,17287243366.399998,0.42500000000000004,345.74486732799994
decode_heavy_shared_prefix,8,2048,32,4,30064771072,8643621683.199999,0.7125,172.87243366399997
decode_heavy_shared_prefix,8,2048,32,8,30064771072,4321810841.599999,0.85625,86.43621683199999
decode_heavy_shared_prefix,8,2048,32,16,30064771072,4321810841.599999,0.85625,86.43621683199999
decode_heavy_shared_prefix,8,2048,128,1,120259084288,138297946931.19998,0.0,2765.9589386239995
decode_heavy_shared_prefix,8,2048,128,2,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,8,2048,128,4,120259084288,34574486732.799995,0.7125,691.4897346559999
decode_heavy_shared_prefix,8,2048,128,8,120259084288,17287243366.399998,0.85625,345.74486732799994
decode_heavy_shared_prefix,8,2048,128,16,120259084288,17287243366.399998,0.85625,345.74486732799994
decode_heavy_shared_prefix,8,2048,512,1,481036337152,553191787724.7999,0.0,11063.835754495998
decode_heavy_shared_prefix,8,2048,512,2,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,8,2048,512,4,481036337152,138297946931.19998,0.7125,2765.9589386239995
decode_heavy_shared_prefix,8,2048,512,8,481036337152,69148973465.59999,0.85625,1382.9794693119998
decode_heavy_shared_prefix,8,2048,512,16,481036337152,69148973465.59999,0.85625,1382.9794693119998
decode_heavy_shared_prefix,8,8192,32,1,120259084288,138297946931.19998,0.0,2765.9589386239995
decode_heavy_shared_prefix,8,8192,32,2,120259084288,69148973465.59999,0.42500000000000004,1382.9794693119998
decode_heavy_shared_prefix,8,8192,32,4,120259084288,34574486732.799995,0.7125,691.4897346559999
decode_heavy_shared_prefix,8,8192,32,8,120259084288,17287243366.399998,0.85625,345.74486732799994
decode_heavy_shared_prefix,8,8192,32,16,120259084288,17287243366.399998,0.85625,345.74486732799994
decode_heavy_shared_prefix,8,8192,128,1,481036337152,553191787724.7999,0.0,11063.835754495998
decode_heavy_shared_prefix,8,8192,128,2,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,8,8192,128,4,481036337152,138297946931.19998,0.7125,2765.9589386239995
decode_heavy_shared_prefix,8,8192,128,8,481036337152,69148973465.59999,0.85625,1382.9794693119998
decode_heavy_shared_prefix,8,8192,128,16,481036337152,69148973465.59999,0.85625,1382.9794693119998
decode_heavy_shared_prefix,8,8192,512,1,1924145348608,2212767150899.1997,0.0,44255.34301798399
decode_heavy_shared_prefix,8,8192,512,2,1924145348608,1106383575449.5999,0.42500000000000004,22127.671508991996
decode_heavy_shared_prefix,8,8192,512,4,1924145348608,553191787724.7999,0.7125,11063.835754495998
decode_heavy_shared_prefix,8,8192,512,8,1924145348608,276595893862.39996,0.85625,5531.917877247999
decode_heavy_shared_prefix,8,8192,512,16,1924145348608,276595893862.39996,0.85625,5531.917877247999
decode_heavy_shared_prefix,8,32768,32,1,481036337152,553191787724.7999,0.0,11063.835754495998
decode_heavy_shared_prefix,8,32768,32,2,481036337152,276595893862.39996,0.42500000000000004,5531.917877247999
decode_heavy_shared_prefix,8,32768,32,4,481036337152,138297946931.19998,0.7125,2765.9589386239995
decode_heavy_shared_prefix,8,32768,32,8,481036337152,69148973465.59999,0.85625,1382.9794693119998
decode_heavy_shared_prefix,8,32768,32,16,481036337152,69148973465.59999,0.85625,1382.9794693119998
