wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,max_link_load_delta,benefit,wait_penalty
6,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_6""]","[""R_0_0""]",60.136,70.568,1,4764,0,0,1.0,0.0
7,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_7""]","[""R_0_0""]",70.568,80.544,1,3852,0,0,1.0,0.0
0,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83,1,19560,0,0,1.0,0.0
1,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_1""]","[""R_0_0""]",9.83,19.882,1,4004,0,0,1.0,0.0
2,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_2""]","[""R_0_0""]",19.882,30.136000000000003,1,4408,0,0,1.0,0.0
3,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_3""]","[""R_0_0""]",30.136000000000003,39.872,1,3372,0,0,1.0,0.0
4,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_4""]","[""R_0_0""]",39.872,49.89,1,3936,0,0,1.0,0.0
5,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_5""]","[""R_0_0""]",49.89,60.136,1,4392,0,0,1.0,0.0
6,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_6""]","[""R_0_0""]",60.136,70.568,1,4764,0,0,1.0,0.0
7,single_pin_hot_state,single_pin_hot_state,,"[""O_refine_7""]","[""R_0_0""]",70.568,80.544,1,3852,0,0,1.0,0.0
0,WaferStateFlow,WaferStateFlow,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83,1,19560,0,0,0.0,0.0
1,WaferStateFlow,WaferStateFlow,,"[""O_refine_1""]","[""R_0_0""]",9.83,19.882,1,4004,0,0,0.0,0.0
2,WaferStateFlow,WaferStateFlow,,"[""O_refine_2""]","[""R_0_0""]",19.882,30.136000000000003,1,4408,0,0,0.0,0.0
3,WaferStateFlow,WaferStateFlow,,"[""O_refine_3""]","[""R_0_0""]",30.136000000000003,39.872,1,3372,0,0,0.0,0.0
4,WaferStateFlow,WaferStateFlow,,"[""O_refine_4""]","[""R_0_0""]",39.872,49.89,1,3936,0,0,0.0,0.0
5,WaferStateFlow,WaferStateFlow,,"[""O_refine_5""]","[""R_0_0""]",49.89,60.136,1,4392,0,0,0.0,0.0
6,WaferStateFlow,WaferStateFlow,,"[""O_refine_6""]","[""R_0_0""]",60.136,70.568,1,4764,0,0,0.0,0.0
7,WaferStateFlow,WaferStateFlow,,"[""O_refine_7""]","[""R_0_0""]",70.568,80.544,1,3852,0,0,0.0,0.0
