prefix_id,scope,selected_policy,confidence,opportunity_score,predicted_delta_ms_vs_apc,predicted_delta_ms_vs_pat,reason,baseline,arrival_rate_jobs_per_s,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin
sha256:f677e48b5cbfd30ca32bd27ec469b01a970254869740409d2a7e1b7ebf827c5e,shared_kv_object,apc_like,0.5917637150462076,336058.47276224,-336058.47276224,-231756.37949119997,high_queue_and_sram_risk,waferagent_adaptive,8.0,49,train,53,11340,305,23,16,True
sha256:c00d38ebe3adb9f76640cdf35a0f204cc223f1183cb6fa7a7270520603e25ddc,shared_kv_object,waferagent_latency_safe,0.6216105828765807,4774015.252988416,-4774015.252988416,-2905901.870514688,positive_latency_safe_opportunity,waferagent_adaptive,32.0,50,train,7,60696,412,117,32,False
sha256:ba457a05e9119295593f41538615f63406130ebf8d1d6094b57afd998ac10f45,shared_kv_object,waferagent_latency_safe,0.6216105828765807,4774015.252988416,-4774015.252988416,-2905901.870514688,positive_latency_safe_opportunity,waferagent_adaptive,32.0,50,train,7,60696,412,117,32,False
sha256:80c0d08731b5f8b0897bbcf3a25a8abe10d82d2281d84510107566b5aeb3b950,shared_kv_object,waferagent_latency_safe,0.6216104689687398,4088954.306191872,-4088954.306191872,-2488911.005508096,positive_latency_safe_opportunity,waferagent_adaptive,32.0,50,train,7,60696,412,117,32,False
sha256:cbab5781ff4274fdc3e460f1d3612166e1c7283cf4a89b9b1b8ea86fa9b0c40d,shared_kv_object,waferagent_latency_safe,0.6214118430720548,104238.393083648,-104238.393083648,-63440.965355264,positive_latency_safe_opportunity,waferagent_adaptive,16.0,51,train,21,1026,65,212,8,False
sha256:a0bd767e8f0d339be3131d326b2edea436eef1c8f83a8548fc8daa3358060af1,shared_kv_object,waferagent_latency_safe,0.621569707798156,229107.00003584003,-229107.00003584003,-139451.81741312,positive_latency_safe_opportunity,waferagent_adaptive,32.0,52,train,111,45320,218,43,2,False
sha256:41b9d00ca3b03dcfc54bc07a450d5fda326789b5ff5b651c6fbf7b8fbd18a6aa,shared_kv_object,waferagent_latency_safe,0.6216207385039515,8289772.118018912,-8289772.118018912,-5045945.403902817,positive_latency_safe_opportunity,waferagent_adaptive,2.0,53,train,33,51319,642,337,8,False
sha256:c78714e2e319f5734c8f8ffeda6b59025d0783822213a1d156bd21023f3b6bd0,shared_kv_object,apc_like,0.5818051880881494,1665325.461125344,-1665325.461125344,-1196946.062293216,high_queue_and_sram_risk,waferagent_adaptive,2.0,54,train,41,12296,79,49,32,True
sha256:0c023d25fe5309523b291ac9acb9880b1fce4e3a41f1c140a918889a2907dea1,shared_kv_object,waferagent_latency_safe,0.621575111236782,85061.46745568,-85061.46745568,-51775.00953824,positive_latency_safe_opportunity,waferagent_adaptive,4.0,55,train,21,21280,2223,34,2,False
sha256:2a6bb158a31912de5210c714082c9665636221404fdf019cb0d0eafb60974cb6,shared_kv_object,waferagent_latency_safe,0.621124939464443,16045.884364,-16045.884364,-9763.963851999999,positive_latency_safe_opportunity,waferagent_adaptive,2.0,56,train,45,425,1609,70,8,True
sha256:187f9955c22627f1b92643369d16770da9cafee30d4eb6fcc9858063d1b59772,shared_kv_object,waferagent_latency_safe,0.6216143708222046,1296383.5805559682,-1296383.5805559682,-789099.4001210241,positive_latency_safe_opportunity,waferagent_adaptive,4.0,57,train,73,22352,1254,121,8,False
sha256:ca7e79f920b727931216747c8324b97d10c2f3d03d775e564d0dd3d5284ebe9b,shared_kv_object,waferagent_latency_safe,0.6215590456393186,63221.37001184,-63221.37001184,-38481.03718112,positive_latency_safe_opportunity,waferagent_adaptive,4.0,58,train,25,26888,91,20,2,False
sha256:47a48d7da0b5b7f7a274ab59c4bc6c5ade6d706c7c8675c930de13c3e69dd407,shared_kv_object,apc_like,0.5818136601926744,3832878.3508556,-3832878.3508556,-2754876.0183884,high_queue_and_sram_risk,waferagent_adaptive,1.0,59,train,57,8172,97,175,32,False
sha256:df538f2527828f32d93a488f3032a51ddba6a9760b5775b5a3b2794494ef2379,shared_kv_object,waferagent_latency_safe,0.6214746607779605,42731.337984944,-42731.337984944,-26007.941327792,positive_latency_safe_opportunity,waferagent_adaptive,1.0,60,train,108,547,466,163,8,False
sha256:dc1d57df22fc32f5eea917f1519ee6a79279acbcfc2beabfaada6ae5d7cae6db,shared_kv_object,waferagent_latency_safe,0.6215335163412362,153863.08151129598,-153863.08151129598,-93650.52570252799,positive_latency_safe_opportunity,waferagent_adaptive,8.0,61,train,126,418,97,768,8,False
sha256:0e63a9761e2015fc5d3d64bc25c61c047880ef9b38b5a2f48b1ba2a2ee050f54,shared_kv_object,waferagent_latency_safe,0.6216203835633592,4325463.319752416,-4325463.319752416,-2632888.6375666875,positive_latency_safe_opportunity,waferagent_adaptive,2.0,62,train,108,42131,1207,344,4,True
sha256:37abdf3cdab4f7d62121786841f75571138ed8de11b2ae7ed24c352af4369ef9,shared_kv_object,waferagent_latency_safe,0.6215425634627825,118883.76360416,-118883.76360416,-72360.38110688001,positive_latency_safe_opportunity,waferagent_adaptive,4.0,63,train,39,2756,393,90,8,False
sha256:64d2d61cc31d9f6d34c743ed0d2e1d1667a6f4cc3bb580254ffba1b5122308f3,shared_kv_object,apc_like,0.5914545045170855,26987.137918064,-26987.137918064,-18608.41903832,high_queue_and_sram_risk,waferagent_adaptive,1.0,64,train,28,582,124,36,16,True
sha256:79792e744daefaa1b7f75ca57a137512d941c92a665abf20a2245682826843ae,shared_kv_object,waferagent_latency_safe,0.6216141774372366,6371078.31399872,-6371078.31399872,-3878029.25852096,positive_latency_safe_opportunity,waferagent_adaptive,8.0,65,train,32,3914,635,845,32,False
sha256:618993ef0f746d831ff4757ca3008bb5e2d4e875f3294cdc7fb91376c984ee23,shared_kv_object,waferagent_latency_safe,0.6216166065573395,1252480.018459568,-1252480.018459568,-762376.703355824,positive_latency_safe_opportunity,waferagent_adaptive,1.0,66,train,102,20414,263,128,8,False
sha256:e03b5a385ba10246fc26f39377b3aeb669f6d346dcfa0cc25b7c64f51dbc3615,shared_kv_object,waferagent_latency_safe,0.621530016020899,70965.835648896,-70965.835648896,-43194.07169932799,positive_latency_safe_opportunity,waferagent_adaptive,8.0,67,train,103,652,3422,612,2,True
sha256:ad6a92c9c188456fc526c5ebc6f8e911da82436c8c74cdaeb7adb0aaeb0b771e,shared_kv_object,waferagent_latency_safe,0.6216024502692681,636201.758402304,-636201.758402304,-387248.50946227205,positive_latency_safe_opportunity,waferagent_adaptive,16.0,68,train,27,5012,1450,533,4,False
sha256:f8ca25d9107b7b9a27302e6a4ecdc591804eaff195b63e6f68814a2a2c7e5d1f,shared_kv_object,waferagent_latency_safe,0.6168737041364689,2833.77200576,-2833.77200576,-1719.64165568,positive_latency_safe_opportunity,waferagent_adaptive,8.0,69,train,49,297,3648,20,8,False
sha256:17b0d4fd4201602f9be3961aec46a407745beb5c039b36d5c94bb8cfb6350297,shared_kv_object,apc_like,0.5817233430746422,228131.928258784,-228131.928258784,-163963.210545376,high_queue_and_sram_risk,waferagent_adaptive,2.0,70,train,90,737,2796,112,32,True
sha256:638e6cd35ec451726939ca3687ac04f76bb662f5e7745d66465d4b89163fb7d7,shared_kv_object,apc_like,0.6044618855020089,63864.015509344004,-63864.015509344004,-41752.926967648,high_queue_and_sram_risk,waferagent_adaptive,2.0,71,train,53,2798,678,21,16,False
sha256:fbb443f10ef007e12b13f7bc43d8592a0f83300e66a3dcba5a994929e66827d3,shared_kv_object,waferagent_latency_safe,0.6160836212778461,26735.260169728,-26735.260169728,-16215.645320704001,positive_latency_safe_opportunity,waferagent_adaptive,32.0,72,train,109,796,75,17,32,True
sha256:572f75a4e79a1ae723d65d88e4b01e3f63f643c19f10fb39e1d8666fadd8f2e1,shared_kv_object,waferagent_latency_safe,0.6216213753233315,44841073.65101682,-44841073.65101682,-27294562.28295589,positive_latency_safe_opportunity,waferagent_adaptive,1.0,73,train,103,41122,522,1067,16,True
sha256:bdb004d6abbba993c518226a9405590dc0cf3dcc6db9b47bc7918089c809e99a,shared_kv_object,waferagent_latency_safe,0.6216140540838193,19154668.407103997,-19154668.407103997,-11659307.108671997,positive_latency_safe_opportunity,waferagent_adaptive,32.0,74,train,126,6629,412,1500,32,False
sha256:9ad188f0600d44872793718fa78b28a2734c239c12070eae148a6072a9106666,shared_kv_object,waferagent_latency_safe,0.6215749133129559,71024.753476272,-71024.753476272,-43231.170757296,positive_latency_safe_opportunity,waferagent_adaptive,1.0,75,train,16,13192,489,38,2,True
sha256:a3bb3a06d6f77c06657e6989b15ccb3eea4edd7e90365ff655bb60909be90743,shared_kv_object,waferagent_latency_safe,0.6215642441406991,16622.638685936,-16622.638685936,-10117.757624048,positive_latency_safe_opportunity,waferagent_adaptive,1.0,75,train,16,13192,489,38,2,True
