config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9878929351585615
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,1.613000198813959e-05
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.3299324911809144
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.24985078576495787
25,train,114,6571,724,132,8,16.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.997127718802107
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,3.0281932344535347
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,3.028188473347777
26,train,34,54758,79,36,32,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.11400104331661079
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.998855444373345
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9988380222831216
27,train,2,36517,2845,437,2,8.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,0.0
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,apc_global_orchestrator_vs_engine,-0.9627404386809271
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,pat_global_orchestrator_vs_engine,-0.9055943853411875
28,train,19,1734,1796,45,4,32.0,False,0.95,1.0,adaptive_vs_apc_global_orchestrator,0.0
29,train,113,755,328,21,32,1.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.44446309747037877
29,train,113,755,328,21,32,1.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.44439749371033044
29,train,113,755,328,21,32,1.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,0.8000604378332544
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.766430995452534
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.7664280116446465
30,train,36,47664,1510,97,16,4.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.6385234254373948
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.997424630817153
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9917068504509857
31,train,77,1087,302,1470,4,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-5.223099628025064e-06
32,train,28,4682,198,25,8,32.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.296060738212109
