baseline,arrival_rate_jobs_per_s,chosen_policy,num_decisions,mean_opportunity_score,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin
waferagent_adaptive,32.0,waferagent_latency_safe,2,99911.178382592,94,train,13,2724,86,312,4,False
waferagent_adaptive,16.0,waferagent_latency_safe,1,1446.7158218240002,95,train,83,272,3274,18,4,True
waferagent_adaptive,1.0,waferagent_latency_safe,2,6393537.890172175,96,validation,10,21306,1404,589,16,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,324669.80035116797,97,validation,35,11332,370,96,4,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,39258.959969776,98,validation,64,1346,1295,164,2,True
waferagent_adaptive,8.0,waferagent_latency_safe,1,62352.48732864,99,validation,44,349,160,90,32,True
waferagent_adaptive,1.0,waferagent_latency_safe,7,11423.99004941943,100,validation,3,277,2890,626,8,False
waferagent_adaptive,4.0,waferagent_latency_safe,1,33775.057953216005,101,validation,36,457,2434,137,8,True
waferagent_adaptive,1.0,waferagent_latency_safe,2,291618.0632036,102,validation,17,11925,208,48,16,True
waferagent_adaptive,32.0,waferagent_latency_safe,1,8833.869738496,103,validation,63,459,151,81,4,False
waferagent_adaptive,1.0,waferagent_latency_safe,1,80636.337520112,104,validation,89,2337,141,194,2,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,204408.456818432,105,validation,106,3413,370,111,8,True
waferagent_adaptive,1.0,apc_like,1,289727.933705648,106,validation,46,1092,1653,99,32,False
waferagent_adaptive,4.0,waferagent_latency_safe,2,155739.47882432002,107,validation,17,1814,2020,320,8,True
waferagent_adaptive,32.0,waferagent_latency_safe,1,162433.78685695998,108,validation,107,16010,320,34,4,True
waferagent_adaptive,8.0,waferagent_latency_safe,1,3095989.3564977925,109,validation,27,7407,151,409,16,True
waferagent_adaptive,1.0,apc_like,1,181994.236994672,110,validation,53,2394,86,59,16,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,449323.507680704,111,validation,49,24681,507,61,4,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,3213290.95437536,112,validation,87,31596,1578,865,2,False
waferagent_adaptive,4.0,waferagent_latency_safe,1,31390758.53902688,113,validation,38,54570,1478,1066,8,True
waferagent_adaptive,4.0,waferagent_latency_safe,3,123911.26601448534,114,validation,8,3623,134,101,16,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,2575.11798392,115,validation,26,285,189,38,4,False
waferagent_adaptive,32.0,waferagent_latency_safe,4,221175.147459072,116,validation,5,463,172,2006,16,False
waferagent_adaptive,8.0,waferagent_latency_safe,1,16875.578380159997,117,validation,85,463,1720,205,2,True
waferagent_adaptive,4.0,waferagent_latency_safe,2,3718871.5206446717,118,validation,14,3041,217,1233,32,True
waferagent_adaptive,1.0,apc_like,1,14802554.935370864,119,validation,53,38549,471,298,16,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,185501.11453568,120,validation,114,655,506,949,4,True
waferagent_adaptive,8.0,waferagent_latency_safe,1,169464.32424588798,121,validation,120,4778,360,74,8,False
waferagent_adaptive,8.0,waferagent_latency_safe,1,306473.605804928,122,validation,83,42788,637,24,4,True
waferagent_adaptive,8.0,waferagent_latency_safe,1,51053.170577280005,123,validation,89,2734,3292,105,2,True
waferagent_adaptive,1.0,waferagent_latency_safe,7,1363098.3585067359,124,validation,3,16602,255,1102,8,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,82782.352655216,125,validation,21,5439,228,51,4,True
waferagent_adaptive,1.0,waferagent_latency_safe,4,621.178017296,126,validation,6,521,486,44,2,False
waferagent_adaptive,32.0,waferagent_latency_safe,2,285414.36110745603,127,validation,10,4233,218,68,32,True
waferagent_adaptive,8.0,waferagent_latency_safe,1,89626.68893376,128,test,114,444,323,1135,2,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,59705.25252992,129,test,123,4615,116,27,8,False
waferagent_adaptive,8.0,waferagent_latency_safe,2,86282.98512448001,130,test,11,1145,126,76,32,True
waferagent_adaptive,8.0,waferagent_latency_safe,1,7487.316761984,131,test,59,817,662,78,2,False
waferagent_adaptive,8.0,waferagent_latency_safe,2,895054.17328704,132,test,11,534,587,1690,32,True
waferagent_adaptive,32.0,waferagent_latency_safe,1,25087.802187264,133,test,66,329,81,429,2,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,115907.361956288,134,test,122,442,937,486,8,True
waferagent_adaptive,2.0,waferagent_latency_safe,3,4205777.66369584,135,test,7,19240,109,1229,8,True
waferagent_adaptive,2.0,waferagent_latency_safe,1,53056.424371552,136,test,99,1046,365,213,4,False
waferagent_adaptive,2.0,apc_like,1,4005867.17379568,137,test,44,18705,174,197,16,False
waferagent_adaptive,32.0,waferagent_latency_safe,2,11281.666999552,138,test,12,1556,4023,83,2,True
waferagent_adaptive,16.0,apc_like,1,534429.58045568,139,test,87,4395,291,44,32,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,383658.339974912,140,test,77,2233,182,966,2,True
waferagent_adaptive,32.0,waferagent_latency_safe,1,64475.807970816,141,test,58,1549,123,21,32,True
waferagent_adaptive,16.0,apc_like,1,1625079.093817088,142,test,45,10688,2282,118,16,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,1466519.692312048,143,test,55,11762,566,701,2,True
waferagent_adaptive,4.0,apc_like,1,8001761.790761408,144,test,57,11521,4091,539,16,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,592907.0100661761,145,test,53,10483,82,118,8,False
