config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,shared_decode_cohort_reuse_rate,placement_mesh_reduction_ratio,scheduler_parallelism_gain,waferagent_vs_apc_jct_p99_delta_pct,regime_label
81,train,85,565,875,351,4,2.0,False,1.0,1.0,0.0,-0.0,0.984537855243916,-0.984537855243916,waferagent_latency_beneficial
82,train,20,4184,382,824,16,16.0,True,1.0,1.0,0.3000000000006249,0.949263795808809,-0.41865498833792947,0.3865530029158461,traffic_reduction_only
83,train,63,19145,211,676,2,1.0,True,1.0,1.0,0.2691666666668533,1.0,0.9989999950810907,-0.9989999903735728,waferagent_latency_beneficial
84,train,118,943,1043,838,8,1.0,True,1.0,1.0,0.0,0.9989359940761026,-0.17453735103323081,-0.9977697909355265,waferagent_latency_beneficial
85,train,56,5716,794,1332,32,1.0,False,1.0,1.0,0.2749218750001945,0.9166279216073272,-3.0364179506866145,2.810842413856708,traffic_reduction_only
86,train,109,1597,3824,17,16,4.0,False,1.0,1.0,0.0,1.0,0.42580745724574853,0.0,low_reuse_apc_better
87,train,36,312,251,18,2,1.0,True,1.0,1.0,0.0,1.0,0.8217832148322382,-0.8217832148322382,waferagent_latency_beneficial
88,train,22,7928,1014,1254,4,32.0,True,1.0,1.0,0.33150000000017954,1.0,0.999501589397479,-0.999501588790414,waferagent_latency_beneficial
89,train,120,6219,64,191,2,16.0,True,1.0,1.0,0.26916666666707345,1.0,0.9928744028864783,-0.9928743405149143,waferagent_latency_beneficial
90,train,89,398,347,117,2,16.0,False,1.0,1.0,0.0,-0.0,0.8392307223423544,-0.8392307223423544,waferagent_latency_beneficial
91,train,88,606,696,23,32,4.0,True,1.0,1.0,0.0,0.998682606462448,-0.5594983753982397,0.0,low_reuse_apc_better
92,train,74,15886,1032,838,16,2.0,False,1.0,1.0,0.318750000000086,0.9424982711331052,-1.774168387348029,1.7079543071382863,traffic_reduction_only
93,train,99,1366,88,143,4,8.0,False,1.0,1.0,0.4143750000076162,-0.0,0.9871827011499041,-0.9871834955620604,waferagent_latency_beneficial
94,train,13,2724,86,312,4,32.0,False,1.0,1.0,0.39312500000166073,-0.0,0.9952288057939177,-0.9952288057939177,waferagent_latency_beneficial
95,train,83,272,3274,18,4,16.0,True,1.0,1.0,0.0,1.0,0.7103362032588614,-0.7103362032588614,waferagent_latency_beneficial
96,validation,10,21306,1404,589,16,1.0,True,1.0,1.0,0.2975000000000425,0.9492624560125147,-0.3532281380992412,0.321287343379463,traffic_reduction_only
97,validation,35,11332,370,96,4,4.0,True,1.0,1.0,0.33150000000164104,1.0,0.996178661405606,-0.9961786106623116,waferagent_latency_beneficial
98,validation,64,1346,1295,164,2,1.0,True,1.0,1.0,0.2691666666688556,1.0,0.9712913076153777,-0.9712918491816243,waferagent_latency_beneficial
99,validation,44,349,160,90,32,8.0,True,1.0,1.0,0.0,0.9914496150338303,-0.7048598008798018,-0.9912311718912332,waferagent_latency_beneficial
100,validation,3,277,2890,626,8,1.0,False,1.0,1.0,0.0,-0.0,0.5608213943314536,-0.988753402435423,waferagent_latency_beneficial
101,validation,36,457,2434,137,8,4.0,True,1.0,1.0,0.0,0.9996364508688559,0.4970812145347844,-0.9776373938357241,waferagent_latency_beneficial
102,validation,17,11925,208,48,16,1.0,True,1.0,1.0,0.2975,0.9492401767621266,-0.45781312942635405,0.306663771722541,traffic_reduction_only
103,validation,63,459,151,81,4,32.0,False,1.0,1.0,0.0,-0.0,0.9470547784443941,-0.9470547784443941,waferagent_latency_beneficial
104,validation,89,2337,141,194,2,1.0,True,1.0,1.0,0.2691666666687982,1.0,0.9885414213446777,-0.988541677168496,waferagent_latency_beneficial
105,validation,106,3413,370,111,8,16.0,True,1.0,1.0,0.373055555559091,0.9999603277797467,-0.32378108031709746,-0.9962661731257854,waferagent_latency_beneficial
106,validation,46,1092,1653,99,32,1.0,False,1.0,1.0,0.0,1.0,-1.501081162594029,0.0,low_reuse_apc_better
107,validation,17,1814,2020,320,8,4.0,True,1.0,1.0,0.3683333333333333,0.9998925387505265,-0.3004683336618385,-0.9972876387399832,waferagent_latency_beneficial
108,validation,107,16010,320,34,4,32.0,True,1.0,1.0,0.3315,1.0,0.9938643077637798,-0.9938640685655256,waferagent_latency_beneficial
