config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,jct_p99_delta_vs_apc,benefit_scheduler_orchestrator_pct,benefit_decode_cohort_pct,benefit_affinity_placement_pct,benefit_shared_kv_placement_pct,benefit_prefill_cache_pct,benefit_adaptive_selection_pct,unexplained_pct,primary_benefit_source
87,train,36,312,251,18,2,1.0,True,1.0,1.0,0.8217832148322382,96.99766314644265,0.0,0.0013646848139923107,0.0,3.0009721687433593,0.0,0.0,scheduler_orchestrator
88,train,22,7928,1014,1254,4,32.0,True,1.0,1.0,0.999501588790414,7.79572635882332,0.0,92.20337245802712,0.0,0.0009011831495653551,0.0,0.0,affinity_placement
89,train,120,6219,64,191,2,16.0,True,1.0,1.0,0.9928743405149143,6.752904784449888,0.0,93.24016375726242,0.0,0.006931458287688052,0.0,1.4210854715202004e-14,affinity_placement
90,train,89,398,347,117,2,16.0,False,1.0,1.0,0.8392307223423544,99.77121828017859,0.0,0.0,0.0,0.22878171982141773,0.0,0.0,scheduler_orchestrator
91,train,88,606,696,23,32,4.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
92,train,74,15886,1032,838,16,2.0,False,1.0,1.0,-1.7079543071382863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
93,train,99,1366,88,143,4,8.0,False,1.0,1.0,0.9871834955620604,99.93572394095226,0.0,0.0,0.0,0.06427605904774795,0.0,0.0,scheduler_orchestrator
94,train,13,2724,86,312,4,32.0,False,1.0,1.0,0.9952288057939177,100.0,0.0,0.0,0.0,5.3244672614455256e-17,0.0,0.0,scheduler_orchestrator
95,train,83,272,3274,18,4,16.0,True,1.0,1.0,0.7103362032588614,98.09950551897406,0.0,0.0015932516371006385,0.0,1.8989012293888299,0.0,1.4210854715202004e-14,scheduler_orchestrator
96,validation,10,21306,1404,589,16,1.0,True,1.0,1.0,-0.321287343379463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
97,validation,35,11332,370,96,4,4.0,True,1.0,1.0,0.9961786106623116,7.667167180204543,0.0,92.32560788815918,0.0,0.007224931636273917,0.0,0.0,affinity_placement
98,validation,64,1346,1295,164,2,1.0,True,1.0,1.0,0.9712918491816243,99.57458578600998,0.0,3.903979660128174e-05,0.0,0.42537517419342885,0.0,0.0,scheduler_orchestrator
99,validation,44,349,160,90,32,8.0,True,1.0,1.0,0.9912311718912332,0.0,0.0,8.632559304320346e-05,49.992444551137446,50.00746912326951,0.0,0.0,prefill_cache
100,validation,3,277,2890,626,8,1.0,False,1.0,1.0,0.988753402435423,39.57470649932165,0.0,0.0,30.197285256152202,30.228008244526144,0.0,0.0,scheduler_orchestrator
101,validation,36,457,2434,137,8,4.0,True,1.0,1.0,0.9776373938357241,34.04522786424272,0.0,0.00010919530264058759,32.91342369713611,33.04123924331853,0.0,0.0,scheduler_orchestrator
102,validation,17,11925,208,48,16,1.0,True,1.0,1.0,-0.306663771722541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
103,validation,63,459,151,81,4,32.0,False,1.0,1.0,0.9470547784443941,99.89305457373166,0.0,0.0,0.0,0.10694542626832873,0.0,1.4210854715202004e-14,scheduler_orchestrator
104,validation,89,2337,141,194,2,1.0,True,1.0,1.0,0.988541677168496,99.666829368934,0.0,1.9417001139640988e-05,0.0,0.33315121406486153,0.0,0.0,scheduler_orchestrator
105,validation,106,3413,370,111,8,16.0,True,1.0,1.0,0.9962661731257854,0.0,0.0001279675120963365,1.8237583859906272e-05,4.629081748640818,95.37077204626323,0.0,0.0,prefill_cache
106,validation,46,1092,1653,99,32,1.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
107,validation,17,1814,2020,320,8,4.0,True,1.0,1.0,0.9972876387399832,0.0,1.1103096026102961e-05,1.8123557325088304e-05,4.837336092945812,95.16263468040084,0.0,0.0,prefill_cache
108,validation,107,16010,320,34,4,32.0,True,1.0,1.0,0.9938640685655256,7.809010855708909,0.0,92.17300977340538,0.0,0.01797937088569432,0.0,1.4210854715202004e-14,affinity_placement
109,validation,27,7407,151,409,16,8.0,True,1.0,1.0,-0.32182680602447794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
110,validation,53,2394,86,59,16,1.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
111,validation,49,24681,507,61,4,4.0,True,1.0,1.0,0.9968841026483747,7.822802565010398,0.0,92.16617830231712,0.0,0.011019132672489775,0.0,0.0,affinity_placement
112,validation,87,31596,1578,865,2,4.0,False,1.0,1.0,0.9988536570794576,4.813826204025115,0.0,95.1855634420924,0.0,0.0006103538824978102,0.0,0.0,affinity_placement
113,validation,38,54570,1478,1066,8,4.0,True,1.0,1.0,0.9983006414229256,0.0,0.0,89.64213810425152,0.0,10.357861895748483,0.0,0.0,affinity_placement
114,validation,8,3623,134,101,16,4.0,True,1.0,1.0,0.9981190449263129,0.0,0.0,0.5237805193297749,0.0,99.47621948067022,0.0,0.0,prefill_cache
115,validation,26,285,189,38,4,1.0,False,1.0,1.0,0.910370642372489,99.772905372152,0.0,0.0,0.0,0.2270946278479931,0.0,1.4210854715202004e-14,scheduler_orchestrator
116,validation,5,463,172,2006,16,32.0,False,1.0,1.0,0.9991218043613662,0.0,0.0,0.0,49.9995886887535,50.00041131124651,0.0,0.0,prefill_cache
117,validation,85,463,1720,205,2,8.0,True,1.0,1.0,0.9375379468498315,99.65739730923421,0.0,9.34522621344006e-05,0.0,0.3425092385036507,0.0,0.0,scheduler_orchestrator
118,validation,14,3041,217,1233,32,4.0,True,1.0,1.0,0.9245129760001413,0.0,0.0,0.0,12.7538442748371,87.24615572516291,0.0,0.0,prefill_cache
119,validation,53,38549,471,298,16,1.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_beneficial
120,validation,114,655,506,949,4,16.0,True,1.0,1.0,0.9942602914693457,99.96303606196244,0.0,3.090465429096837e-05,0.0,0.03693303338327783,0.0,0.0,scheduler_orchestrator
121,validation,120,4778,360,74,8,8.0,False,1.0,1.0,0.9928812915563071,0.0,6.319148177926999e-06,89.00770267322714,0.0,10.992291007624688,0.0,0.0,affinity_placement
122,validation,83,42788,637,24,4,8.0,True,1.0,1.0,0.9947158701994334,7.845504393949275,0.0,92.12548702579598,0.0,0.02900858025475116,0.0,0.0,affinity_placement
123,validation,89,2734,3292,105,2,8.0,True,1.0,1.0,0.9736889142153455,99.33567637991942,0.0,2.8719912845076503e-05,0.0,0.664294900167731,0.0,0.0,scheduler_orchestrator
124,validation,3,16602,255,1102,8,1.0,True,1.0,1.0,0.9996914884436743,0.0,0.0,89.68542407485643,0.0,10.31457592514356,0.0,1.4210854715202004e-14,affinity_placement
