config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,oracle_best_policy,oracle_best_jct_p99_ms,apc_like_jct_p99_ms,waferagent_adaptive_jct_p99_ms,adaptive_regret_ms,adaptive_slowdown_vs_apc,oracle_speedup_vs_apc,adaptive_speedup_vs_apc,oracle_beneficial,adaptive_beneficial,adaptive_non_worse_than_apc_within_5pct,adaptive_within_5pct_of_oracle
105,validation,106,3413,370,111,8,16.0,True,1.0,1.0,waferagent_latency_safe,56.05162266943286,15011.84295836469,56.05162266943286,0.0,-0.9962661731257854,0.9962661731257854,0.9962661731257854,True,True,True,True
106,validation,46,1092,1653,99,32,1.0,False,1.0,1.0,waferagent_latency_safe,27.979346069427397,8898.030274519533,8898.030274519533,8870.050928450106,0.0,0.9968555573305309,0.0,True,False,True,False
107,validation,17,1814,2020,320,8,4.0,True,1.0,1.0,waferagent_latency_safe,62.15793104537393,22916.53842784537,62.15793104537393,0.0,-0.9972876387399832,0.9972876387399832,0.9972876387399832,True,True,True,True
108,validation,107,16010,320,34,4,32.0,True,1.0,1.0,waferagent_latency_safe,64.72526247550081,10548.563517487199,64.72526247550081,0.0,-0.9938640685655256,0.9938640685655256,0.9938640685655256,True,True,True,True
109,validation,27,7407,151,409,16,8.0,True,1.0,1.0,apc_like,247129.37946923682,247129.37946923682,326662.2383386325,79532.85886939568,0.32182680602447794,0.0,-0.32182680602447794,False,False,False,False
110,validation,53,2394,86,59,16,1.0,True,1.0,1.0,waferagent_latency_safe,33.045689959419704,11698.003164493533,11698.003164493533,11664.957474534114,0.0,0.9971750999298991,0.0,True,False,True,False
111,validation,49,24681,507,61,4,4.0,True,1.0,1.0,waferagent_latency_safe,88.86475449039236,28519.79525064816,88.86475449039236,0.0,-0.9968841026483747,0.9968841026483747,0.9968841026483747,True,True,True,True
112,validation,87,31596,1578,865,2,4.0,False,1.0,1.0,waferagent_latency_safe,82.36044154653698,71846.25130111317,82.36044154653698,0.0,-0.9988536570794576,0.9988536570794576,0.9988536570794576,True,True,True,True
113,validation,38,54570,1478,1066,8,4.0,True,1.0,1.0,waferagent_latency_safe,3894.313747858869,2291637.445090321,3894.313747858869,0.0,-0.9983006414229256,0.9983006414229256,0.9983006414229256,True,True,True,True
114,validation,8,3623,134,101,16,4.0,True,1.0,1.0,waferagent_latency_safe,56.57396187033178,30077.253126217212,56.57396187033178,0.0,-0.9981190449263129,0.9981190449263129,0.9981190449263129,True,True,True,True
115,validation,26,285,189,38,4,1.0,False,1.0,1.0,waferagent_latency_safe,8.304832874877352,92.65750748087748,8.304832874877352,0.0,-0.910370642372489,0.910370642372489,0.910370642372489,True,True,True,True
116,validation,5,463,172,2006,16,32.0,False,1.0,1.0,waferagent_latency_safe,32.115354524363106,36569.70396064437,32.115354524363106,0.0,-0.9991218043613662,0.9991218043613662,0.9991218043613662,True,True,True,True
117,validation,85,463,1720,205,2,8.0,True,1.0,1.0,waferagent_latency_safe,49.619382317968665,794.392432132769,49.619382317968665,0.0,-0.9375379468498315,0.9375379468498315,0.9375379468498315,True,True,True,True
118,validation,14,3041,217,1233,32,4.0,True,1.0,1.0,waferagent_latency_safe,46791.670787443436,619863.7634400707,46791.670787443436,0.0,-0.9245129760001413,0.9245129760001413,0.9245129760001413,True,True,True,True
119,validation,53,38549,471,298,16,1.0,True,1.0,1.0,apc_like,939554.610478641,939554.610478641,939554.610478641,0.0,0.0,0.0,0.0,False,False,True,True
120,validation,114,655,506,949,4,16.0,True,1.0,1.0,waferagent_latency_safe,65.83518169428584,11470.126286496286,65.83518169428584,0.0,-0.9942602914693457,0.9942602914693457,0.9942602914693457,True,True,True,True
121,validation,120,4778,360,74,8,8.0,False,1.0,1.0,waferagent_latency_safe,47.0611006990596,6610.904361556613,47.0611006990596,0.0,-0.9928812915563071,0.9928812915563071,0.9928812915563071,True,True,True,True
122,validation,83,42788,637,24,4,8.0,True,1.0,1.0,waferagent_latency_safe,107.77639702655836,20396.243297241235,107.77639702655836,0.0,-0.9947158701994334,0.9947158701994334,0.9947158701994334,True,True,True,True
123,validation,89,2734,3292,105,2,8.0,True,1.0,1.0,waferagent_latency_safe,60.78851306223797,2310.3764534754437,60.78851306223797,0.0,-0.9736889142153455,0.9736889142153455,0.9736889142153455,True,True,True,True
