config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,baseline,jct_p99_ms,mesh_total_traffic_bytes
17,train,10,264,258,178,32,16.0,True,1.0,1.0,pat_like_global_orchestrator,14944.384778537706,5666627778560.0
17,train,10,264,258,178,32,16.0,True,1.0,1.0,waferagent_adaptive,53.70997646866196,39188480.0
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,apc_like,17578.029325905125,280966316687360.0
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,apc_like_global_orchestrator,70099.46007812837,24924431319040.0
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,pat_like_traffic_only,20006.70596942047,252342881090192.0
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,pat_like_global_orchestrator,70099.46007812838,24924431319040.0
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,waferagent_adaptive,64031.143183376356,22600507064320.0
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,apc_like,19405.00179356275,77504865894400.0
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,apc_like_global_orchestrator,53192.07390496737,5536061849600.0
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,pat_like_traffic_only,5185.624882030663,318323556352.0
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,pat_like_global_orchestrator,53192.05449027393,5536061849600.0
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,waferagent_adaptive,32.49733049543529,0.0
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,apc_like,44337.11089180845,177219494215680.0
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,apc_like_global_orchestrator,123760.12027324186,12658535301120.0
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,pat_like_traffic_only,44337.31089180845,166622907282223.0
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,pat_like_global_orchestrator,123760.12691731258,12658535301120.0
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,waferagent_adaptive,477.1176838367091,173602242560.0
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,apc_like,243205.39070757758,2037460380917760.0
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,apc_like_global_orchestrator,478471.9393754494,177240930155520.0
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,pat_like_traffic_only,426384.563870241,1942289782382581.0
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,pat_like_global_orchestrator,474621.2978489089,177240930155520.0
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,waferagent_adaptive,86.75138551337615,139361280.0
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,apc_like,2635.108757728532,2580881131200.0
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,apc_like_global_orchestrator,61.550166622282404,0.0
