prefix_tokens,query_tile_size,num_shards,dtype,independent_attention_ms,query_tiled_attention_ms,blockwise_partial_attention_ms,merge_ms,device
2048,1,1,bf16_storage_fp32_accum,2.4719852954149246,2.4719852954149246,2.435578964650631,0.0,NVIDIA H100 PCIe
2048,1,2,bf16_storage_fp32_accum,2.4641091004014015,2.4641091004014015,4.916513338685036,2.452404238283634,NVIDIA H100 PCIe
2048,1,4,bf16_storage_fp32_accum,2.467511221766472,2.467511221766472,9.813505224883556,7.3459940031170845,NVIDIA H100 PCIe
2048,1,8,bf16_storage_fp32_accum,2.465113066136837,2.465113066136837,19.629571586847305,17.16445852071047,NVIDIA H100 PCIe
2048,2,1,bf16_storage_fp32_accum,2.4788398295640945,2.4788398295640945,2.459886483848095,0.0,NVIDIA H100 PCIe
2048,2,2,bf16_storage_fp32_accum,2.4798568338155746,2.4798568338155746,4.93268296122551,2.452826127409935,NVIDIA H100 PCIe
2048,2,4,bf16_storage_fp32_accum,2.4789422750473022,2.4789422750473022,9.856515564024448,7.377573288977146,NVIDIA H100 PCIe
2048,2,8,bf16_storage_fp32_accum,2.478313632309437,2.478313632309437,19.68810986727476,17.209796234965324,NVIDIA H100 PCIe
2048,4,1,bf16_storage_fp32_accum,2.4809129536151886,2.4809129536151886,2.463247627019882,0.0,NVIDIA H100 PCIe
2048,4,2,bf16_storage_fp32_accum,2.4789460003376007,2.4789460003376007,4.9318671226501465,2.4529211223125458,NVIDIA H100 PCIe
2048,4,4,bf16_storage_fp32_accum,2.479768358170986,2.479768358170986,9.861555881798267,7.381787523627281,NVIDIA H100 PCIe
2048,4,8,bf16_storage_fp32_accum,2.4810172617435455,2.4810172617435455,19.715338945388794,17.23432168364525,NVIDIA H100 PCIe
2048,8,1,bf16_storage_fp32_accum,7.344169542193413,7.344169542193413,2.4387631565332413,0.0,NVIDIA H100 PCIe
2048,8,2,bf16_storage_fp32_accum,2.4735378101468086,2.4735378101468086,4.932304844260216,2.458767034113407,NVIDIA H100 PCIe
2048,8,4,bf16_storage_fp32_accum,2.47212965041399,2.47212965041399,9.858069010078907,7.385939359664917,NVIDIA H100 PCIe
2048,8,8,bf16_storage_fp32_accum,2.4734456092119217,2.4734456092119217,19.705653190612793,17.23220758140087,NVIDIA H100 PCIe
2048,16,1,bf16_storage_fp32_accum,2.475428394973278,2.475428394973278,2.4606380611658096,0.0,NVIDIA H100 PCIe
2048,16,2,bf16_storage_fp32_accum,2.4761194363236427,2.4761194363236427,4.928954876959324,2.452835440635681,NVIDIA H100 PCIe
2048,16,4,bf16_storage_fp32_accum,2.476773224771023,2.476773224771023,9.865710511803627,7.388937287032604,NVIDIA H100 PCIe
2048,16,8,bf16_storage_fp32_accum,2.474745735526085,2.474745735526085,19.71432939171791,17.239583656191826,NVIDIA H100 PCIe
8192,1,1,bf16_storage_fp32_accum,2.489411272108555,2.489411272108555,2.464969642460346,0.0,NVIDIA H100 PCIe
8192,1,2,bf16_storage_fp32_accum,2.4851495400071144,2.4851495400071144,4.922372289001942,2.4372227489948273,NVIDIA H100 PCIe
8192,1,4,bf16_storage_fp32_accum,2.4863043799996376,2.4863043799996376,9.824234060943127,7.337929680943489,NVIDIA H100 PCIe
8192,1,8,bf16_storage_fp32_accum,2.4879351258277893,2.4879351258277893,19.656945019960403,17.169009894132614,NVIDIA H100 PCIe
8192,2,1,bf16_storage_fp32_accum,2.4958308786153793,2.4958308786153793,2.469301223754883,0.0,NVIDIA H100 PCIe
8192,2,2,bf16_storage_fp32_accum,2.4858247488737106,2.4858247488737106,4.935659468173981,2.44983471930027,NVIDIA H100 PCIe
