reuse_group_size,shared_prefix_tokens,decode_tokens,arrival_rate_jobs_per_s,cross_job_prefix_hit_rate_observed,shared_kv_read_reduction_ratio,waferagent_vs_apc_jct_p99_delta_pct,apc_like_jct_p99_ms,waferagent_jct_p99_ms,regime_label
1,8192,128,2.0,0.0,0.09929679357797538,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
1,8192,128,4.0,0.0,0.09929679357797538,4.964033683856415,382633.93847408245,2282041.6976460707,traffic_reduction_only
1,8192,128,8.0,0.0,0.09979080747637326,4.936095297963035,382633.93847408245,2271351.5230170777,traffic_reduction_only
1,8192,128,16.0,0.0,0.09929679357797538,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
1,8192,512,2.0,0.0,0.09929679357797538,5.021243317874879,382633.93847408245,2303932.0452292166,traffic_reduction_only
1,8192,512,4.0,0.0,0.09929679357797538,4.964033683856415,382633.93847408245,2282041.6976460707,traffic_reduction_only
1,8192,512,8.0,0.0,0.09979080747637326,4.936095297963035,382633.93847408245,2271351.5230170777,traffic_reduction_only
1,8192,512,16.0,0.0,0.09929679357797538,4.965183212145673,382633.93847408245,2282481.546182777,traffic_reduction_only
1,32768,32,2.0,0.0,0.1008414646972694,3.4399907972244725,1379487.9528129944,6124913.815371723,traffic_reduction_only
1,32768,32,4.0,0.0,0.05452983014175028,5.513969028677974,1379487.9528129944,8985941.800058227,traffic_reduction_only
1,32768,32,8.0,0.0,0.05913333778413987,5.420724536146842,1379487.9528129944,8857312.14594537,traffic_reduction_only
1,32768,32,16.0,0.0,0.06522832782018462,5.3873729494388405,1379487.9528129944,8811304.033874484,traffic_reduction_only
1,32768,128,2.0,0.0,0.1008414646972694,3.4399907972244725,1379487.9528129944,6124913.815371723,traffic_reduction_only
1,32768,128,4.0,0.0,0.05452983014175028,5.513969028677974,1379487.9528129944,8985941.800058227,traffic_reduction_only
1,32768,128,8.0,0.0,0.05913333778413987,5.420724536146842,1379487.9528129944,8857312.14594537,traffic_reduction_only
1,32768,128,16.0,0.0,0.06522832782018462,5.3873729494388405,1379487.9528129944,8811304.033874484,traffic_reduction_only
1,32768,512,2.0,0.0,0.1008414646972694,3.4399907972244725,1379487.9528129944,6124913.815371723,traffic_reduction_only
1,32768,512,4.0,0.0,0.05452983014175028,5.513969028677974,1379487.9528129944,8985941.800058227,traffic_reduction_only
1,32768,512,8.0,0.0,0.05913333778413987,5.420724536146842,1379487.9528129944,8857312.14594537,traffic_reduction_only
1,32768,512,16.0,0.0,0.06522832782018462,5.3873729494388405,1379487.9528129944,8811304.033874484,traffic_reduction_only
2,512,32,2.0,0.029411764705882353,0.18020289855092209,5.0067297376507165,289304.18387216376,1737772.0444916969,traffic_reduction_only
2,512,32,4.0,0.029411764705882353,0.18020289855092209,4.924155581866226,289304.18387216376,1713882.995743532,traffic_reduction_only
2,512,32,8.0,0.029411764705882353,0.18020289855092209,4.925413710062284,289304.1838721637,1714246.977494499,traffic_reduction_only
2,512,32,16.0,0.029411764705882353,0.18020289855092209,4.9258592220338615,289304.1838721637,1714375.8659718414,traffic_reduction_only
2,512,128,2.0,0.029411764705882353,0.18020289855092209,5.0067297376507165,289304.18387216376,1737772.0444916969,traffic_reduction_only
2,512,128,4.0,0.029411764705882353,0.18020289855092209,4.924155581866226,289304.18387216376,1713882.995743532,traffic_reduction_only
2,512,128,8.0,0.029411764705882353,0.18020289855092209,4.925413710062284,289304.1838721637,1714246.977494499,traffic_reduction_only
2,512,128,16.0,0.029411764705882353,0.18020289855092209,4.9258592220338615,289304.1838721637,1714375.8659718414,traffic_reduction_only
2,512,512,2.0,0.029411764705882353,0.18020289855092209,5.0067297376507165,289304.18387216376,1737772.0444916969,traffic_reduction_only
