policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-retention-v2-oracle,oracle,oracle,8,0.25,718745000,,,5.787866350374612e-07,331725,577765376,48,1,159,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,197137000,0,0,0,0,0,0,0,1653,1104,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-placement-v2-online,heuristic,heuristic,8,0.25,721353269,,,5.766938584428872e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,166802904,5755246,17540579328,88080384,0,0,0,0,1700,1057,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
asg-prefetch-v2-online,heuristic,heuristic,8,0.25,720274802,,,5.775573417880027e-07,331725,577765376,48,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24054240920163372,0.9828877005347594,141822736,18428144,18832949248,62914560,15313928192,41948897,17872496,240,1718,1039,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",-0.0,False
lru-system,none,none,1,0.5,718733000,,,5.787962984863642e-07,330623,0,0,1,159,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1594,1211,"{""agent_role"": 2, ""assistant_delta"": 10, ""edit_diff"": 2, ""file_context"": 3, ""system_prefix"": 2, ""task_prefix"": 2, ""test_failure_summary"": 2, ""tool_observation"": 1}",,False
kvflow-like,none,none,1,0.5,724905000,,,5.738682999841358e-07,384550,28273278976,1164,1,159,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.1196038388981483,0.5850267379679145,208943000,0,0,0,0,0,0,0,1365,276,"{""agent_role"": 18, ""file_context"": 1, ""system_prefix"": 17, ""task_prefix"": 17, ""test_failure_summary"": 1}",,False
asg-retention-v2-online,heuristic,heuristic,1,0.5,718733000,,,5.787962984863642e-07,330623,0,0,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,2042,763,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 13, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",,False
asg-retention-v2-oracle,oracle,oracle,1,0.5,718733000,,,5.787962984863642e-07,330623,0,0,1,159,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1583,1222,"{""agent_role"": 1, ""assistant_delta"": 10, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",,False
asg-placement-v2-online,heuristic,heuristic,1,0.5,720493988,,,5.77381639442632e-07,330623,0,0,1,159,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,163234369,6909867,14331412480,6291456,0,0,0,0,2047,758,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 13, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.5,720493988,,,5.77381639442632e-07,330623,0,0,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,138575319,14093004,14379122688,0,14403764224,33653703,22612064,226,2053,752,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 13, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",,False
lru-system,none,none,2,0.5,718733000,,,5.787962984863642e-07,330623,0,0,2,290,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.24306534918221945,1.0,196583000,0,0,0,0,0,0,0,1733,1072,"{""agent_role"": 2, ""assistant_delta"": 7, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 2, ""task_prefix"": 2, ""test_failure_summary"": 2, ""tool_observation"": 2}",,False
kvflow-like,none,none,2,0.5,726110000,,,5.729159493740618e-07,388944,30577000448,1207,1,159,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,0.10954413084488723,0.5696969696969697,209280000,0,0,0,0,0,0,0,1316,282,"{""agent_role"": 15, ""system_prefix"": 15, ""task_prefix"": 15, ""test_failure_summary"": 2}",,False
