state_precision,num_shards,shared_prefix_tokens,reduction,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count
fp32,4,8192,tree,5.960464477539063e-08,1.0443812925586826e-08,7.720489179097847e-07,0.9999999811773391,0
fp32,4,32768,ring,1.1175870895385742e-08,3.1632225727662444e-09,4.3634266259634415e-07,0.9999999335476796,0
fp32,4,32768,tree,1.1408701539039612e-08,3.238596946175676e-09,4.4796864156891524e-07,0.9999999335476796,0
fp32,8,2048,ring,3.3993273973464966e-08,1.0478288459125906e-08,2.8042856605564405e-07,0.9999999895515512,0
fp32,8,2048,tree,3.725290298461914e-08,9.78070602286607e-09,2.7042399359199687e-07,0.9999999895515512,0
fp32,8,8192,ring,2.7008354663848877e-08,8.882807378540747e-09,6.247242233597291e-07,1.000000048614542,0
fp32,8,8192,tree,2.7939677238464355e-08,8.926235750550404e-09,6.175062109926111e-07,1.000000048614542,0
fp32,8,32768,ring,4.487810656428337e-08,8.76480044098571e-09,1.0466568684802686e-06,1.0000000671895024,0
fp32,8,32768,tree,4.4528860598802567e-08,8.788504146650666e-09,1.0479151303670433e-06,1.0000000671895024,0
fp32,16,2048,ring,2.9802322387695312e-08,6.846079259048565e-09,2.828114706560851e-07,0.9999999169465363,0
fp32,16,2048,tree,2.9802322387695312e-08,6.649770512012765e-09,2.8056390993444914e-07,0.9999999169465363,0
fp32,16,8192,ring,2.7939677238464355e-08,6.75072442390956e-09,5.2040796525792e-07,0.9999999871526963,0
fp32,16,8192,tree,2.9802322387695312e-08,6.812342689954676e-09,5.238569980787998e-07,0.9999999871526963,0
fp32,16,32768,ring,3.2654497772455215e-08,5.709438255507848e-09,7.163179283006255e-07,1.0000000513061549,0
fp32,16,32768,tree,3.2421667128801346e-08,5.773209466042317e-09,7.234227533367913e-07,1.0000000513061549,0
fp32,32,2048,ring,2.9802322387695312e-08,6.932069140930253e-09,2.6098714190286286e-07,0.9999998922221659,0
fp32,32,2048,tree,2.9802322387695312e-08,6.228013660347642e-09,2.3295696310057088e-07,0.9999999881971561,0
fp32,32,8192,ring,1.4901161193847656e-08,4.724370228359476e-09,3.2040332687015534e-07,0.9999999445140697,0
fp32,32,8192,tree,1.30385160446167e-08,4.604316927725449e-09,3.152298082960584e-07,0.9999999445140697,0
fp32,32,32768,ring,3.166496753692627e-08,4.917126261716476e-09,6.350373463322047e-07,0.9999999804724071,0
fp32,32,32768,tree,2.60770320892334e-08,4.712376266979845e-09,6.03446971514157e-07,1.0000000500845032,0
