mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,device,dtype,exact_merge,latency_ms,memory_bytes_estimated,oom,independent_latency_ms,independent_memory_bytes,latency_speedup,read_byte_reduction_ratio,reps
independent_attention,512,1024,2,28,128,cuda:1,float16,True,2.6211580261588097,14680064.0,0,2.6211580261588097,14680064.0,1.0,0.0,10
independent_attention,512,1024,4,28,128,cuda:1,float16,True,2.8617712669074535,29360128.0,0,2.8617712669074535,29360128.0,1.0,0.0,10
independent_attention,512,1024,8,28,128,cuda:1,float16,True,3.0383141711354256,58720256.0,0,3.0383141711354256,58720256.0,1.0,0.0,10
independent_attention,512,1024,16,28,128,cuda:1,float16,True,3.23671568185091,117440512.0,0,3.23671568185091,117440512.0,1.0,0.0,10
independent_attention,2048,64,1,28,128,cuda:1,float16,True,2.7422765269875526,29360128.0,0,2.7422765269875526,29360128.0,1.0,0.0,10
independent_attention,2048,64,2,28,128,cuda:1,float16,True,2.7293283492326736,58720256.0,0,2.7293283492326736,58720256.0,1.0,0.0,10
independent_attention,2048,64,4,28,128,cuda:1,float16,True,2.924047876149416,117440512.0,0,2.924047876149416,117440512.0,1.0,0.0,10
independent_attention,2048,64,8,28,128,cuda:1,float16,True,3.067281562834978,234881024.0,0,3.067281562834978,234881024.0,1.0,0.0,10
independent_attention,2048,64,16,28,128,cuda:1,float16,True,3.369612153619528,469762048.0,0,3.369612153619528,469762048.0,1.0,0.0,10
independent_attention,2048,256,1,28,128,cuda:1,float16,True,2.7438546530902386,29360128.0,0,2.7438546530902386,29360128.0,1.0,0.0,10
independent_attention,2048,256,2,28,128,cuda:1,float16,True,2.782384864985943,58720256.0,0,2.782384864985943,58720256.0,1.0,0.0,10
independent_attention,2048,256,4,28,128,cuda:1,float16,True,2.8241099789738655,117440512.0,0,2.8241099789738655,117440512.0,1.0,0.0,10
independent_attention,2048,256,8,28,128,cuda:1,float16,True,3.0149146914482117,234881024.0,0,3.0149146914482117,234881024.0,1.0,0.0,10
independent_attention,2048,256,16,28,128,cuda:1,float16,True,3.2856306061148643,469762048.0,0,3.2856306061148643,469762048.0,1.0,0.0,10
independent_attention,2048,1024,1,28,128,cuda:1,float16,True,2.6034596376121044,29360128.0,0,2.6034596376121044,29360128.0,1.0,0.0,10
independent_attention,2048,1024,2,28,128,cuda:1,float16,True,2.7219243347644806,58720256.0,0,2.7219243347644806,58720256.0,1.0,0.0,10
independent_attention,2048,1024,4,28,128,cuda:1,float16,True,2.855527214705944,117440512.0,0,2.855527214705944,117440512.0,1.0,0.0,10
independent_attention,2048,1024,8,28,128,cuda:1,float16,True,3.0655241571366787,234881024.0,0,3.0655241571366787,234881024.0,1.0,0.0,10
independent_attention,2048,1024,16,28,128,cuda:1,float16,True,3.3378652296960354,469762048.0,0,3.3378652296960354,469762048.0,1.0,0.0,10
independent_attention,8192,64,1,28,128,cuda:1,float16,True,2.7554826810956,117440512.0,0,2.7554826810956,117440512.0,1.0,0.0,10
independent_attention,8192,64,2,28,128,cuda:1,float16,True,2.8615216724574566,234881024.0,0,2.8615216724574566,234881024.0,1.0,0.0,10
independent_attention,8192,64,4,28,128,cuda:1,float16,True,3.0328859575092793,469762048.0,0,3.0328859575092793,469762048.0,1.0,0.0,10
independent_attention,8192,64,8,28,128,cuda:1,float16,True,3.459249623119831,939524096.0,0,3.459249623119831,939524096.0,1.0,0.0,10
independent_attention,8192,64,16,28,128,cuda:1,float16,True,4.406490828841925,1879048192.0,0,4.406490828841925,1879048192.0,1.0,0.0,10
independent_attention,8192,256,1,28,128,cuda:1,float16,True,2.7265078388154507,117440512.0,0,2.7265078388154507,117440512.0,1.0,0.0,10
independent_attention,8192,256,2,28,128,cuda:1,float16,True,3.112108912318945,234881024.0,0,3.112108912318945,234881024.0,1.0,0.0,10
independent_attention,8192,256,4,28,128,cuda:1,float16,True,3.026464022696018,469762048.0,0,3.026464022696018,469762048.0,1.0,0.0,10
independent_attention,8192,256,8,28,128,cuda:1,float16,True,3.5148118622601032,939524096.0,0,3.5148118622601032,939524096.0,1.0,0.0,10
independent_attention,8192,256,16,28,128,cuda:1,float16,True,4.431325010955334,1879048192.0,0,4.431325010955334,1879048192.0,1.0,0.0,10
independent_attention,8192,1024,1,28,128,cuda:1,float16,True,2.8107883408665657,117440512.0,0,2.8107883408665657,117440512.0,1.0,0.0,10
independent_attention,8192,1024,2,28,128,cuda:1,float16,True,2.8475457802414894,234881024.0,0,2.8475457802414894,234881024.0,1.0,0.0,10
independent_attention,8192,1024,4,28,128,cuda:1,float16,True,3.058037720620632,469762048.0,0,3.058037720620632,469762048.0,1.0,0.0,10
independent_attention,8192,1024,8,28,128,cuda:1,float16,True,3.570565953850746,939524096.0,0,3.570565953850746,939524096.0,1.0,0.0,10
independent_attention,8192,1024,16,28,128,cuda:1,float16,True,4.3964264914393425,1879048192.0,0,4.3964264914393425,1879048192.0,1.0,0.0,10
independent_attention,16384,64,1,28,128,cuda:1,float16,True,2.8059943579137325,234881024.0,0,2.8059943579137325,234881024.0,1.0,0.0,10
independent_attention,16384,64,2,28,128,cuda:1,float16,True,3.011186607182026,469762048.0,0,3.011186607182026,469762048.0,1.0,0.0,10
independent_attention,16384,64,4,28,128,cuda:1,float16,True,3.3370433375239372,939524096.0,0,3.3370433375239372,939524096.0,1.0,0.0,10
independent_attention,16384,64,8,28,128,cuda:1,float16,True,4.098254255950451,1879048192.0,0,4.098254255950451,1879048192.0,1.0,0.0,10
independent_attention,16384,64,16,28,128,cuda:1,float16,True,8.191929198801517,3758096384.0,0,8.191929198801517,3758096384.0,1.0,0.0,10
independent_attention,16384,256,1,28,128,cuda:1,float16,True,2.7809939347207546,234881024.0,0,2.7809939347207546,234881024.0,1.0,0.0,10
independent_attention,16384,256,2,28,128,cuda:1,float16,True,2.962845843285322,469762048.0,0,2.962845843285322,469762048.0,1.0,0.0,10
independent_attention,16384,256,4,28,128,cuda:1,float16,True,3.418173175305128,939524096.0,0,3.418173175305128,939524096.0,1.0,0.0,10
independent_attention,16384,256,8,28,128,cuda:1,float16,True,4.102325066924095,1879048192.0,0,4.102325066924095,1879048192.0,1.0,0.0,10
independent_attention,16384,256,16,28,128,cuda:1,float16,True,7.990815211087465,3758096384.0,0,7.990815211087465,3758096384.0,1.0,0.0,10
independent_attention,16384,1024,1,28,128,cuda:1,float16,True,2.7205985970795155,234881024.0,0,2.7205985970795155,234881024.0,1.0,0.0,10
independent_attention,16384,1024,2,28,128,cuda:1,float16,True,3.0258065089583397,469762048.0,0,3.0258065089583397,469762048.0,1.0,0.0,10
independent_attention,16384,1024,4,28,128,cuda:1,float16,True,3.315599635243416,939524096.0,0,3.315599635243416,939524096.0,1.0,0.0,10
independent_attention,16384,1024,8,28,128,cuda:1,float16,True,4.159970674663782,1879048192.0,0,4.159970674663782,1879048192.0,1.0,0.0,10
independent_attention,16384,1024,16,28,128,cuda:1,float16,True,8.059469051659107,3758096384.0,0,8.059469051659107,3758096384.0,1.0,0.0,10
split_shared_private_merge,512,64,1,28,128,cuda:1,float16,True,2.66399048268795,8257536.0,0,2.6333951391279697,7340032.0,0.9885152203963169,-0.125,10
split_shared_private_merge,512,64,2,28,128,cuda:1,float16,True,2.639958169311285,9175040.0,0,2.6817023754119873,14680064.0,1.01581244982817,0.375,10
split_shared_private_merge,512,64,4,28,128,cuda:1,float16,True,2.629986498504877,11010048.0,0,2.687892410904169,29360128.0,1.0220175702165053,0.625,10
split_shared_private_merge,512,64,8,28,128,cuda:1,float16,True,2.6203403249382973,14680064.0,0,2.817169763147831,58720256.0,1.0751159825829755,0.75,10
split_shared_private_merge,512,64,16,28,128,cuda:1,float16,True,2.630173694342375,22020096.0,0,3.015176858752966,117440512.0,1.1463793684952255,0.8125,10
split_shared_private_merge,512,256,1,28,128,cuda:1,float16,True,2.666930202394724,11010048.0,0,2.618452999740839,7340032.0,0.9818228453784221,-0.5,10
split_shared_private_merge,512,256,2,28,128,cuda:1,float16,True,2.619580365717411,14680064.0,0,2.6273787952959538,14680064.0,1.002976976648856,0.0,10
split_shared_private_merge,512,256,4,28,128,cuda:1,float16,True,2.624057698994875,22020096.0,0,2.6787263341248035,29360128.0,1.020833625400413,0.25,10
split_shared_private_merge,512,256,8,28,128,cuda:1,float16,True,2.6088482700288296,36700160.0,0,2.7802097611129284,58720256.0,1.0656847287949809,0.375,10
split_shared_private_merge,512,256,16,28,128,cuda:1,float16,True,2.6719425804913044,66060288.0,0,3.0997120775282383,117440512.0,1.1600968150139954,0.4375,10
split_shared_private_merge,512,1024,1,28,128,cuda:1,float16,True,2.651065122336149,22020096.0,0,2.552235033363104,7340032.0,0.9627206106178353,-2.0,10
split_shared_private_merge,512,1024,2,28,128,cuda:1,float16,True,2.623145468533039,36700160.0,0,2.6211580261588097,14680064.0,0.9992423438203979,-1.5,10
split_shared_private_merge,512,1024,4,28,128,cuda:1,float16,True,2.734609879553318,66060288.0,0,2.8617712669074535,29360128.0,1.0465007415883785,-1.25,10
split_shared_private_merge,512,1024,8,28,128,cuda:1,float16,True,2.8412682004272938,124780544.0,0,3.0383141711354256,58720256.0,1.069351415216099,-1.125,10
split_shared_private_merge,512,1024,16,28,128,cuda:1,float16,True,2.8306343592703342,242221056.0,0,3.23671568185091,117440512.0,1.1434594762303576,-1.0625,10
split_shared_private_merge,2048,64,1,28,128,cuda:1,float16,True,2.747170627117157,30277632.0,0,2.7422765269875526,29360128.0,0.9982184943005378,-0.03125,10
split_shared_private_merge,2048,64,2,28,128,cuda:1,float16,True,2.8844336047768593,31195136.0,0,2.7293283492326736,58720256.0,0.9462267894510317,0.46875,10
split_shared_private_merge,2048,64,4,28,128,cuda:1,float16,True,2.654947806149721,33030144.0,0,2.924047876149416,117440512.0,1.101357951134245,0.71875,10
split_shared_private_merge,2048,64,8,28,128,cuda:1,float16,True,2.7450285851955414,36700160.0,0,3.067281562834978,234881024.0,1.1173951263667738,0.84375,10
split_shared_private_merge,2048,64,16,28,128,cuda:1,float16,True,2.7585732750594616,44040192.0,0,3.369612153619528,469762048.0,1.2215054006665438,0.90625,10
split_shared_private_merge,2048,256,1,28,128,cuda:1,float16,True,2.7117272838950157,33030144.0,0,2.7438546530902386,29360128.0,1.0118475664518434,-0.125,10
split_shared_private_merge,2048,256,2,28,128,cuda:1,float16,True,2.789161168038845,36700160.0,0,2.782384864985943,58720256.0,0.9975704870946318,0.375,10
split_shared_private_merge,2048,256,4,28,128,cuda:1,float16,True,2.6937867514789104,44040192.0,0,2.8241099789738655,117440512.0,1.0483791923853685,0.625,10
split_shared_private_merge,2048,256,8,28,128,cuda:1,float16,True,2.6713632978498936,58720256.0,0,3.0149146914482117,234881024.0,1.1286052682818668,0.75,10
split_shared_private_merge,2048,256,16,28,128,cuda:1,float16,True,2.741765696555376,88080384.0,0,3.2856306061148643,469762048.0,1.1983630148421414,0.8125,10
split_shared_private_merge,2048,1024,1,28,128,cuda:1,float16,True,2.6188576593995094,44040192.0,0,2.6034596376121044,29360128.0,0.9941203288647098,-0.5,10
