baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,cross_job_task_group_size,unique_task_ratio,cross_job_prefix_hit_rate_observed
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20936.8367763374,0.0,0.301255230125523,720.0,0.5723076923076923,1009.0,219009777664.0,312795442370560.0,3.9656304553958046,5570560.0,5079040.0,2.31626244096,62.559088474112,0.03489660928,0.1778921766912,0.21696046567014401,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.57461759983,446710153216.0,251222032384.0,222365220864.0,259.5474701374769,792.1473309397697,0.1875516027212143,3.495589829981327,245.9817575290799,1691.1568846553564,5.637189615517855,0.00036775889286404787,1,1.0,0.03461538461538462
waferagent_full,1.0,300,4.152186660482834,151826.08930277498,37280.0911798701,54249.79644570727,70196.37413266087,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,33010.75605911872,42725.37192769322,0.301255230125523,720.0,0.3961038961038961,2496.0,535352573952.0,6665554746368.0,2.1297665426823342,5570560.0,5079040.0,2.31626244096,1.3331109492736,1.4954109756906,0.43365076828160004,0.018594783780686,72330685238228.0,87617332838400.0,0.17447058823813377,analytical,,662250.2206046229,0.0,72330685238228.0,472.0,2.0,472.0,472.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30132.574617599927,29660352924628.0,247866589184.0,542063460352.0,258.8029056787491,805.147965438664,0.20913127809762955,257.3450105264783,398.9598583430052,1859.3128863722086,6.197709621240695,0.00021614552680004556,1,1.0,0.03461538461538462
apc_like,1.0,300,8.905679525190012,325639.14039841446,6521.51237012398,33398.74999448736,33686.368249771396,13.429570094938194,227.77586540088632,232.6648597628681,2.0340753642793494,6.572776216218417,6.572776216218417,20939.79368615026,0.0,0.6506024096385542,1620.0,0.6934615384615385,693.0,185832833024.0,312589334272000.0,3.96647834933515,5468160.0,5181440.0,2.2759971225599998,62.5178668544,0.03489660928,0.15135062097920002,0.21660037069073065,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30564.719001599817,493308870656.0,204623314944.0,189188276224.0,261.5822581574321,854.0983684360981,0.11365208774805069,3.3177733421325684,174.82843436300755,1678.596985526383,5.595323285087943,0.00036522388761181583,2,0.0,0.07307692307692308
waferagent_full,1.0,300,5.374144508392011,196507.3853308567,20696.075844464773,37821.54768058732,53768.1253675409,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169356,5.187561146980762,5.880168681599587,17726.538772126743,22095.50842416358,0.6506024096385542,1620.0,0.4977533699450824,1811.0,467622952960.0,5016312470528.0,2.169872078197375,5468160.0,5181440.0,2.2759971225599998,1.0032624941056,1.6731689346484002,0.379467071488,0.01777298540934,69508891724648.0,87617332838400.0,0.20667647059230754,analytical,,733375.116725453,0.0,69508891724648.0,652.0,2.0,652.0,652.0,0.0,0.0,0.0,2.0,0.00040629202454229186,0.0,0.0,0.0,0.0,30564.71900159989,33246843554664.0,216535138304.0,474333839360.0,260.6280716136098,886.3457702100277,0.12742076069116592,189.5332746207714,324.28325340151787,1868.1705370545387,6.227235123515129,0.0003534595325546085,2,0.0,0.07307692307692308
apc_like,1.0,300,8.904969917777654,325613.19336684584,6521.51237012398,33398.74999448736,33689.052604331395,13.429570094938194,227.77586540088632,235.34921432286808,2.0340753642793494,6.572776216218417,6.572776216218417,20937.75582778021,0.0,0.5966046887631367,1476.0,0.6803846153846154,727.0,180573175808.0,312572808714240.0,3.9664188232091675,5484544.0,5165056.0,2.282439573504,62.514561742848,0.03489660928,0.1471428952064,0.21659680273612802,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30495.575900159816,496421044224.0,201511141376.0,183928619008.0,258.81525967270136,854.1460363194346,0.13324152678251266,3.3929795026779175,175.90254545211792,1681.537657044828,5.6051255234827595,0.0003659100618664888,2,0.1,0.06692307692307692
waferagent_full,1.0,300,5.19913680516387,190108.17032641865,23407.339213790492,39001.58916132331,55647.17319570089,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169356,5.187561146980762,5.880168681599583,19809.28254811998,24826.605386155366,0.5966046887631367,1476.0,0.4803825404610103,1918.0,478469423104.0,5255001922560.0,2.1295851603213616,5484544.0,5165056.0,2.282439573504,1.051000384512,1.6455093452629999,0.3881442476032,0.017890311836274,69945689898668.0,87617332838400.0,0.20169117647446877,analytical,,722311.2439955462,0.0,69945689898668.0,624.0,2.0,624.0,624.0,0.0,0.0,0.0,2.0,0.0004053184615408703,0.0,0.0,0.0,0.0,30495.57590015989,32688392109740.0,221794795520.0,485180309504.0,258.916269056499,886.4022633060813,0.1432383432984352,189.4409554079175,324.61590971797705,1868.7238413840532,6.229079471280177,0.0003238575520387029,2,0.1,0.06692307692307692
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,230.46021996088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20942.119670135744,0.0,0.5038823048630977,1233.0,0.64,832.0,200605171712.0,312680384223232.0,3.9660998548843014,5512192.0,5137408.0,2.293311209472,62.5360768446464,0.03489660928,0.1631684919296,0.21675817718442664,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30378.89691647982,472765169664.0,225167015936.0,203960614912.0,256.95532746613026,851.6846364364028,0.1502232626080513,3.366866149008274,248.14920220524073,1746.216139756143,5.82072046585381,0.00037984122418051585,2,0.25,0.05653846153846154
waferagent_full,1.0,300,4.8322599708524345,176693.1965875429,27788.20825571046,43382.4555574833,60028.03959186088,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980762,5.880168681599583,23738.669274926302,30044.720012203226,0.5038823048630977,1233.0,0.45179719114496547,2102.0,496622370816.0,5694799862784.0,2.120178555028872,5512192.0,5137408.0,2.293311209472,1.1389599725568,1.5972339128574,0.40266660577280006,0.018107239002196667,70698168168956.0,87617332838400.0,0.19310294118002236,analytical,,703344.6050299918,0.0,70698168168956.0,576.0,2.0,576.0,576.0,0.0,0.0,0.0,2.0,0.0003631750000021583,0.0,0.0,0.0,0.0,30378.89691647988,31714528408060.0,230149849088.0,503333257216.0,259.86906699836254,805.6977856904268,0.1639239490032196,188.64939361810684,327.0971290767193,1792.8594080731273,5.976198026910424,0.0002695111895349132,2,0.25,0.05653846153846154
apc_like,1.0,300,8.904537209782546,325597.3712547687,6521.51237012398,33398.74999448736,33690.6896936114,13.429570094938194,232.09730924088632,236.9863036028681,2.0340753642793494,6.572776216218417,6.572776216218417,20940.445604605968,0.0,0.39842780306164666,963.0,0.6026923076923076,929.0,210738610176.0,312743600773120.0,3.9658371934492918,5542912.0,5106688.0,2.3053908049919998,62.548720154624,0.03489660928,0.17127524270080002,0.21686760937198932,87617332838400.0,87617332838400.0,0.0,analytical,,1683627.180032,0.0,87617332838400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30249.253601279823,458605199360.0,239326986240.0,214094053376.0,255.6735472753644,788.0167467519641,0.16535073518753052,3.41631006449461,246.21338583528996,1680.0900641828775,5.600300213942925,0.00036540189596280965,2,0.5,0.045
waferagent_full,1.0,300,4.373154568696448,159905.8545225752,33629.36697827006,50599.074448907195,66545.65213586077,4.77839052148836,13.429570094938194,144.01109532862264,1.7273149337169373,5.187561146980755,5.880168681599583,29400.518188128794,37716.08321779872,0.39842780306164666,963.0,0.4183321847002068,2331.0,519875592192.0,6299056462848.0,2.1368639688913365,5542912.0,5106688.0,2.3053908049919998,1.2598112925696001,1.53697552169635,0.42126918287360005,0.0184114893404385,71659811346567.0,87617332838400.0,0.18212745098352623,analytical,,679241.1680112658,0.0,71659811346567.0,515.0,2.0,515.0,515.0,0.0,0.0,0.0,2.0,0.00017758135922435632,0.0,0.0,0.0,0.0,30249.253601279903,30499009042567.0,240501391360.0,526586478592.0,260.6673426926136,803.9450040087104,0.19548553973436356,187.31514550745487,326.77615247666836,1868.9859779551625,6.229953259850542,0.0002376465528660919,2,0.5,0.045
