baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
no_cache,4.0,100,1.592759213606425,69775.59562967026,19792.710743921652,33570.31709021519,33570.31709021519,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337384,6.5727762162184185,6.5727762162184185,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,77.45395228266716,298.09681326150894,0.02233590930700302,1.0770754888653755,56.88248481601477,561.9247732684016,5.619247732684016,0.0002839049084981797
pat_like,4.0,100,1.675249620491229,73389.33537447976,9192.822299019903,30622.330855543038,30637.30617442034,9.047804099433051,17.58703139104182,23.89616768585256,2.558422913024961,5.065336287935956,5.065336287935956,14985.484642485,0.0,0.9107142857142857,765.0,0.7588235294117647,116.0,81000398848.0,74927385451353.0,3.8472324298848557,2163200.0,2112000.0,0.8921284608,14.985477090270601,0.01400897536,0.065900904448,0.15957515430878602,22355734272328.0,35540854374400.0,0.3709848942621147,analytical,,203891.06251202562,0.0,22355734272328.0,150.0,3.76,150.0,150.0,0.0,0.0,0.0,3.76,0.029511273232274107,0.0,0.0,0.0,0.0,13193.271705599906,195823665152.0,84355842048.0,82376130560.0,77.51225400716066,233.59097354114056,0.02133101224899292,11.518006213009357,64.63431846350431,508.2458546385169,5.082458546385169,0.0003084921964055331
wafer_naive,4.0,100,1.592759213606425,69775.59562967026,19792.710743921652,33570.31709021519,33570.31709021519,18.723035439044907,27.65362898195599,27.65362898195599,4.231528814337384,6.5727762162184185,6.5727762162184185,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.2319325953722,236.12408991903067,0.020770356059074402,1.1147018522024155,57.830323465168476,589.7138137370348,5.897138137370348,0.00029794494618082365
waferagent_full,4.0,100,2.7485870105091066,120410.09975638294,2285.559511107279,6599.106745057339,8676.442625328167,9.103980308213067,17.38703139104109,23.696167685851833,3.363971971660555,5.880168681599596,5.880168681599596,835.21075024977,750.7812191813875,0.9107142857142857,765.0,0.7887205387205387,186.0,125392912384.0,1337882504704.0,2.3017655493696156,2163200.0,2112000.0,0.8921284608,0.2675765009408,1.0795903614905,0.1020323168256,0.023413276400568995,28329604284274.0,35540854374400.0,0.20290030211879906,analytical,,305046.10189475917,0.0,28329604284274.0,261.0,2.0,261.0,261.0,0.0,0.0,0.0,2.0,4.833103440899695e-06,0.0,0.0,0.0,0.0,13193.271705599907,21509263327090.0,82543902720.0,127540396032.0,78.44508998095989,237.0571903884411,0.021297484636306763,14.48451355099678,56.880359537899494,506.1763385310769,5.061763385310769,0.0016145673216565184
apc_like,8.0,100,2.0863545116766584,91399.01844753105,19675.142495169715,33398.74999448737,33477.39955769437,11.611005995534015,17.38703139104109,23.696167685853652,4.231528814337384,6.572776216218415,6.572776216218417,24606.6871414784,0.0,0.9107142857142857,765.0,0.7976470588235294,93.0,68643979264.0,123033384754176.0,4.071003095738009,2163200.0,2112000.0,0.8921284608,24.6066769508352,0.01400897536,0.0562036736,0.255690180605952,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,208180084736.0,71999422464.0,70254592000.0,77.40486040711403,231.81984014809132,0.019566155970096588,1.052682287991047,53.71587723493576,494.8062561452389,4.948062561452389,0.0002513002067972703
ideal_next_use_cache,8.0,100,3.228951643677004,141453.9136062022,2285.559511107281,12125.914616868306,16438.900782154335,9.103980308213067,17.38703139104109,23.696167685853652,3.4574380403488485,5.88016868159959,5.880168681599592,2467.7766881256475,3046.7849739066028,0.9107142857142857,765.0,0.7244224422442245,241.0,168602632192.0,1341103730176.0,2.7285827428962333,2163200.0,2112000.0,0.8921284608,0.2682207460352,0.89911583571285,0.1373517119488,0.0219681675449685,28905559398673.0,35540854374400.0,0.18669486405218183,analytical,,275410.8117057542,0.0,28905559398673.0,249.0,2.0,249.0,249.0,0.0,0.0,0.0,2.0,4.22168674564332e-06,0.0,0.0,0.0,0.0,13193.271705599907,17881359816977.0,100956897280.0,171689639936.0,136.66078634560108,240.159023553133,0.02224370837211609,14.78948537260294,58.13822615891695,570.2021941542625,5.702021941542625,0.0011874293921228616
kvflow_like,8.0,100,2.0863545116766584,91399.01844753105,19675.142495169715,33398.74999448737,33477.39955769437,11.611005995534015,17.38703139104109,23.696167685853652,4.231528814337384,6.572776216218415,6.572776216218417,24605.190570316805,0.0,0.9107142857142857,765.0,0.8035294117647059,97.0,69122129920.0,123025902115840.0,4.071312886226602,2163200.0,2112000.0,0.8921284608,24.605180423168,0.01400897536,0.0565861941248,0.255679040534528,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,207701934080.0,72477573120.0,70732742656.0,78.10925412923098,232.24033880978823,0.019243918359279633,1.0894620791077614,52.990895695984364,499.6287152171135,4.996287152171135,0.00025376931161922407
no_cache,8.0,100,2.075669655403705,90930.93626392551,19792.710743921656,33570.3170902152,33570.317090215205,18.723035439043542,27.65362898195599,27.65362898195599,4.231528814337384,6.572776216218415,6.572776216218417,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,77.50486023724079,233.47333073616028,0.02088211476802826,1.0704556480050087,58.053385466337204,560.0270358845592,5.6002703588455915,0.0002829461022950297
pat_like,8.0,100,2.2146396058230877,97018.93185189783,8414.28165264225,30622.726601672664,30664.08493870518,7.367875602020035,17.58703139104182,23.89616768585438,2.558422913024956,5.0653362879359545,5.19440573908755,15122.418944308003,0.0,0.9107142857142857,765.0,0.74,129.0,92710895616.0,75612056925412.0,3.901520342814091,2163200.0,2112000.0,0.8921284608,15.1224113850824,0.01400897536,0.07548405022719999,0.16104032871469598,22854809472121.0,35540854374400.0,0.356942598189669,analytical,,211003.52769392653,0.0,22854809472121.0,153.0,3.69281045751634,153.0,153.0,0.0,0.0,0.0,3.69281045751634,0.033446132357888916,0.0,0.0,0.0,0.0,13193.271705599916,184113168384.0,96066338816.0,94355062784.0,78.56681849807501,233.8812742382288,0.028148293495178223,11.958642862737179,133.28505400568247,580.426431261003,5.80426431261003,0.00035054813162716474
wafer_naive,8.0,100,2.075669655403705,90930.93626392551,19792.710743921656,33570.3170902152,33570.317090215205,18.723035439043542,27.65362898195599,27.65362898195599,4.231528814337384,6.572776216218415,6.572776216218417,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.678117133677,234.63501688092947,0.022184103727340698,1.0630004107952118,57.629126124083996,505.63103053718805,5.0563103053718805,0.0002554632546693824
waferagent_full,8.0,100,3.228951643677004,141453.9136062022,2285.559511107281,12125.914616868306,16438.900782154335,9.103980308213067,17.38703139104109,23.696167685853652,3.4574380403488485,5.88016868159959,5.880168681599592,2467.7766881256475,3046.7849739066028,0.9107142857142857,765.0,0.7244224422442245,241.0,168602632192.0,1341103730176.0,2.7285827428962333,2163200.0,2112000.0,0.8921284608,0.2682207460352,0.89911583571285,0.1373517119488,0.0219681675449685,28905559398673.0,35540854374400.0,0.18669486405218183,analytical,,275410.8117057542,0.0,28905559398673.0,249.0,2.0,249.0,249.0,0.0,0.0,0.0,2.0,4.22168674564332e-06,0.0,0.0,0.0,0.0,13193.271705599907,17881359816977.0,100956897280.0,171689639936.0,79.57058772444725,238.69363777339458,0.020820647478103638,14.88414965569973,57.54949897527695,509.6003785729408,5.096003785729408,0.0010612278836491808
apc_like,16.0,100,2.4614148691332343,107829.66258698874,19656.10501527869,33339.91397934799,33477.39955769438,11.611005995534384,17.38703139104109,23.696167685853652,4.231528814337384,6.572776216218413,6.572776216218414,24596.0133055072,0.0,0.9107142857142857,765.0,0.82,91.0,65112375296.0,122980016430080.0,7.125809575308722,2163200.0,2112000.0,0.8921284608,24.596003286016,0.01400897536,0.053378390425600004,0.255555191126016,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599944,211711688704.0,68467818496.0,66722988032.0,78.23283411562443,234.01466477662325,0.019657425582408905,1.0074181482195854,54.14666887372732,499.13422390818596,4.99134223908186,0.0002536494265543058
ideal_next_use_cache,16.0,100,3.445932135945785,150959.39501151294,3301.172799054727,17322.317208575107,21412.48399153362,9.103980308213181,17.38703139104109,23.696167685853652,3.457438040348847,5.8801686815995895,5.880168681599591,3375.403278058412,3678.7622514479776,0.9107142857142857,765.0,0.7171799027552674,253.0,170984996864.0,1717055974912.0,2.3528571773200646,2163200.0,2112000.0,0.8921284608,0.3434111949824,0.9044630699967,0.1393381343232,0.022793408601023,29081223561086.0,35540854374400.0,0.18175226586468496,analytical,,271064.2902761478,0.0,29081223561086.0,238.0,2.0,238.0,238.0,0.0,0.0,0.0,2.0,9.71697478806301e-06,0.0,0.0,0.0,0.0,13193.271705599907,17989395021694.0,99866378240.0,174172667904.0,80.35571873188019,242.7697516977787,0.021005980670452118,15.1694780215621,58.621794916689396,514.3257509917021,5.143257509917021,0.0008994028280347641
kvflow_like,16.0,100,2.4614148691332343,107829.66258698874,19657.53127863869,33339.91397934799,33477.39955769438,11.611005995534384,17.38703139104109,23.696167685853652,4.231528814337384,6.572776216218413,6.572776216218414,24596.7498452416,0.0,0.9107142857142857,765.0,0.8164705882352942,94.0,65590525952.0,122983699028992.0,7.125705063244744,2163200.0,2112000.0,0.8921284608,24.596739805798403,0.01400897536,0.053760910950400004,0.255566381529088,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599944,211233538048.0,68945969152.0,67201138688.0,78.65775004029274,292.9051574319601,0.021778978407382965,1.0579098016023636,54.64537814259529,560.2054912596941,5.602054912596941,0.00028467251082785156
no_cache,16.0,100,2.446556796907537,107178.76015892539,19792.710743921656,33570.3170902152,33570.31709021521,18.723035439043997,27.6536289819569,27.6536289819569,4.231528814337383,6.572776216218414,6.572776216218414,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,77.72840466350317,233.70214365422726,0.02042483538389206,1.0060984641313553,57.31749441474676,498.5909294337034,4.985909294337034,0.0002519063385932726
pat_like,16.0,100,2.6467463533415496,115948.6642471866,11223.291688951285,30622.330855543063,30953.44835370556,9.047804099432227,17.58703139104091,23.89616768585347,2.792687226202066,5.065336287935956,5.065336287935957,15085.174682646402,0.0,0.9107142857142857,765.0,0.768235294117647,117.0,83827359744.0,75425836538720.0,3.840269272812914,2163200.0,2112000.0,0.8921284608,15.085167307744,0.01400897536,0.068350377984,0.16059655121888,22439700882966.0,35540854374400.0,0.36862235649773045,analytical,,216930.58454323208,0.0,22439700882966.0,150.0,3.8,150.0,150.0,0.0,0.0,0.0,3.8,0.07947209969617991,0.0,0.0,0.0,0.0,13193.271705599927,192996704256.0,87182802944.0,85437972480.0,79.21154890209436,238.86493779718876,0.026984140276908875,12.301383540034294,66.5591387078166,522.2169831395149,5.222169831395149,0.00031538871706720075
wafer_naive,16.0,100,2.446556796907537,107178.76015892539,19792.710743921656,33570.3170902152,33570.31709021521,18.723035439043997,27.6536289819569,27.6536289819569,4.231528814337383,6.572776216218414,6.572776216218414,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,analytical,,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,79.33365926146507,236.4431107416749,0.02042856067419052,1.027299091219902,58.63043386489153,585.346981883049,5.85346981883049,0.0002957386633171553
waferagent_full,16.0,100,3.445932135945785,150959.39501151294,3301.172799054727,17322.317208575107,21412.48399153362,9.103980308213181,17.38703139104109,23.696167685853652,3.457438040348847,5.8801686815995895,5.880168681599591,3375.403278058412,3678.7622514479776,0.9107142857142857,765.0,0.7171799027552674,253.0,170984996864.0,1717055974912.0,2.3528571773200646,2163200.0,2112000.0,0.8921284608,0.3434111949824,0.9044630699967,0.1393381343232,0.022793408601023,29081223561086.0,35540854374400.0,0.18175226586468496,analytical,,271064.2902761478,0.0,29081223561086.0,238.0,2.0,238.0,238.0,0.0,0.0,0.0,2.0,9.71697478806301e-06,0.0,0.0,0.0,0.0,13193.271705599907,17989395021694.0,99866378240.0,174172667904.0,78.75952124595642,240.47165922820568,0.022065825760364532,15.455476939678192,58.03496949374676,510.7298595830798,5.107298595830798,0.0008931146830294152
