baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit,workflow
helium_like_operator_schedule,1,6.94000320284875,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,301.756,341.7414,832,832,False,mapreduce
helium_like_operator_schedule,1,6.94000320284875,O_summarizer,S_expert_1_summary,R_0_0,inline,inline,413.46375,468.2514375,1140,1140,False,mapreduce
helium_like_operator_schedule,1,6.94000320284875,O_summarizer,S_expert_2_summary,R_0_0,inline,inline,326.41875000000005,369.67218750000006,900,900,False,mapreduce
helium_like_operator_schedule,1,6.94000320284875,O_summarizer,S_expert_3_summary,R_0_0,inline,inline,314.81274999999994,356.5282874999999,868,868,False,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,1395.6876109083912,1257.1969470904542,4000,4000,False,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,998.9846548321791,999.3400256409165,4000,4000,False,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,1395.6876109083912,1257.1969470904542,4000,4000,False,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,365.56471875,393.36706718749997,1780,1780,False,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_1,S_task,R_0_15,replicate,replicate,1257.1969470904542,1167.1780156087952,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_1,S_document,R_0_15,replicate,replicate,999.3400256409165,999.5710166665957,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_1,S_rubric,R_0_15,replicate,replicate,1257.1969470904542,1167.1780156087952,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_1,S_unique_expert_1,R_0_15,inline,inline,325.311525,350.05249125,1584,1584,False,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_2,S_task,R_15_0,replicate,replicate,1167.1780156087952,1108.665710145717,0,0,True,mapreduce
kvflow_like_future_eviction,0,0.0,O_expert_2,S_document,R_15_0,replicate,replicate,999.5710166665957,999.7211608332873,0,0,True,mapreduce
