concurrency_level,workflow_id,success,workflow_wall_clock_s,num_llm_requests,num_llm_errors,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,tokens_per_second_mean,gpu_memory_used_mib_mean,gpu_memory_used_mib_max,gpu_utilization_pct_mean,gpu_power_draw_w_mean
2,c2_wf_003_slug_spaces,True,27.638920307159424,8,0,3354.2370796203613,3540.159225463867,3354.2370796203613,3540.159225463867,14.259966334776411,36331.5,36599.0,53.839285714285715,147.67723214285715
2,c2_wf_002_dedupe_order,True,27.644887924194336,8,0,3355.592966079712,3534.1951847076416,3355.592966079712,3534.1951847076416,14.260820919492172,36331.5,36599.0,53.839285714285715,147.67723214285715
2,c2_wf_004_safe_divide_zero,True,28.2051784992218,8,0,3492.703437805176,3779.787540435791,3492.703437805176,3779.787540435791,13.994382390501325,36331.5,36599.0,53.839285714285715,147.67723214285715
2,c2_wf_005_parse_int_blank,True,28.211018323898315,8,0,3502.932548522949,3841.146469116211,3502.932548522949,3841.146469116211,13.963318091334045,36331.5,36599.0,53.839285714285715,147.67723214285715
2,c2_wf_006_window_tail,True,28.186338424682617,8,0,3355.1554679870605,4022.977590560913,3355.1554679870605,4022.977590560913,13.999297772531156,36331.5,36599.0,53.839285714285715,147.67723214285715
2,c2_wf_007_normalize_none,True,28.19201421737671,8,0,3354.2633056640625,3999.7968673706055,3354.2633056640625,3999.7968673706055,14.027331162439918,36331.5,36599.0,53.839285714285715,147.67723214285715
4,c4_wf_002_dedupe_order,True,36.509517669677734,8,0,4414.350509643555,5020.026206970215,4414.350509643555,5020.026206970215,10.754675430806756,36331.5,36599.0,54.208333333333336,141.44416666666666
4,c4_wf_000_parse_bool_yes,True,36.517210721969604,8,0,4411.56005859375,4969.931125640869,4411.56005859375,4969.931125640869,10.769546573484147,36331.5,36599.0,54.208333333333336,141.44416666666666
4,c4_wf_001_mean_empty,True,36.52260994911194,8,0,4411.170244216919,5022.448301315308,4411.170244216919,5022.448301315308,10.760335704278663,36331.5,36599.0,54.208333333333336,141.44416666666666
4,c4_wf_003_slug_spaces,True,36.527883768081665,8,0,4410.197496414185,4991.180419921875,4410.197496414185,4991.180419921875,10.764681922396797,36331.5,36599.0,54.208333333333336,141.44416666666666
4,c4_wf_006_window_tail,True,36.19834494590759,8,0,4393.091917037964,5021.268606185913,4393.091917037964,5021.268606185913,10.871386065177711,36331.5,36599.0,54.208333333333336,141.44416666666666
4,c4_wf_004_safe_divide_zero,True,36.21794056892395,8,0,4393.641710281372,4992.175102233887,4393.641710281372,4992.175102233887,10.874232582062714,36331.5,36599.0,54.208333333333336,141.44416666666666
4,c4_wf_007_normalize_none,True,36.21060109138489,8,0,4389.255523681641,5020.326852798462,4389.255523681641,5020.326852798462,10.858481296676647,36331.5,36599.0,54.208333333333336,141.44416666666666
4,c4_wf_005_parse_int_blank,True,36.22880983352661,8,0,4391.5722370147705,5027.969598770142,4391.5722370147705,5027.969598770142,10.862654693579831,36331.5,36599.0,54.208333333333336,141.44416666666666
8,c8_wf_006_window_tail,True,50.51746940612793,8,0,6341.63498878479,7193.886280059814,6341.63498878479,7193.886280059814,7.778707812692664,36331.5,36599.0,54.589285714285715,134.28821428571428
8,c8_wf_005_parse_int_blank,True,50.52990674972534,8,0,6344.826936721802,7197.004079818726,6344.826936721802,7197.004079818726,7.784692095946652,36331.5,36599.0,54.589285714285715,134.28821428571428
8,c8_wf_003_slug_spaces,True,50.5366108417511,8,0,6343.095302581787,7199.013471603394,6343.095302581787,7199.013471603394,7.773586599762523,36331.5,36599.0,54.589285714285715,134.28821428571428
8,c8_wf_000_parse_bool_yes,True,50.54346203804016,8,0,6346.70877456665,7242.344379425049,6346.70877456665,7242.344379425049,7.771315830591606,36331.5,36599.0,54.589285714285715,134.28821428571428
8,c8_wf_004_safe_divide_zero,True,50.546955823898315,8,0,6344.875812530518,7193.411588668823,6344.875812530518,7193.411588668823,7.76981822549687,36331.5,36599.0,54.589285714285715,134.28821428571428
8,c8_wf_001_mean_empty,True,54.94232773780823,8,0,6355.064153671265,10033.693552017212,6355.064153671265,10033.693552017212,7.309413247191704,36331.5,36599.0,54.589285714285715,134.28821428571428
8,c8_wf_002_dedupe_order,True,54.94959616661072,8,0,6352.078199386597,10035.263061523438,6352.078199386597,10035.263061523438,7.313237840975653,36331.5,36599.0,54.589285714285715,134.28821428571428
8,c8_wf_007_normalize_none,True,54.95183205604553,8,0,6347.049236297607,10037.493228912354,6347.049236297607,10037.493228912354,7.3102706873917525,36331.5,36599.0,54.589285714285715,134.28821428571428
