arrival_rate_jobs_per_s,variant,metric,full_value,variant_value,delta_abs,delta_pct,paper_claim,threshold,supported
8.0,no_distributed_sram_policy,energy_per_job_j,0.023820492987319,0.0237953674286365,-2.512555868250041e-05,-2.512555868250041e-05,energy,0.02,False
8.0,no_future_reuse_policy,decode_shared_kv_read_bytes,27320286969710.0,27272183335993.0,-48103633717.0,-0.0017607294451311034,decode cohort,0.05,False
8.0,no_future_reuse_policy,mesh_total_traffic_bytes,1151051427328.0,1151051427328.0,0.0,0.0,placement/mesh,0.05,False
8.0,no_future_reuse_policy,jct_p99_ms,7103.580649568296,7103.580649568296,0.0,0.0,tail latency,0.05,False
8.0,no_future_reuse_policy,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_future_reuse_policy,sram_reload_bytes,62579015680.0,62444797952.0,-134217728.0,-0.0021447721179624667,SRAM/future reuse,0.05,False
8.0,no_future_reuse_policy,energy_per_job_j,0.023820492987319,0.0237953674286365,-2.512555868250041e-05,-2.512555868250041e-05,energy,0.02,False
8.0,no_kv_sharing,decode_shared_kv_read_bytes,27320286969710.0,26564372725600.0,-755914244110.0,-0.027668605565823012,decode cohort,0.05,False
8.0,no_kv_sharing,mesh_total_traffic_bytes,1151051427328.0,2561948184064.0,1410896756736.0,1.225746064197317,placement/mesh,0.05,True
8.0,no_kv_sharing,jct_p99_ms,7103.580649568296,21522.53702500386,14418.956375435566,2.0298152561007163,tail latency,0.05,True
8.0,no_kv_sharing,shared_prefill_compute_ms_saved,13193.271705599904,0.0,-13193.271705599904,-1.0,prefix compute reuse,0.95,True
8.0,no_kv_sharing,sram_reload_bytes,62579015680.0,98952019968.0,36373004288.0,0.5812332439678284,SRAM/future reuse,0.05,True
8.0,no_kv_sharing,energy_per_job_j,0.023820492987319,0.031913654213552,0.008093161226233003,0.008093161226233003,energy,0.02,False
8.0,no_shared_kv_decode_cohort,decode_shared_kv_read_bytes,27320286969710.0,35540854374400.0,8220567404690.0,0.3008960855280965,decode cohort,0.05,True
8.0,no_shared_kv_decode_cohort,mesh_total_traffic_bytes,1151051427328.0,1151051427328.0,0.0,0.0,placement/mesh,0.05,False
8.0,no_shared_kv_decode_cohort,jct_p99_ms,7103.580649568296,7103.62445286516,0.043803296863188734,6.166368627890608e-06,tail latency,0.05,False
8.0,no_shared_kv_decode_cohort,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_shared_kv_decode_cohort,sram_reload_bytes,62579015680.0,64189628416.0,1610612736.0,0.025737265415549597,SRAM/future reuse,0.05,False
8.0,no_shared_kv_decode_cohort,energy_per_job_j,0.023820492987319,0.027840582376448,0.004020089389129001,0.004020089389129001,energy,0.02,False
8.0,no_shared_kv_replication,decode_shared_kv_read_bytes,27320286969710.0,27320286969710.0,0.0,0.0,decode cohort,0.05,False
8.0,no_shared_kv_replication,mesh_total_traffic_bytes,1151051427328.0,1151051427328.0,0.0,0.0,placement/mesh,0.05,False
8.0,no_shared_kv_replication,jct_p99_ms,7103.580649568296,7103.580649568296,0.0,0.0,tail latency,0.05,False
8.0,no_shared_kv_replication,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_shared_kv_replication,sram_reload_bytes,62579015680.0,62579015680.0,0.0,0.0,SRAM/future reuse,0.05,False
8.0,no_shared_kv_replication,energy_per_job_j,0.023820492987319,0.023820492987319,0.0,0.0,energy,0.02,False
16.0,no_affinity_placement,decode_shared_kv_read_bytes,27495521635388.0,34168182826542.0,6672661191154.0,0.24268174576349838,decode cohort,0.05,True
16.0,no_affinity_placement,mesh_total_traffic_bytes,1187021778432.0,51716509768704.0,50529487990272.0,42.56829058100272,placement/mesh,0.05,True
16.0,no_affinity_placement,jct_p99_ms,11904.771373674172,233635.41233405517,221730.64096038102,18.6253590262732,tail latency,0.05,True
16.0,no_affinity_placement,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599933,2.9103830456733704e-11,2.2059600610196288e-15,prefix compute reuse,0.95,False
16.0,no_affinity_placement,sram_reload_bytes,76269223936.0,131936026624.0,55666802688.0,0.7298724153101628,SRAM/future reuse,0.05,True
16.0,no_affinity_placement,energy_per_job_j,0.023434590175774,0.12490233966875901,0.10146774949298501,0.10146774949298501,energy,0.02,True
16.0,no_aggregator_placement,decode_shared_kv_read_bytes,27495521635388.0,27495521635388.0,0.0,0.0,decode cohort,0.05,False
16.0,no_aggregator_placement,mesh_total_traffic_bytes,1187021778432.0,1187021778432.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_aggregator_placement,jct_p99_ms,11904.771373674172,11904.771373674172,0.0,0.0,tail latency,0.05,False
16.0,no_aggregator_placement,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_aggregator_placement,sram_reload_bytes,76269223936.0,76269223936.0,0.0,0.0,SRAM/future reuse,0.05,False
16.0,no_aggregator_placement,energy_per_job_j,0.023434590175774,0.023434590175774,0.0,0.0,energy,0.02,False
16.0,no_distributed_sram_policy,decode_shared_kv_read_bytes,27495521635388.0,27447418001671.0,-48103633717.0,-0.001749507950963491,decode cohort,0.05,False
16.0,no_distributed_sram_policy,mesh_total_traffic_bytes,1187021778432.0,1187021778432.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_distributed_sram_policy,jct_p99_ms,11904.771373674172,11904.771373674172,0.0,0.0,tail latency,0.05,False
16.0,no_distributed_sram_policy,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_distributed_sram_policy,sram_reload_bytes,76269223936.0,76135006208.0,-134217728.0,-0.0017597888253409592,SRAM/future reuse,0.05,False
16.0,no_distributed_sram_policy,energy_per_job_j,0.023434590175774,0.0234094646170915,-2.512555868250041e-05,-2.512555868250041e-05,energy,0.02,False
16.0,no_future_reuse_policy,decode_shared_kv_read_bytes,27495521635388.0,27447418001671.0,-48103633717.0,-0.001749507950963491,decode cohort,0.05,False
16.0,no_future_reuse_policy,mesh_total_traffic_bytes,1187021778432.0,1187021778432.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_future_reuse_policy,jct_p99_ms,11904.771373674172,11904.771373674172,0.0,0.0,tail latency,0.05,False
16.0,no_future_reuse_policy,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_future_reuse_policy,sram_reload_bytes,76269223936.0,76135006208.0,-134217728.0,-0.0017597888253409592,SRAM/future reuse,0.05,False
16.0,no_future_reuse_policy,energy_per_job_j,0.023434590175774,0.0234094646170915,-2.512555868250041e-05,-2.512555868250041e-05,energy,0.02,False
16.0,no_kv_sharing,decode_shared_kv_read_bytes,27495521635388.0,26564372725600.0,-931148909788.0,-0.03386547533579318,decode cohort,0.05,False
16.0,no_kv_sharing,mesh_total_traffic_bytes,1187021778432.0,2458868968960.0,1271847190528.0,1.0714607041229272,placement/mesh,0.05,True
16.0,no_kv_sharing,jct_p99_ms,11904.771373674172,22314.9729807734,10410.201607099229,0.8744562394637845,tail latency,0.05,True
16.0,no_kv_sharing,shared_prefill_compute_ms_saved,13193.271705599904,0.0,-13193.271705599904,-1.0,prefix compute reuse,0.95,True
16.0,no_kv_sharing,sram_reload_bytes,76269223936.0,96066338816.0,19797114880.0,0.2595688517377915,SRAM/future reuse,0.05,True
16.0,no_kv_sharing,energy_per_job_j,0.023434590175774,0.031848424397744,0.008413834221969996,0.008413834221969996,energy,0.02,False
16.0,no_shared_kv_decode_cohort,decode_shared_kv_read_bytes,27495521635388.0,35540854374400.0,8045332739012.0,0.29260520479296115,decode cohort,0.05,True
16.0,no_shared_kv_decode_cohort,mesh_total_traffic_bytes,1187021778432.0,1152662040064.0,-34359738368.0,-0.02894617351788406,placement/mesh,0.05,False
16.0,no_shared_kv_decode_cohort,jct_p99_ms,11904.771373674172,11242.15316984363,-662.6182038305415,-0.0556598848505259,tail latency,0.05,False
16.0,no_shared_kv_decode_cohort,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_shared_kv_decode_cohort,sram_reload_bytes,76269223936.0,73987522560.0,-2281701376.0,-0.029916410030796304,SRAM/future reuse,0.05,False
16.0,no_shared_kv_decode_cohort,energy_per_job_j,0.023434590175774,0.027502353701888,0.004067763526113998,0.004067763526113998,energy,0.02,False
16.0,no_shared_kv_replication,decode_shared_kv_read_bytes,27495521635388.0,27495521635388.0,0.0,0.0,decode cohort,0.05,False
16.0,no_shared_kv_replication,mesh_total_traffic_bytes,1187021778432.0,1187021778432.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_shared_kv_replication,jct_p99_ms,11904.771373674172,11904.771373674172,0.0,0.0,tail latency,0.05,False
16.0,no_shared_kv_replication,shared_prefill_compute_ms_saved,13193.271705599904,13193.271705599904,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_shared_kv_replication,sram_reload_bytes,76269223936.0,76269223936.0,0.0,0.0,SRAM/future reuse,0.05,False
16.0,no_shared_kv_replication,energy_per_job_j,0.023434590175774,0.023434590175774,0.0,0.0,energy,0.02,False
