baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
no_cache,4.0,100,1.7045932901121341,74674.82285323237,17410.817491563383,29451.208367117677,29451.20836711769,14.649519384476662,21.135614570164762,21.135614570164762,0.10892852648024634,0.11190335356424692,0.11190335356424692,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,77.14729756116867,233.47141314297915,0.03334786742925644,1.1163819581270218,114.9488016963005,555.1622239872813,5.551622239872813,0.0003188605154561477
pat_like,4.0,100,1.8269721093992983,80035.99416856446,7500.640131994209,25447.416907927727,27030.27579074164,5.476547910206136,11.069016979250591,17.378153274061333,0.10858096372282589,0.1114396382560719,0.11166873719397226,14524.897584131802,0.0,0.9107142857142857,765.0,0.7941176470588235,92.0,64692944896.0,72624450830787.0,3.713728873687833,2163200.0,2112000.0,0.8921284608,14.5248901661574,0.01400897536,0.0526938800128,0.154837214823302,21211984481403.0,35540854374400.0,0.40316616314429554,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.501984052360058,0.0,21211984481403.0,152.0,3.8421052631578947,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8421052631578947,0.023631727297673644,0.0,0.0,0.0,0.0,13193.271705599904,212131119104.0,68048388096.0,65867350016.0,79.43757995963097,234.64884888380766,0.024409033358097076,11.12439390271902,121.92561849951744,581.6705180332065,5.816705180332065,0.0004059236182017113
wafer_naive,4.0,100,1.7045932901121341,74674.82285323237,17410.817491563383,29451.208367117677,29451.20836711769,14.649519384476662,21.135614570164762,21.135614570164762,0.10892852648024634,0.11190335356424692,0.11190335356424692,24699.42871808,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,79.0038276463747,234.544706530869,0.022406689822673798,1.2065628543496132,117.64554027467966,567.7855685353279,5.677855685353279,0.0003261108037060609
waferagent_full,4.0,100,3.411170122981449,149436.5407475713,78.72581398394288,694.7094922839707,1494.3848575524507,5.376599627321411,10.869016979249864,17.178153274060605,0.10872726168627372,0.11158637729048718,0.11182410949580698,124.28993441834871,68.34734989355027,0.9107142857142857,765.0,0.9420415224913494,57.0,25132269568.0,279709937152.0,2.986563530698026,2163200.0,2112000.0,0.8921284608,0.0559419874304,1.2969586563408,0.0203474075648,0.022653765121359998,27145052304032.0,35540854374400.0,0.23622960725489695,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,35.657247856259346,0.0,27145052304032.0,277.0,2.0,324.0,277.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,25921590604448.0,17582522368.0,25434259456.0,83.06972961872816,309.8333450034261,0.04585087299346924,14.552835375070572,114.1614681109786,665.5953014269471,6.655953014269471,0.03284883465569252
apc_like,8.0,100,2.2789546670576346,99836.44605446084,17304.658029211438,29283.598732685947,29358.290834596875,6.911555683145707,10.869016979249864,17.178153274062424,0.10892852648024456,0.11190335356424692,0.11190335356424692,24611.8898869824,0.0,0.9107142857142857,765.0,0.8176470588235294,71.0,58409877504.0,123059397827584.0,4.069509950250079,2163200.0,2112000.0,0.8921284608,24.6118795655168,0.01400897536,0.048016392192,0.255660333938688,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,218414186496.0,61765320704.0,60020490240.0,78.70857790112495,313.14630154520273,0.021588057279586792,1.190480776131153,112.30334732681513,639.6337244659662,6.396337244659662,0.0003693949865446214
ideal_next_use_cache,8.0,100,4.9751947854202365,217953.33315968973,121.68217262969438,3315.3908923444255,7409.474805231134,5.52860494109018,11.069016979250591,17.378153274063152,0.1085628651922181,0.1114396382560652,0.11159260896057871,1113.6896700903508,977.0348372383345,0.9107142857142857,765.0,0.9001650165016502,106.0,54291070976.0,1126033242827.0,2.003623465079731,2163200.0,2112000.0,0.8921284608,0.2252066485654,0.83037488414305,0.043808666419200004,0.0199151865992765,19756420064784.0,35540854374400.0,0.4441208459238811,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,21.160960055887696,0.0,19756420064784.0,165.0,4.0181818181818185,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0181818181818185,0.10086857112701113,0.0,0.0,0.0,0.0,13193.271705599906,16577533575085.0,29964107776.0,54760833024.0,80.73162939399481,243.1877888739109,0.01975521445274353,11.127239093184471,110.71108095347881,650.0031650066376,6.500031650066376,0.005435233976369954
kvflow_like,8.0,100,2.2789546670576346,99836.44605446084,17304.658029211438,29283.598732685947,29358.290834596875,6.911555683145707,10.869016979249864,17.178153274062424,0.10892852648024456,0.11190335356424692,0.11190335356424692,24610.690281724805,0.0,0.9107142857142857,765.0,0.8223529411764706,73.0,58720256000.0,123053399972864.0,4.069748662755427,2163200.0,2112000.0,0.8921284608,24.6106799945728,0.01400897536,0.048264694988800004,0.25565082125721594,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,218103808000.0,62075699200.0,60330868736.0,77.99022924154997,234.889124520123,0.021663494408130646,1.1663781479001045,111.21852602809668,559.075933881104,5.59075933881104,0.0003228964458479097
no_cache,8.0,100,2.2697294582648007,99432.30810766439,17410.817491563394,29451.208367117688,29451.208367117695,14.649519384476207,21.135614570164762,21.135614570164762,0.10892852648024456,0.11190335356424692,0.11190335356424692,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.23338732123375,234.9941385909915,0.019690953195095062,1.1466247960925102,114.85205683857203,559.8073834553361,5.598073834553361,0.0003215284886689536
pat_like,8.0,100,2.329365561765095,102044.84652980529,7039.3635413967695,26595.787259557084,27059.48605918351,5.476547910206136,11.069016979250591,17.378153274063152,0.10858096372282076,0.11143963825606604,0.11166873719397222,14454.757938140003,0.0,0.9107142857142857,765.0,0.7929411764705883,87.0,68451041280.0,72273753329292.0,3.7546506235996295,2163200.0,2112000.0,0.8921284608,14.4547506658584,0.01400897536,0.0559956361216,0.1541688373814,21401177790791.0,35540854374400.0,0.3978429003044389,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.505120046436783,0.0,21401177790791.0,152.0,3.8552631578947367,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8552631578947367,0.036024292378804626,0.0,0.0,0.0,0.0,13193.271705599907,208373022720.0,71806484480.0,69994545152.0,79.00878321379423,234.6037309616804,0.022032298147678375,11.284026317298412,122.85802606493235,646.9317320734262,6.4693173207342625,0.0004535377105355619
wafer_naive,8.0,100,2.2697294582648007,99432.30810766439,17410.817491563394,29451.208367117688,29451.208367117695,14.649519384476207,21.135614570164762,21.135614570164762,0.10892852648024456,0.11190335356424692,0.11190335356424692,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,80.08669130504131,237.3982034623623,0.028415583074092865,1.1850753799080849,116.22072476893663,575.0545924529433,5.750545924529433,0.0003302858080797139
waferagent_full,8.0,100,4.872114057764188,213437.57264253357,78.72581398394323,5256.917543021701,7103.580649568296,5.376599627321411,10.869016979249864,17.178153274062424,0.1087272616862755,0.11158637729048718,0.11182410949580698,1312.6888707861883,1238.6816477546488,0.9107142857142857,765.0,0.882960413080895,114.0,62579015680.0,1151051427328.0,2.0634327585184375,2163200.0,2112000.0,0.8921284608,0.2302102854656,1.2090836254647,0.05062692700160001,0.023820492987319,27320286969710.0,35540854374400.0,0.23129909365969703,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,35.27737584710121,0.0,27320286969710.0,274.0,2.0,451.0,274.0,0.0,0.0,0.0,0.0,177.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599904,24145601494894.0,36071014400.0,63283658752.0,80.3020941093564,239.78031985461712,0.023324042558670044,14.963788911700249,114.20190334320068,587.3741479590535,5.873741479590535,0.004218417153056789
apc_like,16.0,100,2.739427791860588,120008.85270582863,17260.82424587237,29220.80525625047,29358.290834596883,6.9115556831447975,10.869016979248045,17.178153274060605,0.1089285264802469,0.11190335356424692,0.11190335356424692,24594.625842406396,0.0,0.9107142857142857,765.0,0.8588235294117647,56.0,48687480832.0,122973079051264.0,8.142622096653339,2163200.0,2112000.0,0.8921284608,24.5946158102528,0.01400897536,0.0402384748544,0.25540991721267203,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599946,228136583168.0,52042924032.0,50298093568.0,77.40414142608643,231.6566575318575,0.028001144528388977,1.1480292305350304,111.45342327654362,552.4644162505865,5.524644162505865,0.0003194272634951291
ideal_next_use_cache,16.0,100,5.156366914704505,225890.12179937496,250.89983067951212,8128.6778421608415,12354.445877507744,5.476547910205124,11.069016979247863,17.378153274060423,0.10856286519221854,0.1114396382560652,0.11159260896057871,2710.385691902247,2786.766847924673,0.9107142857142857,765.0,0.8713932399010718,129.0,73484206080.0,1316515042404.0,2.0882472558307072,2163200.0,2112000.0,0.8921284608,0.2633030084808,0.75218500451945,0.059485297049600004,0.019671017708498502,19804094201768.0,35540854374400.0,0.4427794561958295,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,21.666048072278496,0.0,19804094201768.0,169.0,3.940828402366864,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,3.940828402366864,0.12600586188965837,0.0,0.0,0.0,0.0,13193.271705599904,15003266999829.0,40433090560.0,74356621312.0,81.19564782828093,244.76206116378307,0.022130087018013,12.1359433978796,112.80169896781445,583.2001194357872,5.832001194357872,0.0020877651166214357
kvflow_like,16.0,100,2.739427791860588,120008.85270582863,17273.659295632366,29220.80525625047,29358.290834596883,6.9115556831447975,10.869016979248045,17.178153274060605,0.1089285264802469,0.11190335356424692,0.11190335356424692,24595.3053356064,0.0,0.9107142857142857,765.0,0.8552941176470589,59.0,49165631488.0,122976476437504.0,8.142521566766364,2163200.0,2112000.0,0.8921284608,24.5952952875008,0.01400897536,0.040620995379200005,0.2554205371904,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599946,227658432512.0,52521074688.0,50776244224.0,78.75899691134691,312.0113145560026,0.02249889075756073,1.1958321556448936,112.74100933223963,636.4148072898388,6.364148072898388,0.0003679533656030754
no_cache,16.0,100,2.720743337393851,119190.32412454984,17410.817491563394,29451.208367117695,29451.208367117702,14.649519384475752,21.135614570163852,21.135614570163852,0.10892852648024688,0.11190335356424692,0.11190335356424692,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,78.57771869748831,235.05594860762358,0.02153869718313217,1.149708405137062,118.85559465736151,563.8254135847092,5.638254135847092,0.0003238362666531408
pat_like,16.0,100,2.6109450651861548,114380.28141567508,4948.954680991981,26950.676753431977,27090.311166963555,5.476547910205124,11.069016979247863,17.378153274060423,0.10858096372282432,0.1114396382560652,0.11166873719397288,14510.780372816198,0.0,0.9107142857142857,765.0,0.8035294117647059,87.0,67108864000.0,72553865727633.0,3.805292212937682,2163200.0,2112000.0,0.8921284608,14.510773145526601,0.01400897536,0.0548682072064,0.15471778788893,21694738805474.0,35540854374400.0,0.3895830815732817,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.37424004077911,0.0,21694738805474.0,151.0,3.880794701986755,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.880794701986755,0.06177794091624735,0.0,0.0,0.0,0.0,13193.271705599922,209715200000.0,70464307200.0,68585259008.0,78.76819651573896,235.7992371544242,0.021309591829776764,11.683217249810696,122.83058557659388,583.5042241960764,5.835042241960764,0.00040918975199688763
