mode,shared_prefix_tokens,private_tokens,num_agents,heads,head_dim,rep,latency_ms,memory_bytes_estimated,shared_read_bytes_estimated,read_byte_reduction_ratio,latency_speedup,oom,exact_merge,max_abs_error,device,dtype,is_outlier
cohort_attention,512,64,4,28,128,28,0.1355520039796829,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,4,28,128,29,0.12950399518013,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,0,0.1323200017213821,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,1,0.1374080032110214,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,2,0.133215993642807,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,3,0.1384319961071014,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,True
cohort_attention,512,64,8,28,128,4,0.1356160044670105,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,5,0.1282880008220672,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,6,0.1305599957704544,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,7,0.128383994102478,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,8,0.1319040060043335,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,9,0.1285119950771331,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,10,0.1263359934091568,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,11,0.1273279935121536,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,12,0.137472003698349,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,13,0.1275199949741363,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,14,0.1284160017967224,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,15,0.1282559931278228,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,16,0.1329600065946579,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,17,0.1328639984130859,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,18,0.1301440000534057,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,19,0.1280959993600845,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,20,0.1291839927434921,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,21,0.1336639970541,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,22,0.1279360055923462,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,23,0.1264639943838119,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,24,0.1270080059766769,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,25,0.1346559971570968,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,26,0.1279039978981018,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,27,0.1284160017967224,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,28,0.1285440027713775,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,8,28,128,29,0.1275199949741363,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,0,0.1321599930524826,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,1,0.1366399973630905,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,2,0.1323519945144653,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,3,0.1311360001564026,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,4,0.1336639970541,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,5,0.1325120031833648,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,6,0.1313599944114685,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,7,0.1307200044393539,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,8,0.1320320069789886,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,9,0.1322879940271377,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,10,0.1292160004377365,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,11,0.1292800009250641,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,12,0.1306560039520263,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,13,0.1275199949741363,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,14,0.1270399987697601,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,15,0.1298560053110122,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,16,0.1388159990310669,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,17,0.1290560066699981,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,18,0.1296640038490295,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,19,0.132192000746727,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,20,0.1351680010557174,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,21,0.1283520013093948,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,22,0.1296000033617019,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,23,0.126688003540039,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,24,0.1380160003900528,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,25,0.1330559998750686,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,26,0.1308799982070922,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,27,0.1282559931278228,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,28,0.1390399932861328,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,64,16,28,128,29,0.1329600065946579,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,0,0.1150719970464706,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,1,0.1210559979081153,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,2,0.1195200011134147,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,3,0.1197440028190612,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,4,0.1171199977397918,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,5,0.1176000013947486,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,6,0.1157760024070739,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,7,0.1155520007014274,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,8,0.1202559992671012,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,9,0.1160959973931312,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,10,0.1160959973931312,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,11,0.1204160004854202,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,12,0.1198400035500526,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,13,0.1159999966621398,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,14,0.1149759963154792,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
cohort_attention,512,256,1,28,128,15,0.1147840023040771,7340032,7340032,0.0,1.0,False,True,0.0,cuda:1,float16,False
